"slope_filter_id","bin_midpoint","sampling_profile_dissim"
"collection10",0.00585,0.625
"collection10",1.29585,1.07142857142857
"collection10",3.09,0.909090909090909
"collection10",4.4665,0.342105263157895
"collection10",6.2895,0.357142857142857
"collection10",9.438,0.342105263157895
"collection10",12.725,1
"collection10",14.9,0.5
"collection10",18.215,0.777777777777778
"collection10",21.745,0.75
"collection10",25.17,0.346153846153846
"collection10",30.6,0.34375
"collection10",35.805,0.342105263157895
"collection10",39.37,2.25
"collection10",44.55,3
"collection10",52.035,2.16666666666667
"collection10",57.62,0.333333333333333
"collection10",60.45,0.5
"collection10",63.83,0.416666666666667
"collection10",69.1,0.222222222222222
"collection10",77.9,2.16666666666667
"collection10",84.65,0.583333333333333
"collection10",87.75,3.5
"collection10",91.85,1
"collection10",97.2,0.851190476190476
"collection10",106.85,1.27272727272727
"collection10",117.3,0.366666666666667
"collection10",123.585,1
"collection10",129.185,0.666666666666667
"collection10",134.825,0.277777777777778
"collection10",140.075,0.318181818181818
"collection10",146.15,1
"collection10",152,0.571428571428571
"collection10",158.15,0.458333333333333
"collection10",163.4,0.461538461538461
"collection10",166.75,0.294117647058824
"collection10",169.55,0.321428571428571
"collection10",172.8,2.1875
"collection10",179.45,0.357142857142857
"collection10",188.55,0.454545454545455
"collection10",196.2,0.6
"collection10",200.45,0.5
"collection10",203.55,0.642857142857143
"collection10",216.5,0.9375
"collection10",232.15,0.444444444444445
"collection10",239.232,0.3
"collection10",244.082,0.333333333333333
"collection10",248.3,0.5
"collection10",250.901,0.394736842105263
"collection10",253.021,0.974025974025974
"collection10",256.825,0.487616099071207
"collection10",261.895,1.55555555555556
"collection10",265.59,0.842105263157894
"collection10",270.65,1.36363636363636
"collection10",278.85,0.5
"collection10",286.7,0.590909090909091
"collection10",291.81,0
"collection10",296.21,1.14285714285714
"collection10",301.3,0.5
"collection10",305.35,0.375
"collection10",311.1,1
"collection10",319.3,0.857142857142857
"collection10",326.85,0.75
"collection10",338.5,0.4375
"collection10",352.78,0.3125
"collection10",365.505,4.5
"collection10",377.23,4
"collection10",385.13,3.70588235294118
"collection10",390.71,6
"collection10",402.045,3.16666666666667
"collection10",411.82,0.428571428571428
"collection10",416.32,0.846153846153846
