sys,system,series,stage,short,bottom,mid,top,dur,bin,systemCol,seriesCol,col,stageCol,stage name,stageRGB,CGMW
C,Carboniferous,Mississippian,Serpukhovian,Ser,330.3,326.85,323.4,6.9,35,#6eafb5,#769e83,#cdc888,#BFC26B,Serpukhovian Stage,"191,194,107",#BFC26B
C,Carboniferous,Pennsylvanian,Bashkirian,Bas,323.4,319.3,315.2,8.2,36,#6eafb5,#a6c9cd,#a6c9cd,#99C2B5,Bashkirian Stage,"153,194,181",#99C2B5
C,Carboniferous,Pennsylvanian,Moscovian,Mos,315.2,311.1,307,8.2,37,#6eafb5,#a6c9cd,#bed3ce,#B3CBB9,Moscovian Stage,"179,203,185",#B3CBB9
C,Carboniferous,Pennsylvanian,Kasimovian,Kas,307,305.35,303.7,3.3,38,#6eafb5,#a6c9cd,#cad8d9,#BFD0C5,Kasimovian Stage,"191,208,197",#BFD0C5
C,Carboniferous,Pennsylvanian,Gzhelian,Gzh,303.7,301.3,298.9,4.8,39,#6eafb5,#a6c9cd,#d6dcda,#CCD4C7,Gzhelian Stage,"204,212,199",#CCD4C7
P,Permian,Cisuralian,Asselian,Ass,298.9,296.21,293.52,5.38,40,#e35b41,#e5755f,#e07f6c,#E36350,Asselian Stage,"227,99,80",#E36350
P,Permian,Cisuralian,Sakmarian,Sak,293.52,291.81,290.1,3.42,41,#e35b41,#e5755f,#e18a76,#E36F5C,Sakmarian Stage,"227,111,92",#E36F5C
P,Permian,Cisuralian,Artinskian,Art,290.1,286.7,283.3,6.8,42,#e35b41,#e5755f,#e39684,#E37B68,Artinskian Stage,"227,123,104",#E37B68
P,Permian,Cisuralian,Kungurian,Kun,283.3,278.85,274.4,8.9,43,#e35b41,#e5755f,#e49f90,#E38776,Kungurian Stage,"227,135,118",#E38776
P,Permian,Guadalupian,Roadian,Roa,274.4,270.65,266.9,7.5,44,#e35b41,#f18f76,#f49984,#FB8069,Roadian Stage,"251,128,105",#FB8069
P,Permian,Guadalupian,Wordian,Wor,266.9,265.59,264.28,2.62,45,#e35b41,#f18f76,#f4a692,#FB8D76,Wordian Stage,"251,141,118",#FB8D76
P,Permian,Guadalupian,Capitanian,Cap,264.28,261.895,259.51,4.77,46,#e35b41,#f18f76,#f6af9b,#FB9A85,Capitanian Stage,"251,154,133",#FB9A85
P,Permian,Lopingian,Wuchiapingian,Wuc,259.51,256.825,254.14,5.37,47,#e35b41,#f8baab,#fac4b8,#FCB4A2,Wuchiapingian Stage,"252,180,162",#FCB4A2
P,Permian,Lopingian,Changhsingian,Chg,254.14,253.021,251.902,2.238,48,#e35b41,#f8baab,#facfc6,#FCC0B2,Changhsingian Stage,"252,192,178",#FCC0B2
Tr,Triassic,Lower Triassic,Induan,Ind,251.902,250.901,249.9,2.002,49,#984b99,#a9599e,#b266a6,#A4469F,Induan Stage,"164,70,159",#A4469F
Tr,Triassic,Lower Triassic,Olenekian,Ole,249.9,248.3,246.7,3.2,50,#984b99,#a9599e,#bb71ac,#B051A5,Olenekian Stage,"176,81,165",#B051A5
Tr,Triassic,Middle Triassic,Anisian,Ani,246.7,244.082,241.464,5.236,51,#984b99,#bd86bd,#c793c3,#BC75B7,Anisian Stage,"188,117,183",#BC75B7
Tr,Triassic,Middle Triassic,Ladinian,Lad,241.464,239.232,237,4.464,52,#984b99,#bd86bd,#d0a0c8,#C983BF,Ladinian Stage,"201,131,191",#C983BF
Tr,Triassic,Upper Triassic,Carnian,Car,237,232.15,227.3,9.7,53,#984b99,#c9a6d0,#d1b3d5,#C99BCB,Carnian Stage,"201,155,203",#C99BCB
Tr,Triassic,Upper Triassic,Norian,Nor,227.3,216.5,205.7,21.6,54,#984b99,#c9a6d0,#dbc1de,#D6AAD3,Norian Stage,"214,170,211",#D6AAD3
Tr,Triassic,Upper Triassic,Rhaetian,Rha,205.7,203.55,201.4,4.3,55,#984b99,#c9a6d0,#e5cbe4,#E3B9DB,Rhaetian Stage,"227,185,219",#E3B9DB
J,Jurassic,Lower Jurassic,Hettangian,Het,201.4,200.45,199.5,1.9,56,#00b0e2,#02b1ea,#22b5e9,#4EB3D3,Hettangian Stage,"78,179,211",#4EB3D3
J,Jurassic,Lower Jurassic,Sinemurian,Sin,199.5,196.2,192.9,6.6,57,#00b0e2,#02b1ea,#5ebeee,#67BCD8,Sinemurian Stage,"103,188,216",#67BCD8
J,Jurassic,Lower Jurassic,Pliensbachian,Plb,192.9,188.55,184.2,8.7,58,#00b0e2,#02b1ea,#86c9f3,#80C5DD,Pliensbachian Stage,"128,197,221",#80C5DD
J,Jurassic,Lower Jurassic,Toarcian,Toa,184.2,179.45,174.7,9.5,59,#00b0e2,#02b1ea,#a3d1f3,#99CEE3,Toarcian Stage,"153,206,227",#99CEE3
J,Jurassic,Middle Jurassic,Aalenian,Aal,174.7,172.8,170.9,3.8,60,#00b0e2,#84cfee,#a2d8f0,#9AD9DD,Aalenian Stage,"154,217,221",#9AD9DD
J,Jurassic,Middle Jurassic,Bajocian,Baj,170.9,169.55,168.2,2.7,61,#00b0e2,#84cfee,#b0dff1,#A6DDE0,Bajocian Stage,"166,221,224",#A6DDE0
J,Jurassic,Middle Jurassic,Bathonian,Bat,168.2,166.75,165.3,2.9,62,#00b0e2,#84cfee,#bce3f2,#B3E2E3,Bathonian Stage,"179,226,227",#B3E2E3
J,Jurassic,Middle Jurassic,Callovian,Cal,165.3,163.4,161.5,3.8,63,#00b0e2,#84cfee,#cae6f2,#BFE7E5,Callovian Stage,"191,231,229",#BFE7E5
J,Jurassic,Upper Jurassic,Oxfordian,Oxf,161.5,158.15,154.8,6.7,64,#00b0e2,#bbe4fa,#cce8fd,#BFE7F1,Oxfordian Stage,"191,231,241",#BFE7F1
J,Jurassic,Upper Jurassic,Kimmeridgian,Kim,154.8,152,149.2,5.6,65,#00b0e2,#bbe4fa,#d4eefd,#CCECF4,Kimmeridgian Stage,"204,236,244",#CCECF4
J,Jurassic,Upper Jurassic,Tithonian,Tit,149.2,146.15,143.1,6.1,66,#00b0e2,#bbe4fa,#e0f2fc,#D9F1F7,Tithonian Stage,"217,241,247",#D9F1F7
K,Cretaceous,Lower Cretaceous,Berriasian,Ber,143.1,140.075,137.05,6.05,67,#95c562,#9fca70,#9ec979,#8CCD60,Berriasian Stage,"140,205,96",#8CCD60
K,Cretaceous,Lower Cretaceous,Valanginian,Val,137.05,134.825,132.6,4.45,68,#95c562,#9fca70,#a8d182,#99D36A,Valanginian Stage,"153,211,106",#99D36A
K,Cretaceous,Lower Cretaceous,Hauterivian,Hau,132.6,129.185,125.77,6.83,69,#95c562,#9fca70,#b7d690,#A6D975,Hauterivian Stage,"166,217,117",#A6D975
K,Cretaceous,Lower Cretaceous,Barremian,Bar,125.77,123.585,121.4,4.37,70,#95c562,#9fca70,#c2da9c,#B3DF7F,Barremian Stage,"179,223,127",#B3DF7F
K,Cretaceous,Lower Cretaceous,Aptian,Apt,121.4,117.3,113.2,8.2,71,#95c562,#9fca70,#cfe1a7,#BFE48A,Aptian Stage,"191,228,138",#BFE48A
K,Cretaceous,Lower Cretaceous,Albian,Alb,113.2,106.85,100.5,12.7,72,#95c562,#9fca70,#d9e8b1,#CCEA97,Albian Stage,"204,234,151",#CCEA97
K,Cretaceous,Upper Cretaceous,Cenomanian,Cen,100.5,97.2,93.9,6.6,73,#95c562,#b9d25d,#c6d86c,#B3DE53,Cenomanian Stage,"179,222,83",#B3DE53
K,Cretaceous,Upper Cretaceous,Turonian,Tur,93.9,91.85,89.8,4.1,74,#95c562,#b9d25d,#d2dd77,#BFE35D,Turonian Stage,"191,227,93",#BFE35D
K,Cretaceous,Upper Cretaceous,Coniacian,Con,89.8,87.75,85.7,4.1,75,#95c562,#b9d25d,#dce383,#CCE968,Coniacian Stage,"204,233,104",#CCE968
K,Cretaceous,Upper Cretaceous,Santonian,San,85.7,84.65,83.6,2.1,76,#95c562,#b9d25d,#e5e88f,#D9EF74,Santonian Stage,"217,239,116",#D9EF74
K,Cretaceous,Upper Cretaceous,Campanian,Cam,83.6,77.9,72.2,11.4,77,#95c562,#b9d25d,#efec9b,#E6F47F,Campanian Stage,"230,244,127",#E6F47F
