"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","bin_midpoint","stage","era","sampling_profile_dissim","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_sample_Northern","k_sample_Southern","interval_width_Northern","interval_width_Southern","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_median_asym","k_median_diff_signed","k_sample_asym","k_sample_diff_signed","interval_width_asym","interval_width_diff_signed","mean_interval_width"
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",163.4,"Callovian","Mesozoic",0.65,-1.32593796208792,-0.150566431695107,2,2.5,0.739814235386599,0.419523539268061,1,1,0.446738779029278,0.983096091442203,1.17537153039281,-1.17537153039281,0.320290696118539,0.320290696118539,0.154150679827258,-0.5,0,0,0.315347400517288,-0.536357312412925,0.714917435235741
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",169.55,"Bajocian","Mesozoic",0.714975845410628,-0.915197665473642,-0.446870417981991,1.5,1,1.06179574680798,0.557773351022717,1,1,0.577736554897066,0.199321742089771,0.468327247491651,-0.468327247491651,0.504022395785259,0.504022395785259,0.22314355131421,0.5,0,0,0.274235077677165,0.378414812807294,0.388529148493418
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",179.45,"Toarcian","Mesozoic",0.225705329153605,0.454722919121228,-0.376928708295945,2,1,1.13201927570336,0.500688231571464,1,1,0.404517947786534,0.206151576553572,0.831651627417173,0.831651627417173,0.631331044131894,0.631331044131894,0.405465108108164,1,0,0,0.152259370478356,0.198366371232962,0.305334762170053
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",203.55,"Rhaetian","Mesozoic",0.4375,0.0119498183747945,-1.10957128709166,2,1,0.97182531580755,0.612372435695795,1,1,0.772940787565211,0.0710410117884797,1.12152110546645,1.12152110546645,0.359452880111756,0.359452880111756,0.405465108108164,1,0,0,0.504008546067161,0.701899775776731,0.421990899676845
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",216.5,"Norian","Mesozoic",0.173076923076923,-0.0877648304298302,-0.418830298959422,3,2,0.403846153846154,0.679366220486758,1,1,0.550526836121777,0.612310628130352,0.331065468529592,0.331065468529592,0.275520066640604,-0.275520066640604,0.287682072451781,1,0,0,0.0390735554197242,-0.0617837920085744,0.581418732126065
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",244.082,"Anisian","Mesozoic",0.571428571428571,-0.0762535232487902,-0.610168922230404,2,1,0.732422793670464,0.4,1,1,0.820929454434055,0.0348503198828818,0.533915398981614,0.533915398981614,0.332422793670464,0.332422793670464,0.405465108108164,1,0,0,0.565090262192382,0.786079134551173,0.427889887158468
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",248.3,"Olenekian","Mesozoic",0.294117647058823,-0.0519001247578587,0.13911722900607,2,1,0.6382130267579,0.433012701892219,1,1,1.09830730129561,0.0456422279954534,0.191017353763929,-0.191017353763929,0.205200324865681,0.205200324865681,0.405465108108164,1,0,0,0.696499703807684,1.05266507330015,0.57197476464553
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",250.901,"Induan","Mesozoic",0.428571428571429,-0.101548351357082,0.34416854328657,5.5,1,0.498435050934422,0.391230398217976,2,1,0.503297872973511,0.172143271246261,0.445716894643652,-0.445716894643652,0.107204652716446,0.107204652716446,1.17865499634165,4.5,0.405465108108164,1,0.248827347971617,0.33115460172725,0.337720572109886
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",253.021,"Changhsingian","Paleozoic",1.07936507936508,-0.339100127770916,0.556434251694648,2.5,1.5,0.823134873765025,0.365148371670111,1,1,0.959254784855068,0.659110575849103,0.895534379465563,-0.895534379465563,0.457986502094914,0.457986502094914,0.336472236621213,1,0,0,0.166282528038633,0.300144209005965,0.809182680352085
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",256.825,"Wuchiapingian","Paleozoic",0.144249512670565,-0.556978197699795,-0.159178658983066,4,4,0.836466869420447,0.724513617339319,2,1,0.638198827772342,0.741174672008721,0.397799538716729,-0.397799538716729,0.111953252081128,0.111953252081128,0,0,0.405465108108164,1,0.0609626217645235,-0.102975844236379,0.689686749890531
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","occurrence",10,NA,1,"tropical_temperate",261.895,"Capitanian","Paleozoic",0.545454545454545,-0.464690906233413,-0.0464056489034454,3,1,0.621027319149067,0.37639939600492,1,1,0.735423469556036,0.441565201900148,0.418285257329968,-0.418285257329968,0.244627923144146,0.244627923144146,0.693147180559945,2,0,0,0.18552198923545,0.293858267655888,0.588494335728092
