"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","hemisphere","n_total_stage_hemi","n_with_slope","n_good","n_good_with_slope","prop_good_with_slope","method_label","filter_label","k_label","zone_label","qc_plot_label"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate","Northern",87,66,0,0,0,"Per-cell all-cell OLS","collection_no >= 10","k = 1","T + Te","collection_no >= 10 | k = 1 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate","Southern",87,69,0,0,0,"Per-cell all-cell OLS","collection_no >= 10","k = 1","T + Te","collection_no >= 10 | k = 1 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","collection",NA,10,1,"tropical_temperate_polar","Northern",87,66,0,0,0,"Per-cell all-cell OLS","collection_no >= 10","k = 1","T + Te + P","collection_no >= 10 | k = 1 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","collection",NA,10,1,"tropical_temperate_polar","Southern",87,69,0,0,0,"Per-cell all-cell OLS","collection_no >= 10","k = 1","T + Te + P","collection_no >= 10 | k = 1 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","collection",NA,10,2,"tropical_temperate","Northern",87,66,0,0,0,"Per-cell all-cell OLS","collection_no >= 10","k = 2","T + Te","collection_no >= 10 | k = 2 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","collection",NA,10,2,"tropical_temperate","Southern",87,69,0,0,0,"Per-cell all-cell OLS","collection_no >= 10","k = 2","T + Te","collection_no >= 10 | k = 2 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate_polar","collection",NA,10,2,"tropical_temperate_polar","Northern",87,66,0,0,0,"Per-cell all-cell OLS","collection_no >= 10","k = 2","T + Te + P","collection_no >= 10 | k = 2 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate_polar","collection",NA,10,2,"tropical_temperate_polar","Southern",87,69,0,0,0,"Per-cell all-cell OLS","collection_no >= 10","k = 2","T + Te + P","collection_no >= 10 | k = 2 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate","collection",NA,10,3,"tropical_temperate","Northern",87,66,0,0,0,"Per-cell all-cell OLS","collection_no >= 10","k = 3","T + Te","collection_no >= 10 | k = 3 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate","collection",NA,10,3,"tropical_temperate","Southern",87,69,0,0,0,"Per-cell all-cell OLS","collection_no >= 10","k = 3","T + Te","collection_no >= 10 | k = 3 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate_polar","collection",NA,10,3,"tropical_temperate_polar","Northern",87,66,0,0,0,"Per-cell all-cell OLS","collection_no >= 10","k = 3","T + Te + P","collection_no >= 10 | k = 3 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate_polar","collection",NA,10,3,"tropical_temperate_polar","Southern",87,69,0,0,0,"Per-cell all-cell OLS","collection_no >= 10","k = 3","T + Te + P","collection_no >= 10 | k = 3 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate","Northern",87,76,0,0,0,"Per-cell all-cell OLS","collection_no >= 5","k = 1","T + Te","collection_no >= 5 | k = 1 | T + Te"
