"bin_midpoint","stage","hemisphere","slope","intercept","method_group","slope_metric","quantile","slope_filter_id","slope_qc_type","slope_occurrence_min","slope_collection_min","slope_mean","slope_sd","slope_lower_95","slope_upper_95","slope_se","p_value","r_squared","n_cells_model","n_resamples_valid","prop_negative","prop_positive","k_sample"
57.62,"Thanetian","Southern",NA,NA,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60.45,"Selandian","Northern",1.28004066779827,15.6387188223699,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63.83,"Danian","Northern",-0.327883991659941,41.4332691379341,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63.83,"Danian","Southern",0.0480908100026167,18.7930214898776,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69.1,"Maastrichtian","Northern",0.220165434877957,8.47856404056449,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69.1,"Maastrichtian","Southern",0.264759019537642,0.739725052773704,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77.9,"Campanian","Northern",0.0579100197878154,10.4648600578958,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77.9,"Campanian","Southern",0.232676456087282,0.654898755024288,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84.65,"Santonian","Northern",0.0751603833176028,11.0890086165293,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84.65,"Santonian","Southern",NA,NA,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87.75,"Coniacian","Northern",-0.476539750750831,34.6536509857539,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87.75,"Coniacian","Southern",-0.904357219879514,63.7277070851919,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91.85,"Turonian","Northern",-0.393264218054464,37.077042984578,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91.85,"Turonian","Southern",-0.53734695454847,42.5036476859605,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97.2,"Cenomanian","Northern",-0.293143892446161,29.2955724907946,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97.2,"Cenomanian","Southern",-0.280709137777268,21.4127863204068,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106.85,"Albian","Northern",-0.574794739908758,40.8316352419412,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106.85,"Albian","Southern",-0.139346190768223,29.4478987600865,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117.3,"Aptian","Northern",-0.0753469825259905,24.8962740894688,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117.3,"Aptian","Southern",0.100338407911553,5.54905587370047,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123.585,"Barremian","Northern",-0.202746338677291,33.2743706581425,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123.585,"Barremian","Southern",-0.459895293069858,65.8260309491559,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129.185,"Hauterivian","Northern",-0.516880149791862,55.8245795881353,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129.185,"Hauterivian","Southern",NA,NA,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134.825,"Valanginian","Northern",0.310496951455925,21.5464275142937,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134.825,"Valanginian","Southern",NA,NA,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
