"bin_midpoint","stage","max_abs_lat_Northern","max_abs_lat_Southern","prop_cells_ge_60_Northern","prop_cells_ge_60_Southern","prop_cells_ge_66_5_Northern","prop_cells_ge_66_5_Southern","prop_cells_ge_70_Northern","prop_cells_ge_70_Southern","prop_cells_ge_75_Northern","prop_cells_ge_75_Southern","reaches_60_Northern","reaches_60_Southern","reaches_66_5_Northern","reaches_66_5_Southern","reaches_70_Northern","reaches_70_Southern","reaches_75_Northern","reaches_75_Southern","both_reach_60","both_reach_66_5","both_reach_70","both_reach_75","max_abs_lat_diff","prop_cells_ge_60_diff","prop_cells_ge_70_diff"
0.00585,"Holocene",80.5813782293863,65.8156701387054,0.234375,0.032258064516129,0.125,0,0.09375,0,0.015625,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,14.7657080906809,0.202116935483871,0.09375
1.29585,"Pleistocene",82.3265097697321,75.9498746602386,0.0784313725490196,0.0163934426229508,0.0588235294117647,0.0163934426229508,0.0392156862745098,0.0163934426229508,0.0196078431372549,0.0163934426229508,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,6.37663510949349,0.0620379299260688,0.022822243651559
3.09,"Piacenzian",68.4282025836255,51.9932841110458,0.0377358490566038,0,0.0188679245283019,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,16.4349184725797,0.0377358490566038,0
4.4665,"Zanclean",67.2811723040696,69.1384297738886,0.0173913043478261,0.0625,0.00869565217391304,0.03125,0,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1.857257469819,0.0451086956521739,0
9.438,"Tortonian",71.7122568191163,53.3543579310148,0.01,0,0.01,0,0.01,0,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18.3578988881015,0.01,0.01
12.725,"Serravallian",62.3684846694886,50.6301843204557,0.00862068965517241,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11.7383003490329,0.00862068965517241,0
18.215,"Burdigalian",62.3684846694886,62.3515320611258,0.0230769230769231,0.0175438596491228,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.0169526083628,0.00553306342780027,0
44.55,"Lutetian",64.8793185994702,63.2969896011457,0.0392156862745098,0.0625,0,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1.5823289983245,0.0232843137254902,0
69.1,"Maastrichtian",73.6605464128538,64.562482167559,0.0233918128654971,0.048780487804878,0.0175438596491228,0,0.0175438596491228,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9.09806424529481,0.025388674939381,0.0175438596491228
77.9,"Campanian",71.9435853513676,62.7992348401569,0.0607734806629834,0.108695652173913,0.0386740331491713,0,0.0276243093922652,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,9.1443505112107,0.0479221715109296,0.0276243093922652
91.85,"Turonian",79.9453396667681,73.8495458967467,0.0810810810810811,0.135135135135135,0.0405405405405405,0.108108108108108,0.027027027027027,0.027027027027027,0.0202702702702703,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,6.0957937700214,0.0540540540540541,0
97.2,"Cenomanian",79.1899781183957,75.910601807077,0.037037037037037,0.137254901960784,0.0211640211640212,0.117647058823529,0.0158730158730159,0.0980392156862745,0.0158730158730159,0.0392156862745098,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.2793763113187,0.100217864923747,0.0821661998132586
106.85,"Albian",79.9453396667681,78.1351410875718,0.104895104895105,0.152777777777778,0.0839160839160839,0.0972222222222222,0.0559440559440559,0.0833333333333333,0.027972027972028,0.0694444444444444,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.81019857919631,0.0478826728826729,0.0273892773892774
117.3,"Aptian",71.3356621856473,80.068681645548,0.0283018867924528,0.1875,0.0283018867924528,0.0625,0.0188679245283019,0.0625,0,0.0208333333333333,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,8.7330194599007,0.159198113207547,0.0436320754716981
123.585,"Barremian",73.4808026835155,50.6768705185731,0.046875,0,0.046875,0,0.03125,0,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,22.8039321649424,0.046875,0.03125
134.825,"Valanginian",79.8413809668959,70.618448906107,0.25974025974026,0.0769230769230769,0.220779220779221,0.0769230769230769,0.155844155844156,0.0769230769230769,0.038961038961039,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,9.22293206078889,0.182817182817183,0.0789210789210789
146.15,"Tithonian",78.0709653757689,86.6306437505579,0.180851063829787,0.16,0.148936170212766,0.04,0.0851063829787234,0.04,0.0425531914893617,0.04,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8.55967837478899,0.0208510638297872,0.0451063829787234
152,"Kimmeridgian",79.8413809668959,84.0625449011338,0.136986301369863,0.137931034482759,0.10958904109589,0.103448275862069,0.0958904109589041,0.103448275862069,0.0410958904109589,0.0689655172413793,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,4.22116393423791,0.000944733112895613,0.00755786490316486
158.15,"Oxfordian",78.7886686497093,82.3823402160855,0.0882352941176471,0.0816326530612245,0.0686274509803922,0.0612244897959184,0.0588235294117647,0.0612244897959184,0.0392156862745098,0.0612244897959184,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.5936715663762,0.00660264105642258,0.00240096038415366
163.4,"Callovian",79.9453396667561,78.1351410891036,0.158536585365854,0.1,0.109756097560976,0.075,0.0365853658536585,0.075,0.0121951219512195,0.075,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.8101985776525,0.0585365853658537,0.0384146341463415
166.75,"Bathonian",86.6306437505579,77.9707827242962,0.074468085106383,0.114285714285714,0.0638297872340425,0.0857142857142857,0.0425531914893617,0.0857142857142857,0.0425531914893617,0.0857142857142857,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8.6598610262617,0.0398176291793313,0.043161094224924
169.55,"Bajocian",79.9453396667561,77.9707827242962,0.0533333333333333,0.172413793103448,0.04,0.103448275862069,0.0266666666666667,0.103448275862069,0.0133333333333333,0.0689655172413793,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.9745569424599,0.119080459770115,0.0767816091954023
