"bin_midpoint","stage","hemisphere","label","n_cells","n_lat_bins","min_abs_lat","max_abs_lat","min_abs_lat_bin_mid","max_abs_lat_bin_mid","n_cells_ge_60","n_cells_ge_66_5","n_cells_ge_70","n_cells_ge_75","prop_cells_ge_60","prop_cells_ge_66_5","prop_cells_ge_70","prop_cells_ge_75","reaches_60","reaches_66_5","reaches_70","reaches_75"
0.00585,"Holocene","Northern","good",55,16,7.75528644499503,82.9884517635243,7.986719,80.405932,20,13,10,6,0.363636363636364,0.236363636363636,0.181818181818182,0.109090909090909,TRUE,TRUE,TRUE,TRUE
0.00585,"Holocene","Southern","good",17,11,4.06358651339918,67.5278428576295,4.782054,66.77291,2,1,0,0,0.117647058823529,0.0588235294117647,0,0,TRUE,TRUE,FALSE,FALSE
1.29585,"Pleistocene","Northern","good",104,18,2.42424213890532e-09,82.382340216189,1.592369,80.405932,12,7,5,3,0.115384615384615,0.0673076923076923,0.0480769230769231,0.0288461538461538,TRUE,TRUE,TRUE,TRUE
1.29585,"Pleistocene","Southern","good",36,15,2.51467381276789,78.1351410873991,1.592369,80.405932,1,1,1,1,0.0277777777777778,0.0277777777777778,0.0277777777777778,0.0277777777777778,TRUE,TRUE,TRUE,TRUE
3.09,"Piacenzian","Northern","good",42,15,2.42424213890532e-09,68.4282025836254,1.592369,66.77291,2,1,0,0,0.0476190476190476,0.0238095238095238,0,0,TRUE,TRUE,FALSE,FALSE
3.09,"Piacenzian","Southern","good",21,11,3.61254423121571,51.9932841051366,4.782054,53.750124,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4.4665,"Zanclean","Northern","good",79,17,8.42236244533305e-10,64.6893968210742,1.592369,66.77291,1,0,0,0,0.0126582278481013,0,0,0,TRUE,FALSE,FALSE,FALSE
4.4665,"Zanclean","Southern","good",32,15,2.42424649197994e-09,67.5278428576295,1.592369,66.77291,3,1,0,0,0.09375,0.03125,0,0,TRUE,TRUE,FALSE,FALSE
6.2895,"Messinian","Northern","good",29,11,8.42236244533305e-10,46.446619081476,1.592369,48.647908,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
6.2895,"Messinian","Southern","bad",10,8,14.404110240659,63.2969896070605,14.483604,66.77291,1,0,0,0,0.1,0,0,0,TRUE,FALSE,FALSE,FALSE
9.438,"Tortonian","Northern","good",66,17,8.42236244533305e-10,69.6311037549499,1.592369,66.77291,1,1,0,0,0.0151515151515152,0.0151515151515152,0,0,TRUE,TRUE,FALSE,FALSE
9.438,"Tortonian","Southern","good",28,13,2.42424649197994e-09,51.9932841051366,1.592369,53.750124,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
12.725,"Serravallian","Northern","good",82,16,8.42236244533305e-10,64.6893968211688,1.592369,66.77291,1,0,0,0,0.0121951219512195,0,0,0,TRUE,FALSE,FALSE,FALSE
12.725,"Serravallian","Southern","good",22,9,8.91702874982649e-10,48.4820559670364,1.592369,48.647908,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
14.9,"Langhian","Northern","good",30,10,4.00091812459922,56.7358597590636,4.782054,59.588323,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
14.9,"Langhian","Southern","bad",10,4,7.06636585860006,50.6768705220725,7.986719,48.647908,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
18.215,"Burdigalian","Northern","good",93,17,9.27928154252489e-10,64.7223937587375,1.592369,66.77291,1,0,0,0,0.010752688172043,0,0,0,TRUE,FALSE,FALSE,FALSE
18.215,"Burdigalian","Southern","good",40,14,7.98039999062937e-10,63.2969896070605,1.592369,66.77291,1,0,0,0,0.025,0,0,0,TRUE,FALSE,FALSE,FALSE
21.745,"Aquitanian","Northern","good",25,10,7.24027666827185,49.7678966991166,7.986719,48.647908,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
21.745,"Aquitanian","Southern","bad",7,4,14.3789486755807,55.1122765435736,14.483604,53.750124,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
25.17,"Chattian","Northern","good",56,15,7.24027666827185,64.7223937587375,7.986719,66.77291,3,0,0,0,0.0535714285714286,0,0,0,TRUE,FALSE,FALSE,FALSE
25.17,"Chattian","Southern","bad",15,7,3.63561188230767,63.2969896070605,4.782054,66.77291,1,0,0,0,0.0666666666666667,0,0,0,TRUE,FALSE,FALSE,FALSE
30.6,"Rupelian","Northern","good",76,16,3.65078715219126,64.7223937587375,4.782054,66.77291,4,0,0,0,0.0526315789473684,0,0,0,TRUE,FALSE,FALSE,FALSE
30.6,"Rupelian","Southern","good",18,8,3.63561188230767,59.4708868266904,4.782054,59.588323,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
35.805,"Priabonian","Northern","good",69,16,3.61254422601775,64.7223937587375,4.782054,66.77291,3,0,0,0,0.0434782608695652,0,0,0,TRUE,FALSE,FALSE,FALSE
35.805,"Priabonian","Southern","good",20,8,7.24027667311207,63.2969896070605,7.986719,66.77291,1,0,0,0,0.05,0,0,0,TRUE,FALSE,FALSE,FALSE
39.37,"Bartonian","Northern","good",42,10,7.25798731451503,62.4358517731045,7.986719,59.588323,1,0,0,0,0.0238095238095238,0,0,0,TRUE,FALSE,FALSE,FALSE
39.37,"Bartonian","Southern","good",11,5,7.26849384315721,63.2969896070605,7.986719,66.77291,1,0,0,0,0.0909090909090909,0,0,0,TRUE,FALSE,FALSE,FALSE
44.55,"Lutetian","Northern","good",78,17,8.42236244533305e-10,64.6893968211688,1.592369,66.77291,4,0,0,0,0.0512820512820513,0,0,0,TRUE,FALSE,FALSE,FALSE
44.55,"Lutetian","Southern","good",14,9,4.2899805428945e-09,63.2969896070605,1.592369,66.77291,1,0,0,0,0.0714285714285714,0,0,0,TRUE,FALSE,FALSE,FALSE
