"hemisphere","n_good_stage_hemisphere","n_reaches_60","n_reaches_66_5","n_reaches_70","n_reaches_75","prop_reaches_60","prop_reaches_66_5","prop_reaches_70","prop_reaches_75","median_max_abs_lat","mean_max_abs_lat","q25_max_abs_lat","q75_max_abs_lat","median_prop_cells_ge_60","median_prop_cells_ge_66_5","median_prop_cells_ge_70","median_prop_cells_ge_75"
"Northern",63,47,43,35,27,0.746031746031746,0.682539682539683,0.555555555555556,0.428571428571429,73.8495458966174,68.5152126572029,61.0401560121094,79.1899781207881,0.0714285714285714,0.0384615384615385,0.024390243902439,0
"Southern",63,51,45,37,25,0.80952380952381,0.714285714285714,0.587301587301587,0.396825396825397,73.8495458935612,70.4858202416371,62.9821106287532,79.8413809614323,0.111111111111111,0.0833333333333333,0.037037037037037,0
