"bin_midpoint","stage.x","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","method","label","color","n_cells","n_valid_lat_bins","min_abs_lat","max_abs_lat","lat_range","sum_nT","mean_nT","median_nT","mean_t_over_nT","max_t_over_nT","prop_high_extrapolation","slope_direction","bin","stage.y","short","bottom","top","dur","climate_state","climate_color"
0.00585,"Holocene","Northern",-1.07727994348247,81.6875373107166,0.279882724647933,-1.62585008379242,-0.528709803172524,0.0023141854885817,0.5524911608776,14,"grid_cell_all_cells_OLS","good","Northern",14,7,10.8302606733616,79.945339667235,69.1150789938734,1078,77,40,0.701964709314535,1.54795766461432,0.0714285714285714,"normal_LDG",97,"Holocene","Hol",0.0117,0,0.0117,"Coldhouse","#B2CCC7"
1.29585,"Pleistocene","Northern",-0.667543812551587,52.4585298801693,0.187006205714376,-1.03407597575176,-0.30101164935141,0.000824040726392091,0.209776263545923,50,"grid_cell_all_cells_OLS","good","Northern",50,9,2.42424213890532e-09,82.382340216189,82.3823402137647,18257,365.14,118.5,0.83258549056743,1.95562327642128,0.08,"normal_LDG",96,"Pleistocene","Ple",2.58,0.0117,2.5683,"Coldhouse","#B2CCC7"
3.09,"Piacenzian","Northern",-0.953581258122171,67.8731937853035,0.343397752848596,-1.62664085370542,-0.280521662538922,0.0124367744486134,0.299915288189694,20,"grid_cell_all_cells_OLS","good","Northern",20,8,7.24027667311207,64.6893968210742,57.4491201479621,6763,338.15,245,0.791262803811308,1.85888058953604,0.1,"normal_LDG",95,"Piacenzian","Pia",3.6,2.58,1.02,"Coldhouse","#B2CCC7"
4.4665,"Zanclean","Northern",-0.738831977763963,57.8401545967534,0.27494176187681,-1.27771783104251,-0.199946124485416,0.0113338549439,0.184114911302381,34,"grid_cell_all_cells_OLS","good","Northern",34,9,2.42424213890532e-09,64.6893968210742,64.68939681865,7381,217.088235294118,114.5,0.84349699544383,1.89519934035521,0.117647058823529,"normal_LDG",94,"Zanclean","Zan",5.333,3.6,1.733,"Coldhouse","#B2CCC7"
6.2895,"Messinian","Northern",-1.40561755696328,90.3032260974928,0.827524028018378,-3.0275646518793,0.216329537952738,0.127826863118771,0.2650558845527,10,"grid_cell_all_cells_OLS","good","Northern",10,5,7.24027667311207,44.1541501116835,36.9138734385714,4045,404.5,237,0.60823641004436,1.74914441524458,0.1,"normal_LDG",93,"Messinian","Mes",7.246,5.333,1.913,"Coldhouse","#B2CCC7"
9.438,"Tortonian","Northern",-0.689428370970296,47.4304227402443,0.206022679763082,-1.09323282330594,-0.285623918634655,0.00241902139952176,0.293160419881004,29,"grid_cell_all_cells_OLS","good","Northern",29,9,8.42236244533305e-10,69.6311037549499,69.6311037541077,10358,357.172413793103,110,0.88920342965243,1.92666515849871,0.241379310344828,"normal_LDG",92,"Tortonian","Tor",11.63,7.246,4.384,"Coolhouse","#B3D8D0"
12.725,"Serravallian","Northern",0.576648639783722,5.7318763622773,0.288444441635767,0.0112975341776199,1.14199974538982,0.0550385611869205,0.12112341113483,31,"grid_cell_all_cells_OLS","good","Northern",31,7,7.24027666827185,56.7358597590636,49.4955830907918,8048,259.612903225806,75,0.889104570926594,1.91011160487644,0.129032258064516,"reverse_LDG",91,"Serravallian","Ser",13.82,11.63,2.19,"Transitional","#E4E4E4"
14.9,"Langhian","Northern",-0.440955659410657,46.2650487550643,0.787565250933937,-1.98458355124117,1.10267223241986,0.586770107201183,0.0277089676136276,13,"grid_cell_all_cells_OLS","good","Northern",13,6,10.8302606709665,52.5833589733677,41.7530983024012,2273,174.846153846154,81,0.84882102882896,1.69931122112038,0.0769230769230769,"normal_LDG",90,"Langhian","Lan",15.98,13.82,2.16,"Transitional","#E4E4E4"
18.215,"Burdigalian","Northern",0.239495209747892,11.9361067005508,0.240003204782351,-0.230911071625516,0.7099014911213,0.324648141637097,0.0255353648065359,40,"grid_cell_all_cells_OLS","good","Northern",40,8,4.00091812459922,59.8661434807237,55.8652253561245,9291,232.275,98.5,0.77506574168223,1.98323877068925,0.075,"reverse_LDG",89,"Burdigalian","Bur",20.45,15.98,4.47,"Transitional","#E4E4E4"
21.745,"Aquitanian","Northern",-1.30922610141098,78.1165547239454,0.799904520305329,-2.87703896120943,0.258586758387465,0.177028490551567,0.401097050647778,6,"grid_cell_all_cells_OLS","good","Northern",6,4,7.24027666827185,47.8962635996979,40.6559869314261,539,89.8333333333333,40,0.691752189238648,1.22790344500156,0,"normal_LDG",88,"Aquitanian","Aqu",23.04,20.45,2.59,"Coolhouse","#B3D8D0"
