"bin_midpoint","stage","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","resample_id","k_sample","slope_filter_id"
0.00585,"Holocene","Northern",-1.23950644122302,100.05224195711,0.463387176076674,-2.1477453063333,-0.331267576112735,0.0555231820605061,0.641416360819696,6,1,1,"occurrence5"
0.00585,"Holocene","Northern",-0.97613212648904,81.6715841240439,0.549041636062576,-2.05225373317169,0.099989480193608,0.150053956520633,0.441408666113718,6,2,1,"occurrence5"
0.00585,"Holocene","Northern",-0.65180549621235,71.5202640109706,0.542457485365175,-1.71502216752809,0.411411175103392,0.295802858171877,0.265218065263966,6,3,1,"occurrence5"
0.00585,"Holocene","Northern",-1.03545810325064,94.8128803891688,0.444391756201303,-1.90646594540519,-0.164450261096082,0.0802470838781728,0.575784301127723,6,4,1,"occurrence5"
0.00585,"Holocene","Northern",-1.04098406234932,93.6520622883364,0.478376886578053,-1.9786027600423,-0.103365364656336,0.0951611602496644,0.542088014173906,6,5,1,"occurrence5"
0.00585,"Holocene","Northern",-0.919650634157465,79.825331591036,0.582540911407682,-2.06143082051652,0.222129552201593,0.189550423486498,0.383881479520318,6,6,1,"occurrence5"
0.00585,"Holocene","Northern",-1.36936838199359,102.520711208289,0.480245497945709,-2.31064955796718,-0.428087206020002,0.0463305413733306,0.67025100647691,6,7,1,"occurrence5"
0.00585,"Holocene","Northern",-1.42596571087836,106.323799685294,0.450971948139272,-2.30987072923133,-0.542060692525389,0.034119062163918,0.714247700605441,6,8,1,"occurrence5"
0.00585,"Holocene","Northern",-1.39554730166551,104.62885368218,0.481890329802015,-2.34005234807746,-0.451042255253556,0.0442959644803604,0.677073791028274,6,9,1,"occurrence5"
0.00585,"Holocene","Northern",-0.656687425782237,72.327093371145,0.506624792145099,-1.64967201838663,0.336297166822156,0.26463483706841,0.295791550667225,6,10,1,"occurrence5"
0.00585,"Holocene","Northern",-0.725695159766236,74.9039455607934,0.507313140908045,-1.720028915946,0.268638596413533,0.225817927803263,0.338431642937947,6,11,1,"occurrence5"
0.00585,"Holocene","Northern",-1.34071253482467,102.427368158192,0.487126571505195,-2.29548061497485,-0.385944454674487,0.0512538119942191,0.654430282080775,6,12,1,"occurrence5"
0.00585,"Holocene","Northern",-1.36936838199359,102.520711208289,0.480245497945709,-2.31064955796718,-0.428087206020002,0.0463305413733306,0.67025100647691,6,13,1,"occurrence5"
0.00585,"Holocene","Northern",-0.949548595883824,80.4666562648049,0.587482891716961,-2.10101506364907,0.201917871881419,0.181334943563432,0.395078267162885,6,14,1,"occurrence5"
