"bin_midpoint","stage","hemisphere","label","n_cells","n_lat_bins","min_abs_lat","max_abs_lat","min_abs_lat_bin_mid","max_abs_lat_bin_mid","n_cells_ge_60","n_cells_ge_66_5","n_cells_ge_70","n_cells_ge_75","prop_cells_ge_60","prop_cells_ge_66_5","prop_cells_ge_70","prop_cells_ge_75","reaches_60","reaches_66_5","reaches_70","reaches_75"
0.00585,"Holocene","Northern","bad",55,3,7.75528644499503,82.9884517635243,9.73561,65.905157,20,13,10,6,0.363636363636364,0.236363636363636,0.181818181818182,0.109090909090909,TRUE,TRUE,TRUE,TRUE
0.00585,"Holocene","Southern","bad",17,3,4.06358651339918,67.5278428576295,9.73561,65.905157,2,1,0,0,0.117647058823529,0.0588235294117647,0,0,TRUE,TRUE,FALSE,FALSE
1.29585,"Pleistocene","Northern","bad",104,3,2.42424213890532e-09,82.382340216189,9.73561,65.905157,12,7,5,3,0.115384615384615,0.0673076923076923,0.0480769230769231,0.0288461538461538,TRUE,TRUE,TRUE,TRUE
1.29585,"Pleistocene","Southern","bad",36,3,2.51467381276789,78.1351410873991,9.73561,65.905157,1,1,1,1,0.0277777777777778,0.0277777777777778,0.0277777777777778,0.0277777777777778,TRUE,TRUE,TRUE,TRUE
3.09,"Piacenzian","Northern","bad",42,3,2.42424213890532e-09,68.4282025836254,9.73561,65.905157,2,1,0,0,0.0476190476190476,0.0238095238095238,0,0,TRUE,TRUE,FALSE,FALSE
3.09,"Piacenzian","Southern","bad",21,3,3.61254423121571,51.9932841051366,9.73561,65.905157,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4.4665,"Zanclean","Northern","bad",79,3,8.42236244533305e-10,64.6893968210742,9.73561,65.905157,1,0,0,0,0.0126582278481013,0,0,0,TRUE,FALSE,FALSE,FALSE
4.4665,"Zanclean","Southern","bad",32,3,2.42424649197994e-09,67.5278428576295,9.73561,65.905157,3,1,0,0,0.09375,0.03125,0,0,TRUE,TRUE,FALSE,FALSE
6.2895,"Messinian","Northern","bad",29,3,8.42236244533305e-10,46.446619081476,9.73561,65.905157,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
6.2895,"Messinian","Southern","bad",10,3,14.404110240659,63.2969896070605,9.73561,65.905157,1,0,0,0,0.1,0,0,0,TRUE,FALSE,FALSE,FALSE
9.438,"Tortonian","Northern","bad",66,3,8.42236244533305e-10,69.6311037549499,9.73561,65.905157,1,1,0,0,0.0151515151515152,0.0151515151515152,0,0,TRUE,TRUE,FALSE,FALSE
9.438,"Tortonian","Southern","bad",28,3,2.42424649197994e-09,51.9932841051366,9.73561,65.905157,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
12.725,"Serravallian","Northern","bad",82,3,8.42236244533305e-10,64.6893968211688,9.73561,65.905157,1,0,0,0,0.0121951219512195,0,0,0,TRUE,FALSE,FALSE,FALSE
12.725,"Serravallian","Southern","bad",22,3,8.91702874982649e-10,48.4820559670364,9.73561,65.905157,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
14.9,"Langhian","Northern","bad",30,3,4.00091812459922,56.7358597590636,9.73561,65.905157,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
14.9,"Langhian","Southern","bad",10,3,7.06636585860006,50.6768705220725,9.73561,65.905157,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
18.215,"Burdigalian","Northern","bad",93,3,9.27928154252489e-10,64.7223937587375,9.73561,65.905157,1,0,0,0,0.010752688172043,0,0,0,TRUE,FALSE,FALSE,FALSE
18.215,"Burdigalian","Southern","bad",40,3,7.98039999062937e-10,63.2969896070605,9.73561,65.905157,1,0,0,0,0.025,0,0,0,TRUE,FALSE,FALSE,FALSE
