"hemisphere","n_good_stage_hemisphere","n_reaches_60","n_reaches_66_5","n_reaches_70","n_reaches_75","prop_reaches_60","prop_reaches_66_5","prop_reaches_70","prop_reaches_75","median_max_abs_lat","mean_max_abs_lat","q25_max_abs_lat","q75_max_abs_lat","median_prop_cells_ge_60","median_prop_cells_ge_66_5","median_prop_cells_ge_70","median_prop_cells_ge_75"
"Northern",62,53,41,33,27,0.854838709677419,0.661290322580645,0.532258064516129,0.435483870967742,71.3172494499029,69.0748327473753,64.6976460552351,79.1899781207881,0.0641339869281046,0.0380747126436782,0.0155651340996169,0
"Southern",64,54,41,39,29,0.84375,0.640625,0.609375,0.453125,71.9435853461596,70.6687719946381,62.8239404851799,78.1351410873991,0.111455108359133,0.0645235892691952,0.034019439679817,0
