"bin_midpoint","stage","max_abs_lat_Northern","max_abs_lat_Southern","prop_cells_ge_60_Northern","prop_cells_ge_60_Southern","prop_cells_ge_66_5_Northern","prop_cells_ge_66_5_Southern","prop_cells_ge_70_Northern","prop_cells_ge_70_Southern","prop_cells_ge_75_Northern","prop_cells_ge_75_Southern","reaches_60_Northern","reaches_60_Southern","reaches_66_5_Northern","reaches_66_5_Southern","reaches_70_Northern","reaches_70_Southern","reaches_75_Northern","reaches_75_Southern","both_reach_60","both_reach_66_5","both_reach_70","both_reach_75","max_abs_lat_diff","prop_cells_ge_60_diff","prop_cells_ge_70_diff"
377.23,"Frasnian",39.2341611098997,67.4252297653786,0,0.0192307692307692,0,0.0192307692307692,0,0,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28.1910686554789,0.0192307692307692,0
385.13,"Givetian",39.234161111352,82.9884517690208,0,0.178571428571429,0,0.142857142857143,0,0.107142857142857,0,0.0714285714285714,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,43.7542906576688,0.178571428571429,0.107142857142857
402.045,"Emsian",39.9747255378545,86.3874557702248,0,0.206349206349206,0,0.158730158730159,0,0.126984126984127,0,0.0634920634920635,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,46.4127302323703,0.206349206349206,0.126984126984127
428.65,"Homerian",45.5739942769584,73.8495458935612,0,0.0625,0,0.03125,0,0.03125,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28.2755516166028,0.0625,0.03125
435.75,"Telychian",39.9747255378545,82.9884517690208,0,0.162790697674419,0,0.13953488372093,0,0.13953488372093,0,0.0930232558139535,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,43.0137262311663,0.162790697674419,0.13953488372093
441.8,"Rhuddanian",31.8079668257209,63.750052708828,0,0.05,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31.9420858831071,0.05,0
449,"Katian",27.6050026484031,82.9884517580278,0,0.131147540983607,0,0.114754098360656,0,0.0819672131147541,0,0.0655737704918033,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,55.3834491096247,0.131147540983607,0.0819672131147541
470.35,"Dapingian",35.2643896801726,62.2141685377112,0,0.0555555555555556,0,0,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26.9497788575386,0.0555555555555556,0
474.2,"Floian",35.2643896801726,82.9884517580278,0,0.14,0,0.1,0,0.06,0,0.06,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,47.7240620778552,0.14,0.06
481.975,"Tremadocian",27.6050026428908,75.4880138788193,0,0.16,0,0.1,0,0.06,0,0.02,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,47.8830112359285,0.16,0.06
