"bin_midpoint","stage","hemisphere","label","n_cells","n_lat_bins","min_abs_lat","max_abs_lat","min_abs_lat_bin_mid","max_abs_lat_bin_mid","n_cells_ge_60","n_cells_ge_66_5","n_cells_ge_70","n_cells_ge_75","prop_cells_ge_60","prop_cells_ge_66_5","prop_cells_ge_70","prop_cells_ge_75","reaches_60","reaches_66_5","reaches_70","reaches_75"
444.15,"Hirnantian","Southern","good",52,6,1.36352513630967,86.6306437505579,4.797034,73.221345,8,6,6,5,0.153846153846154,0.115384615384615,0.115384615384615,0.0961538461538462,TRUE,TRUE,TRUE,TRUE
449,"Katian","Northern","bad",71,4,1.24700325793504e-09,30.162085351603,4.797034,35.905157,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
449,"Katian","Southern","good",149,6,7.06198034887955e-10,85.1626620248435,4.797034,73.221345,15,13,12,7,0.100671140939597,0.087248322147651,0.0805369127516778,0.0469798657718121,TRUE,TRUE,TRUE,TRUE
455.5,"Sandbian","Northern","bad",47,3,1.37930150727595,27.6050026484031,4.797034,24.73561,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
455.5,"Sandbian","Southern","good",128,6,1.20452405114051,85.1626620248435,4.797034,73.221345,15,14,10,6,0.1171875,0.109375,0.078125,0.046875,TRUE,TRUE,TRUE,TRUE
463.8,"Darriwilian","Northern","good",53,4,2.42420109094807e-09,30.3887926704868,4.797034,35.905157,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
463.8,"Darriwilian","Southern","good",125,6,1.16197979005772e-09,85.1626620248435,4.797034,73.221345,20,16,13,6,0.16,0.128,0.104,0.048,TRUE,TRUE,TRUE,TRUE
470.35,"Dapingian","Northern","bad",10,3,1.21846380790081,25.1816346517899,4.797034,24.73561,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
470.35,"Dapingian","Southern","good",29,6,2.06944946760352e-09,62.3684846693524,4.797034,73.221345,1,0,0,0,0.0344827586206897,0,0,0,TRUE,FALSE,FALSE,FALSE
474.2,"Floian","Northern","good",34,4,1.21255255959531,32.71487218833,4.797034,35.905157,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
474.2,"Floian","Southern","good",90,6,1.3744585149722,80.5813782295566,4.797034,73.221345,14,10,7,6,0.155555555555556,0.111111111111111,0.0777777777777778,0.0666666666666667,TRUE,TRUE,TRUE,TRUE
481.975,"Tremadocian","Northern","bad",6,2,1.21255255959531,11.6697823502441,4.797034,14.532644,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
481.975,"Tremadocian","Southern","good",44,6,2.43080114862638,73.8495458966174,4.797034,73.221345,2,2,2,0,0.0454545454545455,0.0454545454545455,0.0454545454545455,0,TRUE,TRUE,TRUE,FALSE
