"hemisphere","n_good_stage_hemisphere","n_reaches_60","n_reaches_66_5","n_reaches_70","n_reaches_75","prop_reaches_60","prop_reaches_66_5","prop_reaches_70","prop_reaches_75","median_max_abs_lat","mean_max_abs_lat","q25_max_abs_lat","q75_max_abs_lat","median_prop_cells_ge_60","median_prop_cells_ge_66_5","median_prop_cells_ge_70","median_prop_cells_ge_75"
"Northern",65,45,41,33,25,0.692307692307692,0.630769230769231,0.507692307692308,0.384615384615385,71.9435853513676,66.1746677672685,59.8661434807237,79.1899781207881,0.0645161290322581,0.0357142857142857,0.0163934426229508,0
"Southern",62,51,46,39,27,0.82258064516129,0.741935483870968,0.629032258064516,0.435483870967742,73.8495458962554,71.2508827715398,65.6738300602119,79.8413809614323,0.11437908496732,0.0871212121212121,0.0508365508365508,0
