"bin_midpoint","hemisphere","stage","n_cells","n_valid_lat_bins","min_abs_lat_bin_mid","max_abs_lat_bin_mid","lat_range_diagnostic","has_tropical","has_temperate","has_polar","sum_nT","mean_nT","median_nT","min_nT","max_nT","has_adjacent_tt","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","pass_tropical","pass_temperate","pass_polar","pass_adjacent_tt","pass_n_lat_bins","label","color","slope_filter_id","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","require_tropical","require_temperate","require_polar","require_adjacent_tt","require_min_lat_bins"
0.00585,"Northern","Holocene",17,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,1250,73.5294117647059,34,11,365,FALSE,4,9,5.66666666666667,4,0.509426708108493,0.705882352941176,0.529411764705882,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
1.29585,"Northern","Pleistocene",70,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,14821,211.728571428571,97.5,7,2129,FALSE,12,36,23.3333333333333,22,0.516661180572146,0.514285714285714,0.514285714285714,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
3.09,"Northern","Piacenzian",24,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,6968,290.333333333333,152.5,9,1309,FALSE,4,16,8,4,0.866025403784439,0.5,0.666666666666667,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
4.4665,"Northern","Zanclean",41,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,6893,168.121951219512,76,5,1162,FALSE,10,21,13.6666666666667,10,0.464696558128235,0.731707317073171,0.51219512195122,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
6.2895,"Northern","Messinian",10,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,4352,435.2,150,9,2298,FALSE,1,6,3.33333333333333,3,0.754983443527075,0.3,0.6,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
9.438,"Northern","Tortonian",39,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,10996,281.948717948718,89,8,4608,FALSE,10,16,13,13,0.230769230769231,0.769230769230769,0.41025641025641,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
12.725,"Northern","Serravallian",39,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,8851,226.948717948718,81,6,2716,FALSE,8,17,13,14,0.352505822688911,0.615384615384615,0.435897435897436,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
14.9,"Northern","Langhian",17,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,2410,141.764705882353,79,7,978,FALSE,3,8,5.66666666666667,6,0.444107907957103,0.529411764705882,0.470588235294118,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
18.215,"Northern","Burdigalian",43,3,9.73561,65.905157,56.169547,TRUE,TRUE,TRUE,9134,212.418604651163,72,6,1889,FALSE,11,16,14.3333333333333,16,0.201401256694055,0.767441860465116,0.372093023255814,TRUE,TRUE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
21.745,"Northern","Aquitanian",7,2,9.73561,65.905157,56.169547,TRUE,FALSE,TRUE,620,88.5714285714286,39,5,392,FALSE,0,4,2.33333333333333,3,0.892142571199771,0,0.571428571428571,TRUE,FALSE,TRUE,FALSE,TRUE,"bad","Bad hemisphere","occurrence5","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE
