"slope_filter_id","bin_midpoint","sampling_profile_dissim"
"occurrence10",14.9,0.233333333333333
"occurrence10",18.215,0.952631578947368
"occurrence10",21.745,0.5
"occurrence10",25.17,0.107142857142857
"occurrence10",30.6,0.133333333333333
"occurrence10",35.805,0.409090909090909
"occurrence10",39.37,0.875
"occurrence10",44.55,1.16666666666667
"occurrence10",52.035,1.55428571428571
"occurrence10",57.62,0.357142857142857
"occurrence10",60.45,0.75
"occurrence10",63.83,0.142857142857143
"occurrence10",69.1,0.175
"occurrence10",77.9,0.56390977443609
"occurrence10",84.65,0.194444444444444
"occurrence10",87.75,2.13888888888889
"occurrence10",91.85,0.524436090225564
"occurrence10",97.2,0.19047619047619
"occurrence10",106.85,0.433333333333333
"occurrence10",117.3,0.3
"occurrence10",123.585,0.5
"occurrence10",129.185,0.75
"occurrence10",134.825,0.3125
"occurrence10",140.075,0.147058823529412
"occurrence10",146.15,0.625
"occurrence10",152,0.571428571428571
"occurrence10",158.15,0.171428571428571
"occurrence10",163.4,0.65
"occurrence10",166.75,1.15434782608696
"occurrence10",169.55,0.714975845410628
"occurrence10",172.8,3
"occurrence10",179.45,0.225705329153605
"occurrence10",188.55,0.129032258064516
"occurrence10",196.2,0.173913043478261
"occurrence10",200.45,0.178571428571429
"occurrence10",203.55,0.4375
"occurrence10",216.5,0.173076923076923
"occurrence10",232.15,0.75
"occurrence10",239.232,0.823529411764706
"occurrence10",244.082,0.571428571428571
"occurrence10",248.3,0.294117647058823
"occurrence10",250.901,0.428571428571429
"occurrence10",253.021,1.07936507936508
"occurrence10",256.825,0.144249512670565
"occurrence10",261.895,0.545454545454545
"occurrence10",265.59,0.593350383631714
"occurrence10",270.65,0.684210526315789
"occurrence10",278.85,0.102631578947368
"occurrence10",286.7,0.31578947368421
"occurrence10",291.81,0.441666666666667
"occurrence10",296.21,1.38461538461538
"occurrence10",301.3,0.755555555555556
"occurrence10",305.35,0.7
"occurrence10",311.1,0.735294117647059
"occurrence10",319.3,1.49545454545455
"occurrence10",326.85,1.38888888888889
"occurrence10",338.5,0.91304347826087
"occurrence10",352.78,1.11290322580645
"occurrence10",365.505,2.76923076923077
"occurrence10",377.23,0.21875
"occurrence10",385.13,0.82520325203252
"occurrence10",390.71,3.63636363636364
"occurrence10",402.045,2.75
"occurrence10",411.82,2.8
"occurrence10",416.32,1.04
"occurrence10",421.16,1.25
"occurrence10",423.85,0.333333333333333
"occurrence10",425.85,2
"occurrence10",428.65,1.5
"occurrence10",431.75,3
"occurrence10",435.75,1.05
"occurrence10",439.55,1.25
"occurrence10",441.8,1.16666666666667
"occurrence10",444.15,0.4375
"occurrence10",449,1.34847198641766
"occurrence10",455.5,0.531593406593407
"occurrence10",463.8,0.23030303030303
"occurrence10",470.35,1.78571428571429
"occurrence10",474.2,0.34375
"occurrence10",481.975,1.46703296703297
"occurrence5",0.00585,0.666666666666667
"occurrence5",1.29585,0.404453441295547
"occurrence5",3.09,0.388888888888889
"occurrence5",4.4665,0.214285714285714
"occurrence5",6.2895,0.416666666666667
"occurrence5",9.438,0.673020527859238
"occurrence5",12.725,0.4
"occurrence5",14.9,0.411764705882353
"occurrence5",18.215,0.967525195968645
"occurrence5",21.745,0.75
"occurrence5",25.17,0.7
"occurrence5",30.6,0.235294117647059
"occurrence5",35.805,0.375
"occurrence5",39.37,0.7
"occurrence5",44.55,1.16666666666667
"occurrence5",52.035,1.56043956043956
"occurrence5",57.62,1
"occurrence5",60.45,0.75
"occurrence5",63.83,0.142045454545455
"occurrence5",69.1,0.177777777777778
"occurrence5",77.9,0.315671641791045
"occurrence5",84.65,0.145833333333333
"occurrence5",87.75,1.44565217391304
"occurrence5",91.85,0.408163265306123
"occurrence5",97.2,0.18
"occurrence5",106.85,0.223684210526316
"occurrence5",117.3,0.333333333333333
"occurrence5",123.585,0.3
"occurrence5",129.185,1.23333333333333
"occurrence5",134.825,0.428571428571428
"occurrence5",140.075,0.108695652173913
"occurrence5",146.15,0.142857142857143
"occurrence5",152,1
"occurrence5",158.15,0.24
"occurrence5",163.4,0.7125
"occurrence5",166.75,0.951923076923077
"occurrence5",169.55,0.662068965517241
"occurrence5",172.8,0.175
"occurrence5",179.45,0.228070175438597
"occurrence5",188.55,0.115384615384615
"occurrence5",196.2,0.225705329153605
"occurrence5",200.45,0.666666666666667
"occurrence5",203.55,0.5
"occurrence5",216.5,0.164516129032258
"occurrence5",232.15,0.909090909090909
"occurrence5",239.232,0.636363636363636
"occurrence5",244.082,0.695652173913043
"occurrence5",248.3,0.333333333333333
"occurrence5",250.901,0.502923976608187
"occurrence5",253.021,0.591304347826087
"occurrence5",256.825,0.401785714285714
"occurrence5",261.895,0.568681318681319
"occurrence5",265.59,0.566666666666667
"occurrence5",270.65,0.597744360902255
"occurrence5",278.85,0.200940070505288
"occurrence5",286.7,0.331262939958592
"occurrence5",291.81,0.433189655172414
"occurrence5",296.21,1.32352941176471
"occurrence5",301.3,1.11111111111111
"occurrence5",305.35,1.4
"occurrence5",311.1,0.972222222222222
"occurrence5",319.3,1.64230769230769
"occurrence5",326.85,1.39285714285714
"occurrence5",338.5,0.0380434782608695
"occurrence5",352.78,1.35
"occurrence5",365.505,1.875
"occurrence5",377.23,0.179487179487179
"occurrence5",385.13,0.822695035460993
"occurrence5",390.71,3.55555555555556
"occurrence5",402.045,2.48863636363636
"occurrence5",411.82,3.2
"occurrence5",416.32,1.29292929292929
"occurrence5",421.16,1.275
"occurrence5",423.85,2.66666666666667
"occurrence5",425.85,2
"occurrence5",428.65,1.75
"occurrence5",431.75,3
"occurrence5",435.75,1.27272727272727
"occurrence5",439.55,1.75
"occurrence5",441.8,1.2
"occurrence5",444.15,0.4375
"occurrence5",449,1.18014705882353
"occurrence5",455.5,0.419221698113208
"occurrence5",463.8,0.0708782742681047
"occurrence5",470.35,1.875
"occurrence5",474.2,0.103238866396761
"occurrence5",481.975,1.36875
