"bin_midpoint","sampling_profile_dissim"
0.00585,0.857142857142857
1.29585,0.566666666666667
3.09,0.75
4.4665,0.258620689655172
6.2895,0.3
9.438,0.3
12.725,0.8125
14.9,0.333333333333333
18.215,1.07142857142857
21.745,0.857142857142857
25.17,0.31578947368421
30.6,0.260869565217391
35.805,0.52
39.37,1.375
44.55,1.12
52.035,1.5
57.62,0.4
60.45,0.5
63.83,0.0625
69.1,0.203703703703704
77.9,0.590425531914893
84.65,0.5
87.75,2.475
91.85,0.777777777777778
97.2,0.241379310344828
106.85,1.21428571428571
117.3,0.342105263157895
123.585,0.729166666666667
129.185,0.833333333333333
134.825,1
140.075,0.25
146.15,0.294117647058824
152,0.611111111111111
158.15,0.31578947368421
163.4,0.325
166.75,0.30952380952381
169.55,0.25
172.8,0.384615384615385
179.45,0.260869565217391
188.55,0.24
196.2,0.928571428571428
200.45,1.2
203.55,0.5625
216.5,0.85
232.15,0.342105263157895
239.232,0.9
244.082,0.208333333333333
248.3,0.4375
250.901,0.708333333333333
253.021,1.07142857142857
256.825,0.0952380952380953
261.895,0.602678571428571
265.59,0.85
270.65,1
278.85,0.466666666666667
286.7,0.571428571428571
291.81,0.0448717948717948
296.21,0.409090909090909
301.3,0.571428571428571
305.35,1
311.1,0.9
319.3,1
326.85,0.75
338.5,1.17647058823529
352.78,0.24
365.505,2.31
377.23,1.66666666666667
385.13,0.78
390.71,3.46153846153846
402.045,1.00358422939068
411.82,0.692307692307692
416.32,1.05882352941176
421.16,0.409090909090909
423.85,0.375
425.85,0.4
428.65,0.764705882352941
431.75,2.57142857142857
435.75,0.855555555555555
439.55,2
441.8,0.523809523809524
444.15,0.785714285714285
449,0.232843137254902
455.5,0.318181818181818
463.8,0.372960372960373
470.35,0.7
474.2,0.772727272727273
481.975,1.03030303030303
