"bin_midpoint","sampling_profile_dissim"
0.00585,0.0962566844919786
1.29585,0.102197802197802
3.09,0.666666666666667
4.4665,1.06620209059233
6.2895,0.6
9.438,0.538461538461538
12.725,0.746153846153846
14.9,0.264705882352941
18.215,0.527131782945736
21.745,0.214285714285714
25.17,0.328571428571429
30.6,0.342857142857143
35.805,0.567567567567568
39.37,0.286764705882353
44.55,1.07619047619048
52.035,1.20967741935484
57.62,1.25
60.45,0.75
63.83,0.357142857142857
69.1,0.258148631029987
77.9,0.347490347490347
84.65,0.330459770114943
87.75,1
91.85,1.17032967032967
97.2,0.710126582278481
106.85,0.0266666666666667
117.3,0.0421052631578947
123.585,0.206896551724138
129.185,0.0925925925925926
134.825,0.349624060150376
140.075,0.0810810810810811
146.15,0.123529411764706
152,0.461538461538462
158.15,0.676829268292683
163.4,0.521739130434783
166.75,0.692307692307692
169.55,0.509090909090909
172.8,0.425
179.45,0.461538461538462
188.55,0.0923076923076923
196.2,0.0391304347826087
200.45,0.152727272727273
203.55,0.613636363636364
216.5,0.269230769230769
232.15,1.05329153605016
239.232,0.807692307692308
244.082,0.0463320463320462
248.3,0.0752895752895752
250.901,0.0769230769230768
253.021,0.455357142857143
256.825,0.282608695652174
261.895,0.242647058823529
265.59,0.188905547226387
270.65,0.321428571428572
278.85,0.601351351351351
286.7,0.593103448275862
291.81,0.0161290322580645
296.21,0.533333333333333
301.3,1.44444444444444
305.35,1
311.1,0.784313725490196
319.3,0.333333333333333
326.85,0.728291316526611
338.5,0.264705882352941
352.78,0.984848484848485
365.505,1.1875
377.23,0.855654761904762
385.13,0.107142857142857
390.71,2.41463414634146
402.045,0.865691489361702
411.82,2.625
416.32,1.47222222222222
421.16,2.86363636363636
423.85,1.64705882352941
425.85,0.4
428.65,0.659090909090909
431.75,1.11111111111111
435.75,0.807692307692308
439.55,1.77777777777778
441.8,1
444.15,1.66666666666667
449,1.16
455.5,1.05128205128205
463.8,0.471052631578947
470.35,0.909090909090909
474.2,0.143962848297214
481.975,2.31818181818182
