"bin_midpoint","sampling_profile_dissim"
0.00585,0.428571428571428
1.29585,0.255
3.09,0.45
4.4665,0.735294117647059
6.2895,0.25
9.438,0.439655172413793
12.725,0.806451612903226
14.9,0.230769230769231
18.215,0.575
21.745,0.333333333333333
25.17,0.125
30.6,0.111111111111111
35.805,0.25
39.37,0.5
44.55,0.406451612903226
52.035,1.5
57.62,0.833333333333333
60.45,0.75
63.83,0.333333333333333
69.1,0.236842105263158
77.9,0.76048951048951
84.65,0.119047619047619
87.75,0.75
91.85,0.418918918918919
97.2,0.15
106.85,0.396551724137931
117.3,0.198529411764706
123.585,0.133333333333333
129.185,0.576923076923077
134.825,0.333333333333333
140.075,0.0833333333333333
146.15,0.111111111111111
152,0.5
158.15,0.395454545454546
163.4,0.285714285714286
166.75,0.214285714285714
169.55,0.275
172.8,0.138888888888889
179.45,0.3
188.55,0.1
196.2,0.393103448275862
200.45,0.5
203.55,0.165441176470588
216.5,0.151193633952255
232.15,0.833333333333333
239.232,0.416666666666667
244.082,1.02941176470588
248.3,0.9
250.901,0.0241935483870968
253.021,0.861111111111111
256.825,0.0349650349650349
261.895,0.0230769230769232
265.59,0.125874125874126
270.65,0.275
278.85,0.239495798319328
286.7,0.72554347826087
291.81,0.182773109243697
296.21,0.833333333333333
301.3,0.984848484848485
305.35,1.5
311.1,0.512820512820513
319.3,0.10989010989011
326.85,0.880952380952381
338.5,0.19047619047619
352.78,2.18181818181818
365.505,1.73333333333333
377.23,1.171875
385.13,1.22727272727273
390.71,1.953125
402.045,1.47727272727273
411.82,2.78571428571429
416.32,1.25
421.16,2.4375
423.85,0.285714285714286
425.85,2
428.65,1.14583333333333
431.75,2.1875
435.75,0.642857142857143
439.55,1.81818181818182
441.8,0.847058823529412
444.15,1.25
449,1.15991902834008
455.5,1.23827392120075
463.8,0.83359497645212
470.35,1.14285714285714
474.2,0.145454545454545
481.975,0.339721254355401
