"bin_midpoint","stage","era","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_mean_Northern","k_mean_Southern","sampling_profile_dissim","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_cv_asym","k_median_diff","k_median_asym","k_median_diff_signed","k_mean_diff","k_mean_asym","k_mean_diff_signed","method_group","slope_metric","qc_name"
0.00585,"Holocene","Cenozoic",-1.27357764892487,0.0707045777215609,1.5,1,0.925820099772552,1.00203873810001,2.33333333333333,1.16666666666667,0.428571428571428,1.34428222664643,-1.34428222664643,0.076218638327458,-0.076218638327458,0.0388141275337609,0.5,0.22314355131421,0.5,1.16666666666666,0.430782916092452,1.16666666666666,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
1.29585,"Pleistocene","Cenozoic",-0.508997226339219,-0.178742676732032,7,2.5,0.726636084983398,0.612372435695795,8.33333333333333,2.66666666666667,0.255,0.330254549607187,-0.330254549607187,0.114263649287603,0.114263649287603,0.0684683991344181,4.5,0.826678573184468,4.5,5.66666666666666,0.934309237376832,5.66666666666666,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
3.09,"Piacenzian","Cenozoic",-0.958352869342238,-0.702451026030679,2,2,1.0334408546211,0.903327183250897,3.33333333333333,1.66666666666667,0.45,0.255901843311559,-0.255901843311559,0.130113671370203,0.130113671370203,0.066125856657049,0,0,0,1.66666666666666,0.485507815781699,1.66666666666666,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
4.4665,"Zanclean","Cenozoic",-0.79429160871427,-0.409565213131936,6,1,0.519515345078109,0.816496580927726,5.66666666666667,1.5,0.735294117647059,0.384726395582334,-0.384726395582334,0.296981235849617,-0.296981235849617,0.178518258354728,5,1.25276296849537,5,4.16666666666667,0.980829253011727,4.16666666666667,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
9.438,"Tortonian","Cenozoic",-0.63700749641103,-0.381076574012998,4.5,1.5,0.576594619753889,0.612372435695795,4.83333333333333,1.33333333333333,0.439655172413793,0.255930922398032,-0.255930922398032,0.035777815941906,-0.035777815941906,0.0224394398371374,3,0.78845736036427,3,3.5,0.916290731874156,3.5,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
12.725,"Serravallian","Cenozoic",0.200757482682562,-0.214458015415307,5,1,0.663920810693571,1.09544511501033,5.16666666666667,1.5,0.806451612903226,0.415215498097869,0.415215498097869,0.431524304316759,-0.431524304316759,0.230589244666082,4,1.09861228866811,4,3.66666666666667,0.902867711542015,3.66666666666667,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
18.215,"Burdigalian","Cenozoic",0.0691892957583816,-0.112945103033804,7,1,0.634034699365894,1.20664825031987,6.66666666666667,2.5,0.575,0.182134398792186,0.182134398792186,0.572613550953976,-0.572613550953976,0.300422503415113,6,1.38629436111989,6,4.16666666666667,0.784118958765672,4.16666666666667,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
44.55,"Lutetian","Cenozoic",-0.0554326134169698,0.038976171363313,3.5,0.5,1.07705228438969,1.17983049630021,5.16666666666667,0.833333333333333,0.406451612903226,0.0944087847802828,-0.0944087847802828,0.10277821191052,-0.10277821191052,0.0482974021770585,3,1.09861228866811,3,4.33333333333334,1.21302263984585,4.33333333333334,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
69.1,"Maastrichtian","Mesozoic",0.332187054320665,0.497699499883915,5,1,0.764880089456208,0.894427190999916,6.33333333333333,1,0.236842105263158,0.16551244556325,-0.16551244556325,0.129547101543708,-0.129547101543708,0.0708337688695408,4,1.09861228866811,4,5.33333333333333,1.29928298413026,5.33333333333333,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
77.9,"Campanian","Mesozoic",-0.17778873285396,0.151716256532335,7,1,0.76421441273968,1.00082610505621,8.66666666666667,1.83333333333333,0.76048951048951,0.329504989386295,-0.329504989386295,0.23661169231653,-0.23661169231653,0.125854648435086,6,1.38629436111989,6,6.83333333333334,1.2272296664902,6.83333333333334,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
