"bin_midpoint","sampling_profile_dissim"
0.00585,0.214285714285714
1.29585,0.3125
3.09,0.025
4.4665,0.169950738916256
6.2895,0.15
9.438,0.282857142857143
12.725,0.100961538461538
14.9,0.125
18.215,0.245391705069124
21.745,0.428571428571429
25.17,0.138157894736842
30.6,0.0217391304347826
35.805,0.188571428571429
39.37,0.303571428571429
44.55,0.54
52.035,0.9375
57.62,0.15
60.45,0.5
63.83,0.589285714285714
69.1,0.277777777777778
77.9,0.408510638297872
84.65,0.15
87.75,0.6
91.85,0.896551724137931
97.2,0.280788177339901
106.85,0.402857142857143
117.3,0.270676691729323
123.585,0.0416666666666666
129.185,0.375
134.825,0.3
140.075,0.277777777777778
146.15,0.088235294117647
152,0.583333333333333
158.15,0.508771929824561
163.4,0.275
166.75,0.214285714285714
169.55,0
172.8,0.384615384615385
179.45,0.00815217391304347
188.55,0.12
196.2,0.135338345864662
200.45,0.0272727272727273
203.55,0.160714285714286
216.5,0.363157894736842
232.15,0.552631578947368
239.232,0.15
244.082,0.34375
248.3,0.15625
250.901,0.0625
253.021,0.107142857142857
256.825,0.3125
261.895,0.28125
265.59,0.2
270.65,0.105
278.85,0.1
286.7,0.0824175824175824
291.81,0.158653846153846
296.21,0.245454545454545
301.3,0.771428571428571
305.35,0.5
311.1,0
319.3,0.3125
326.85,0.125
338.5,0.317647058823529
352.78,0.96
365.505,0.64
377.23,0.804347826086956
385.13,0.45
390.71,1.21153846153846
402.045,0.494623655913978
411.82,0.923076923076923
416.32,0.69485294117647
421.16,1.09090909090909
423.85,0.75
425.85,0.6
428.65,0.415966386554622
431.75,1.07142857142857
435.75,0.233333333333333
439.55,1.16666666666667
441.8,0.821428571428572
444.15,1.3
449,0.605392156862745
455.5,1.09090909090909
463.8,0.975524475524476
470.35,0.35
474.2,0.608391608391608
481.975,0.363636363636364
