"bin_midpoint","stage","era","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_mean_Northern","k_mean_Southern","sampling_profile_dissim","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_cv_asym","k_median_diff","k_median_asym","k_median_diff_signed","k_mean_diff","k_mean_asym","k_mean_diff_signed","method_group","slope_metric","qc_name"
0.00585,"Holocene","Cenozoic",-0.322911780026448,0.046032020533318,3,2,0.565440698385784,0.724996437722796,2.83333333333333,1.83333333333333,0.0962566844919786,0.368943800559766,-0.368943800559766,0.159555739337012,-0.159555739337012,0.0970576046290267,1,0.287682072451781,1,1,0.302280871872934,1,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
1.29585,"Pleistocene","Cenozoic",-0.248782480408435,-0.179854001265346,10,2.5,0.640662921973667,0.85933784884732,11.6666666666667,4.33333333333333,0.102197802197802,0.068928479143089,-0.068928479143089,0.218674926873653,-0.218674926873653,0.125120048223811,7.5,1.145132304303,7.5,7.33333333333337,0.864997437486608,7.33333333333337,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
3.09,"Piacenzian","Cenozoic",-0.718577940358306,-0.868122197795855,3,1.5,1.16189500386223,1.01105005920687,4,1.5,0.666666666666667,0.149544257437549,0.149544257437549,0.15084494465536,0.15084494465536,0.0723281505073676,1.5,0.470003629245736,1.5,2.5,0.693147180559945,2.5,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
4.4665,"Zanclean","Cenozoic",-0.360937479809596,-0.330467666275101,6.5,1,0.644013294226903,1.00203873810001,6.83333333333333,1.16666666666667,1.06620209059233,0.030469813534495,-0.030469813534495,0.358025443873107,-0.358025443873107,0.197025647292123,5.5,1.32175583998232,5.5,5.66666666666666,1.28519824424852,5.66666666666666,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
9.438,"Tortonian","Cenozoic",-0.513767786982004,-0.118663418864659,5,2,0.794954503554696,0.816496580927726,6.5,1.5,0.538461538461538,0.395104368117345,-0.395104368117345,0.02154207737303,-0.02154207737303,0.0119300150365954,3,0.693147180559945,3,5,1.09861228866811,5,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
12.725,"Serravallian","Cenozoic",-0.059697118138818,0.171235906304307,4.5,1,0.758385079622538,1.17983049630021,6.5,1.66666666666667,0.746153846153846,0.230933024443125,-0.230933024443125,0.421445416677672,-0.421445416677672,0.214851300357063,3.5,1.01160091167848,3.5,4.83333333333333,1.03407376753054,4.83333333333333,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
18.215,"Burdigalian","Cenozoic",-0.0428504881285606,-0.0491606861612494,7.5,1,0.594730783839275,1.38242942355518,7.16666666666667,3,0.527131782945736,0.0063101980326888,0.0063101980326888,0.787698639715905,-0.787698639715905,0.401415798826483,6.5,1.44691898293633,6.5,4.16666666666667,0.713766467762681,4.16666666666667,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
25.17,"Chattian","Cenozoic",-0.402330302934185,-0.0412259635240836,2.5,0.5,1.01980390271856,1.66353447177253,5,1.16666666666667,0.328571428571429,0.361104339410101,-0.361104339410101,0.64373056905397,-0.64373056905397,0.276653560736173,2,0.847297860387204,2,3.83333333333333,1.01856958099457,3.83333333333333,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
44.55,"Lutetian","Cenozoic",0.0727869676807695,0.0205799428586818,4.5,1.5,1.00203873810001,1.01105005920687,5.83333333333333,1.5,1.07619047619048,0.0522070248220877,0.0522070248220877,0.00901132110686009,-0.00901132110686009,0.00449097276818654,3,0.78845736036427,3,4.33333333333333,1.0055218656021,4.33333333333333,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
52.035,"Ypresian","Cenozoic",0.34818066578005,0.233689478191896,2.5,1,1.34326856862303,1.12915897906362,5.16666666666667,1.33333333333333,1.20967741935484,0.114491187588154,0.114491187588154,0.21410958955941,0.21410958955941,0.0958197226767891,1.5,0.559615787935423,1.5,3.83333333333334,0.971860583028968,3.83333333333334,"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate"
