"group1","group2","normal","test_type","shapiro_p1","shapiro_p2"
"Coldhouse","Coolhouse",FALSE,"Wilcoxon",0.410426817034741,0.000820839591470448
"Coldhouse","Transitional",TRUE,"t-test",0.410426817034741,0.557290594646761
"Coldhouse","Warmhouse",FALSE,"Wilcoxon",0.410426817034741,0.00618438213025246
"Coldhouse","Hothouse",FALSE,"Wilcoxon",0.410426817034741,0.00169234832185223
"Coolhouse","Transitional",FALSE,"Wilcoxon",0.000820839591470448,0.557290594646761
"Coolhouse","Warmhouse",FALSE,"Wilcoxon",0.000820839591470448,0.00618438213025246
"Coolhouse","Hothouse",FALSE,"Wilcoxon",0.000820839591470448,0.00169234832185223
"Transitional","Warmhouse",FALSE,"Wilcoxon",0.557290594646761,0.00618438213025246
"Transitional","Hothouse",FALSE,"Wilcoxon",0.557290594646761,0.00169234832185223
"Warmhouse","Hothouse",FALSE,"Wilcoxon",0.00618438213025246,0.00169234832185223
