"bin_midpoint","stage","era","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","sampling_profile_dissim","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_median_asym","k_median_diff_signed"
0.00585,"Holocene","Cenozoic",-1.08488532022784,0.135262909348776,2,2,0.586845597326964,0,1.5,1.22014822957662,-1.22014822957662,0.586845597326964,0.586845597326964,0,0
1.29585,"Pleistocene","Cenozoic",-0.392150239707975,-0.184253364990259,8,2,0.718380822347841,0.880065472255936,0.473684210526316,0.207896874717716,-0.207896874717716,0.161684649908095,-0.161684649908095,1.09861228866811,6
3.09,"Piacenzian","Cenozoic",-0.964115029249142,-0.573412698496029,3,2,1.00346621489936,0.559246995205241,1,0.390702330753113,-0.390702330753113,0.444219219694119,0.444219219694119,0.287682072451781,1
4.4665,"Zanclean","Cenozoic",-0.442105688732218,-0.251007890756711,6.5,1,0.682133507789333,0.557773351022717,1,0.191097797975507,-0.191097797975507,0.124360156766616,0.124360156766616,1.32175583998232,5.5
9.438,"Tortonian","Cenozoic",-0.679596066479282,-0.71642432107872,4,3,0.806580634840361,0.181818181818182,1.22727272727273,0.0368282545994381,0.0368282545994381,0.624762453022179,0.624762453022179,0.22314355131421,1
12.725,"Serravallian","Cenozoic",-0.0889953168963348,-0.366908662104863,4,2,0.756563681933674,0.765941686205071,1.35,0.277913345208528,0.277913345208528,0.00937800427139701,-0.00937800427139701,0.510825623765991,2
18.215,"Burdigalian","Cenozoic",-0.143623520903502,-0.123476510694238,6,1,0.792792338616111,1.15310012106351,1.18421052631579,0.020147010209264,-0.020147010209264,0.360307782447399,-0.360307782447399,1.25276296849537,5
25.17,"Chattian","Cenozoic",-0.0828581302212886,0.884250519303071,3.5,1,0.839047078536121,0.692820323027551,0.9,0.96710864952436,-0.96710864952436,0.14622675550857,0.14622675550857,0.810930216216329,2.5
44.55,"Lutetian","Cenozoic",0.0669706198189353,-0.444820871409925,3,2,1.14848085071664,0,1.5,0.51179149122886,0.51179149122886,1.14848085071664,1.14848085071664,0.287682072451781,1
52.035,"Ypresian","Cenozoic",0.492719054651944,0.403149637330781,4.5,1.5,0.944202699462665,0.547101204432193,1.92857142857143,0.089569417321163,0.089569417321163,0.397101495030472,0.397101495030472,0.78845736036427,3
77.9,"Campanian","Mesozoic",-0.0385414083964534,0.153892722114728,8.5,1,0.775372775199951,0.707106781186548,1.35,0.192434130511181,-0.192434130511181,0.0682659940134029,0.0682659940134029,1.55814461804655,7.5
