"hemisphere","good_count","bad_count","total","greater_than_0","less_than_0","equal_to_0","na_count","reverse_LDG","normal_LDG","flat_LDG","na_LDG","good_stage","bad_stage"
"Northern",65,14,79,15,50,0,0,23.0769230769231,76.9230769230769,0,0,82.2784810126582,17.7215189873418
"Southern",66,15,81,28,38,0,0,42.4242424242424,57.5757575757576,0,0,81.4814814814815,18.5185185185185
