"hemisphere","good_count","bad_count","total","greater_than_0","less_than_0","equal_to_0","na_count","reverse_LDG","normal_LDG","flat_LDG","na_LDG","good_stage","bad_stage"
"Northern",66,10,76,16,50,0,0,24.2424242424242,75.7575757575758,0,0,86.8421052631579,13.1578947368421
"Southern",70,9,79,30,40,0,0,42.8571428571429,57.1428571428571,0,0,88.6075949367088,11.3924050632911
