"hemisphere","good_count","bad_count","total","greater_than_0","less_than_0","equal_to_0","na_count","reverse_LDG","normal_LDG","flat_LDG","na_LDG","good_stage","bad_stage"
"Northern",63,16,79,14,49,0,0,22.2222222222222,77.7777777777778,0,0,79.746835443038,20.253164556962
"Southern",69,12,81,30,39,0,0,43.4782608695652,56.5217391304348,0,0,85.1851851851852,14.8148148148148
