"hemisphere","good_count","bad_count","total","greater_than_0","less_than_0","equal_to_0","na_count","reverse_LDG","normal_LDG","flat_LDG","na_LDG","good_stage","bad_stage"
"Northern",63,13,76,15,48,0,0,23.8095238095238,76.1904761904762,0,0,82.8947368421053,17.1052631578947
"Southern",69,10,79,30,39,0,0,43.4782608695652,56.5217391304348,0,0,87.3417721518987,12.6582278481013
