"bin_midpoint","slope","intercept","quantile","hemisphere","label","color","n_cells","sum_nT","mean_nT","median_nT","n_valid_lat_bins","min_abs_lat","max_abs_lat","lat_range","mean_t_over_nT","max_t_over_nT","prop_high_extrapolation","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","sampling_profile_dissim"
0.00585,-1.00882412556019,83.4545979629752,"q50","Northern","good","Northern",14,1057,75.5,42.5,5,9.608984116,79.94533967,70.336355554,0.842793373009884,1.934850555,0.214285714285714,1,5,2.8,2,0.586845597326964,0.357142857142857,0.357142857142857,1.5
1.29585,-0.162606319334173,21.7744359589208,"q50","Northern","good","Northern",65,17555,270.076923076923,93,6,2.42e-09,82.32650977,82.32650976758,0.818811681212152,1.9537450031746,0.153846153846154,3,25,10.8333333333333,8,0.71838082234784,0.276923076923077,0.384615384615385,0.473684210526316
3.09,-0.557023935400122,55.1160931244164,"q50","Northern","good","Northern",24,6649,277.041666666667,166.5,5,9.64040354,64.68939682,55.04899328,0.894595444804805,1.98088569054054,0.166666666666667,1,13,4.8,3,1.00346621489936,0.208333333333333,0.541666666666667,1
4.4665,-0.521877107470032,41.2183331264318,"q50","Northern","good","Northern",42,7300,173.809523809524,94.5,6,1.204524046,66.94568801,65.741163964,0.859143697499428,1.66905428416667,0.0952380952380952,2,15,7,6.5,0.682133507789333,0.285714285714286,0.357142857142857,1
6.2895,-1.55452241926159,94.9321613859203,"q50","Northern","good","Northern",12,4083,340.25,105,3,9.64040354,46.08968767,36.44928413,0.827245349235165,1.749144415,0.25,3,6,4,3,0.433012701892219,0.75,0.5,0
9.438,-0.861174697622554,68.6249287371903,"q50","Northern","good","Northern",31,10098,325.741935483871,94,6,1.219167232,71.71225682,70.493089588,0.764237691767902,1.92666515866667,0.129032258064516,1,13,5.16666666666667,4,0.806580634840361,0.193548387096774,0.419354838709677,1.22727272727273
12.725,-0.00282153317554762,10.7821202601862,"q50","Northern","good","Northern",37,7994,216.054054054054,70,6,8.417314652,56.73585976,48.318545108,0.919927127353343,1.85189031086957,0.162162162162162,1,12,6.16666666666667,4,0.756563681933674,0.162162162162162,0.324324324324324,1.35
14.9,-0.418457067827766,29.9458873468417,"q50","Northern","good","Northern",17,2269,133.470588235294,75,4,10.83026067,52.58335897,41.7530983,0.949973919250148,1.71272657169811,0.235294117647059,1,9,4.25,3.5,0.800806974771064,0.235294117647059,0.529411764705882,0
18.215,-0.133352603086524,15.0671702305048,"q50","Northern","good","Northern",47,8929,189.978723404255,40,6,2.725738482,59.99392079,57.268182308,0.852697753273673,1.77677604357143,0.106382978723404,2,16,7.83333333333333,6,0.792792338616111,0.25531914893617,0.340425531914894,1.18421052631579
21.745,-1.3415602309925,68.9164877689445,"q50","Northern","good","Northern",8,517,64.625,21,4,7.240276668,47.8962636,40.655986932,0.793476582240206,1.41437266833333,0,1,3,2,2,0.577350269189626,0.5,0.375,0
25.17,-0.15689706770086,30.1460883362989,"q50","Northern","good","Northern",30,3050,101.666666666667,102.5,6,7.240276668,62.36848467,55.128208002,0.935575404930413,1.92666515866667,0.166666666666667,1,12,5,3.5,0.839047078536121,0.2,0.4,0.9
30.6,0.273891284481341,8.44815850148328,"q50","Northern","good","Northern",34,6689,196.735294117647,54,6,5.366891719,62.43585177,57.068960051,0.895743656286424,1.97934648763158,0.235294117647059,3,10,5.66666666666667,5,0.441764314247496,0.529411764705882,0.294117647058824,0
