"bin_midpoint","slope","intercept","quantile","hemisphere","label","color","bin","stage","short","bottom","top","dur","climate_state","climate_color"
0.00585,-0.973680409025539,78.1856384779609,"q50","Northern","good","Northern",97,"Holocene","Hol",0.0117,0,0.0117,"Coldhouse","#005344"
1.29585,-0.405908419918394,35.1346062420911,"q50","Northern","good","Northern",96,"Pleistocene","Ple",2.58,0.0117,2.5683,"Coldhouse","#005344"
3.09,-0.567185828478638,62.6072872682188,"q50","Northern","good","Northern",95,"Piacenzian","Pia",3.6,2.58,1.02,"Coldhouse","#005344"
4.4665,-0.56413473187765,43.4530849681334,"q50","Northern","good","Northern",94,"Zanclean","Zan",5.333,3.6,1.733,"Coldhouse","#005344"
6.2895,-1.18734904700698,84.1691514678934,"q50","Northern","good","Northern",93,"Messinian","Mes",7.246,5.333,1.913,"Coldhouse","#005344"
9.438,-0.822926056383984,64.4472950749337,"q50","Northern","good","Northern",92,"Tortonian","Tor",11.63,7.246,4.384,"Coolhouse","#007d65"
12.725,0.26975430101364,9.45905353776519,"q50","Northern","good","Northern",91,"Serravallian","Ser",13.82,11.63,2.19,"Transitional","#c8c7c7"
14.9,-0.586992766314595,40.0670319002108,"q50","Northern","good","Northern",90,"Langhian","Lan",15.98,13.82,2.16,"Transitional","#c8c7c7"
18.215,-0.144571936336511,16.8202169693888,"q50","Northern","good","Northern",89,"Burdigalian","Bur",20.45,15.98,4.47,"Transitional","#c8c7c7"
21.745,-0.440045123992161,32.2750594158148,"q50","Northern","good","Northern",88,"Aquitanian","Aqu",23.04,20.45,2.59,"Coolhouse","#007d65"
25.17,-0.339385711403212,34.836485853693,"q50","Northern","good","Northern",87,"Chattian","Cht",27.3,23.04,4.26,"Transitional","#c8c7c7"
30.6,0.284063692418402,8.28193759682405,"q50","Northern","good","Northern",86,"Rupelian","Rup",33.9,27.3,6.6,"Transitional","#c8c7c7"
35.805,0.171519488009919,9.28031202111163,"q50","Northern","good","Northern",85,"Priabonian","Prb",37.71,33.9,3.81,"Warmhouse","#b57a51"
39.37,-0.262453081407645,31.0995118507174,"q50","Northern","good","Northern",84,"Bartonian","Brt",41.03,37.71,3.32,"Warmhouse","#b57a51"
44.55,0.0669588372554871,8.37325741344354,"q50","Northern","good","Northern",83,"Lutetian","Lut",48.07,41.03,7.04,"Warmhouse","#b57a51"
52.035,0.200202971115765,17.7671004890192,"q50","Northern","good","Northern",82,"Ypresian","Ypr",56,48.07,7.93,"Hothouse","#95484b"
57.62,-0.250446730657316,41.3000276683732,"q50","Northern","good","Northern",81,"Thanetian","Th",59.24,56,3.24,"Warmhouse","#b57a51"
60.45,0.947763856128556,32.1189353590332,"q50","Northern","bad","Bad hemisphere",80,"Selandian","Se",61.66,59.24,2.42,"Hothouse","#95484b"
63.83,0.325823243314467,20.7503175483176,"q50","Northern","good","Northern",79,"Danian","Dan",66,61.66,4.34,"Hothouse","#95484b"
69.1,0.328997802104482,3.2743798387807,"q50","Northern","good","Northern",78,"Maastrichtian","Maa",72.2,66,6.2,"Transitional","#c8c7c7"
77.9,-0.0466839890859573,13.9602011182991,"q50","Northern","good","Northern",77,"Campanian","Cam",83.6,72.2,11.4,"Warmhouse","#b57a51"
84.65,-0.322778235273293,30.8137313802805,"q50","Northern","good","Northern",76,"Santonian","San",85.7,83.6,2.1,"Hothouse","#95484b"
87.75,-0.394011144704379,26.0589427523743,"q50","Northern","good","Northern",75,"Coniacian","Con",89.8,85.7,4.1,"Hothouse","#95484b"
91.85,-0.0676601728726207,17.7611934128396,"q50","Northern","good","Northern",74,"Turonian","Tur",93.9,89.8,4.1,"Hothouse","#95484b"
97.2,-0.596470450477804,37.8642427645097,"q50","Northern","good","Northern",73,"Cenomanian","Cen",100.5,93.9,6.6,"Hothouse","#95484b"
106.85,-0.394307643830453,33.0504822629501,"q50","Northern","good","Northern",72,"Albian","Alb",113.2,100.5,12.7,"Warmhouse","#b57a51"
117.3,-0.221273975750958,30.4920931081096,"q50","Northern","good","Northern",71,"Aptian","Apt",121.4,113.2,8.2,"Hothouse","#95484b"
123.585,-0.318469889540878,47.078867664817,"q50","Northern","good","Northern",70,"Barremian","Bar",125.77,121.4,4.37,"Hothouse","#95484b"
129.185,-2.03899319457107,118.116698813268,"q50","Northern","good","Northern",69,"Hauterivian","Hau",132.6,125.77,6.83,"Warmhouse","#b57a51"
134.825,-0.380828218912683,58.4342238946297,"q50","Northern","good","Northern",68,"Valanginian","Val",137.05,132.6,4.45,"Warmhouse","#b57a51"
140.075,-0.0810562498312441,34.2791463989375,"q50","Northern","good","Northern",67,"Berriasian","Ber",143.1,137.05,6.05,"Warmhouse","#b57a51"
146.15,-0.0313292284828288,20.0087484642301,"q50","Northern","good","Northern",66,"Tithonian","Tit",149.2,143.1,6.1,"Warmhouse","#b57a51"
152,-1.02742702075177,93.8067999292104,"q50","Northern","bad","Bad hemisphere",65,"Kimmeridgian","Kim",154.8,149.2,5.6,"Transitional","#c8c7c7"
158.15,-0.317472592201123,26.662599270908,"q50","Northern","good","Northern",64,"Oxfordian","Oxf",161.5,154.8,6.7,"Transitional","#c8c7c7"
