"climate_state","mean_combined_slope","mean_northern_slope","mean_southern_slope"
"Coldhouse",-0.472371254524894,-0.579512771271602,-0.351574734583991
"Coolhouse",-0.150703604614673,-0.397054219417824,-0.0335076563543777
"Hothouse",0.136452879103586,-0.588685852341452,0.197163478621644
"Transitional",0.20860509874267,0.186638232596761,0.0328576125491095
"Warmhouse",0.109513461302155,0.166568060600795,-0.262998819615112
