"hemisphere","good_count","bad_count","total","greater_than_0","less_than_0","equal_to_0","na_count","reverse_LDG","normal_LDG","flat_LDG","na_LDG","good_stage","bad_stage"
"Northern",74,9,83,22,52,0,0,29.7297297297297,70.2702702702703,0,0,89.1566265060241,10.8433734939759
"Southern",64,18,82,26,38,0,0,40.625,59.375,0,0,78.0487804878049,21.9512195121951
