"hemisphere","good_count","bad_count","total","greater_than_0","less_than_0","equal_to_0","na_count","reverse_LDG","normal_LDG","flat_LDG","na_LDG","good_stage","bad_stage"
"Northern",76,7,83,22,54,0,0,28.9473684210526,71.0526315789474,0,0,91.566265060241,8.43373493975904
"Southern",71,11,82,32,39,0,0,45.0704225352113,54.9295774647887,0,0,86.5853658536585,13.4146341463415
