"hemisphere","good_count","bad_count","total","greater_than_0","less_than_0","equal_to_0","na_count","reverse_LDG","normal_LDG","flat_LDG","na_LDG","good_stage","bad_stage"
"Northern",62,18,80,12,50,0,0,19.3548387096774,80.6451612903226,0,0,77.5,22.5
"Southern",71,10,81,31,40,0,0,43.6619718309859,56.3380281690141,0,0,87.6543209876543,12.3456790123457
