"hemisphere","good_count","bad_count","total","greater_than_0","less_than_0","equal_to_0","na_count","reverse_LDG","normal_LDG","flat_LDG","na_LDG","good_stage","bad_stage"
"Northern",66,11,77,16,50,0,0,24.2424242424242,75.7575757575758,0,0,85.7142857142857,14.2857142857143
"Southern",70,10,80,28,42,0,0,40,60,0,0,87.5,12.5
