"hemisphere","good_count","bad_count","total","greater_than_0","less_than_0","equal_to_0","na_count","reverse_LDG","normal_LDG","flat_LDG","na_LDG","good_stage","bad_stage"
"Northern",66,11,77,15,51,0,0,22.7272727272727,77.2727272727273,0,0,85.7142857142857,14.2857142857143
"Southern",70,9,79,30,40,0,0,42.8571428571429,57.1428571428571,0,0,88.6075949367088,11.3924050632911
