"hemisphere","good_count","bad_count","total","greater_than_0","less_than_0","equal_to_0","na_count","reverse_LDG","normal_LDG","flat_LDG","na_LDG","good_stage","bad_stage"
"Northern",63,12,75,13,50,0,0,20.6349206349206,79.3650793650794,0,0,84,16
"Southern",69,9,78,29,40,0,0,42.0289855072464,57.9710144927536,0,0,88.4615384615385,11.5384615384615
