"bin_midpoint","stage","hemisphere","slope","intercept","slope_se","p_value","r_squared","n_cells_model","resample_id","k_sample"
0.00585,"Holocene","Northern",-1.05865709034135,84.2320324958768,0.801067905944411,0.278060551315005,0.367957138091021,5,1,1
0.00585,"Holocene","Northern",-1.40596535029259,108.975851838532,0.460068132692767,0.0551667871285639,0.75687039610345,5,2,1
0.00585,"Holocene","Northern",-1.38311113572027,106.688677865143,0.647553356551257,0.122325965411419,0.603283830553273,5,3,1
0.00585,"Holocene","Northern",-1.66857354520158,114.825529230755,0.665930239386347,0.0872727836226835,0.676660458222152,5,4,1
0.00585,"Holocene","Northern",-1.37500535268583,108.580827987948,0.548620988677591,0.0872216472530603,0.676776673555674,5,5,1
0.00585,"Holocene","Northern",-1.6805755466435,114.589173540677,0.697156154642877,0.0949645514648167,0.65951913649934,5,6,1
0.00585,"Holocene","Northern",-1.07884267520989,80.6441779157566,0.505080124284814,0.122316679964288,0.603301817263996,5,7,1
0.00585,"Holocene","Northern",-0.789281740299578,60.0635688733408,0.391491389489806,0.137173398157537,0.575348558985474,5,8,1
0.00585,"Holocene","Northern",-0.841646417668046,78.7079374171178,0.751966278550742,0.344565673801139,0.294573245683983,5,9,1
0.00585,"Holocene","Northern",-0.844137674376223,80.4855990183028,0.685699569277263,0.306011680615592,0.335623222414413,5,10,1
0.00585,"Holocene","Northern",-1.6805755466435,114.589173540677,0.697156154642877,0.0949645514648167,0.65951913649934,5,11,1
0.00585,"Holocene","Northern",-0.800820848110715,61.2984202480713,0.319762117076225,0.0873651634486372,0.676450588944331,5,12,1
0.00585,"Holocene","Northern",-1.01013155681973,82.1560992443335,0.836332328991601,0.313651695788293,0.327174423066858,5,13,1
0.00585,"Holocene","Northern",-0.983317064537616,82.188685140612,0.639661851286775,0.221831563304642,0.440624383827739,5,14,1
0.00585,"Holocene","Northern",-0.76330753112582,59.2480954156742,0.279827238348018,0.0720752039362072,0.712665455905612,5,15,1
0.00585,"Holocene","Northern",-1.65605166585924,113.005030989542,0.69303467046474,0.0967792694449436,0.655569212924756,5,16,1
