"bin_midpoint","stage","hemisphere","label","n_cells","n_lat_bins","min_abs_lat","max_abs_lat","min_abs_lat_bin_mid","max_abs_lat_bin_mid","n_cells_ge_60","n_cells_ge_66_5","n_cells_ge_70","n_cells_ge_75","prop_cells_ge_60","prop_cells_ge_66_5","prop_cells_ge_70","prop_cells_ge_75","reaches_60","reaches_66_5","reaches_70","reaches_75"
60.45,"Selandian","Northern","bad",15,8,8.810048939,69.63110376,7.986719,66.77291,3,2,0,0,0.2,0.133333333333333,0,0,TRUE,TRUE,FALSE,FALSE
60.45,"Selandian","Southern","bad",3,3,2.387330755,54.95287487,1.592369,53.750124,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
63.83,"Danian","Northern","bad",52,12,8.810048939,82.32650977,7.986719,80.405932,2,1,1,1,0.0384615384615385,0.0192307692307692,0.0192307692307692,0.0192307692307692,TRUE,TRUE,TRUE,TRUE
63.83,"Danian","Southern","good",12,9,9.410484507,64.03361657,7.986719,66.77291,1,0,0,0,0.0833333333333333,0,0,0,TRUE,FALSE,FALSE,FALSE
69.1,"Maastrichtian","Northern","good",115,16,4.739120661,73.66054641,4.782054,80.405932,1,1,1,0,0.00869565217391304,0.00869565217391304,0.00869565217391304,0,TRUE,TRUE,TRUE,FALSE
69.1,"Maastrichtian","Southern","bad",25,14,2.374301924,62.21416855,1.592369,59.588323,1,0,0,0,0.04,0,0,0,TRUE,FALSE,FALSE,FALSE
77.9,"Campanian","Northern","good",157,18,2.514673825,78.07096538,1.592369,80.405932,12,8,7,2,0.0764331210191083,0.0509554140127389,0.0445859872611465,0.0127388535031847,TRUE,TRUE,TRUE,TRUE
77.9,"Campanian","Southern","good",36,14,1.335343626,62.79923484,1.592369,66.77291,3,0,0,0,0.0833333333333333,0,0,0,TRUE,FALSE,FALSE,FALSE
84.65,"Santonian","Northern","good",80,13,9.701861056,64.80760783,11.216828,66.77291,2,0,0,0,0.025,0,0,0,TRUE,FALSE,FALSE,FALSE
84.65,"Santonian","Southern","bad",18,9,6.606672317,66.14311223,7.986719,66.77291,6,0,0,0,0.333333333333333,0,0,0,TRUE,FALSE,FALSE,FALSE
87.75,"Coniacian","Northern","good",67,13,7.265914649,65.81567014,7.986719,66.77291,2,0,0,0,0.0298507462686567,0,0,0,TRUE,FALSE,FALSE,FALSE
87.75,"Coniacian","Southern","bad",20,10,4.699297745,67.51421302,4.782054,66.77291,4,1,0,0,0.2,0.05,0,0,TRUE,TRUE,FALSE,FALSE
91.85,"Turonian","Northern","good",104,16,4.104899675,77.73177818,4.782054,80.405932,7,3,1,1,0.0673076923076923,0.0288461538461538,0.00961538461538462,0.00961538461538462,TRUE,TRUE,TRUE,TRUE
91.85,"Turonian","Southern","bad",26,12,1.379301507,69.15870367,1.592369,66.77291,3,1,0,0,0.115384615384615,0.0384615384615385,0,0,TRUE,TRUE,FALSE,FALSE
97.2,"Cenomanian","Northern","good",125,16,6.15e-09,62.21416854,1.592369,59.588323,3,0,0,0,0.024,0,0,0,TRUE,FALSE,FALSE,FALSE
97.2,"Cenomanian","Southern","good",27,15,1.378811145,75.91060181,1.592369,80.405932,7,6,4,1,0.259259259259259,0.222222222222222,0.148148148148148,0.037037037037037,TRUE,TRUE,TRUE,TRUE
106.85,"Albian","Northern","good",105,18,1.320576367,79.94533967,1.592369,80.405932,8,8,6,4,0.0761904761904762,0.0761904761904762,0.0571428571428571,0.0380952380952381,TRUE,TRUE,TRUE,TRUE
106.85,"Albian","Southern","good",42,15,1.378811145,78.13514109,1.592369,80.405932,7,6,6,5,0.166666666666667,0.142857142857143,0.142857142857143,0.119047619047619,TRUE,TRUE,TRUE,TRUE
117.3,"Aptian","Northern","good",69,16,4.102056699,70.82154197,4.782054,80.405932,3,3,1,0,0.0434782608695652,0.0434782608695652,0.0144927536231884,0,TRUE,TRUE,TRUE,FALSE
117.3,"Aptian","Southern","good",22,13,9.87e-10,80.06868165,1.592369,80.405932,4,3,2,1,0.181818181818182,0.136363636363636,0.0909090909090909,0.0454545454545455,TRUE,TRUE,TRUE,TRUE
123.585,"Barremian","Northern","good",36,13,7.342873179,73.48080268,7.986719,80.405932,3,3,2,0,0.0833333333333333,0.0833333333333333,0.0555555555555556,0,TRUE,TRUE,TRUE,FALSE
123.585,"Barremian","Southern","bad",6,5,8.134493948,44.31990608,7.986719,44.024286,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
129.185,"Hauterivian","Northern","bad",48,12,10.79463679,75.48801388,11.216828,80.405932,4,4,2,1,0.0833333333333333,0.0833333333333333,0.0416666666666667,0.0208333333333333,TRUE,TRUE,TRUE,TRUE
129.185,"Hauterivian","Southern","good",11,7,4.992688352,49.90217387,4.782054,48.647908,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
134.825,"Valanginian","Northern","bad",52,13,13.2263851,79.84138097,14.483604,80.405932,12,10,7,3,0.230769230769231,0.192307692307692,0.134615384615385,0.0576923076923077,TRUE,TRUE,TRUE,TRUE
134.825,"Valanginian","Southern","good",13,8,4.992688352,70.6184489,4.782054,66.77291,1,1,1,0,0.0769230769230769,0.0769230769230769,0.0769230769230769,0,TRUE,TRUE,TRUE,FALSE
140.075,"Berriasian","Northern","good",67,13,13.2263851,79.84138097,14.483604,80.405932,17,15,8,4,0.253731343283582,0.223880597014925,0.119402985074627,0.0597014925373134,TRUE,TRUE,TRUE,TRUE
140.075,"Berriasian","Southern","bad",8,5,4.992688352,55.7795907,4.782054,53.750124,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
146.15,"Tithonian","Northern","good",71,14,4.085315052,79.84138097,4.782054,80.405932,21,19,13,8,0.295774647887324,0.267605633802817,0.183098591549296,0.112676056338028,TRUE,TRUE,TRUE,TRUE
146.15,"Tithonian","Southern","bad",19,11,8.134493948,86.63064375,7.986719,80.405932,4,1,1,1,0.210526315789474,0.0526315789473684,0.0526315789473684,0.0526315789473684,TRUE,TRUE,TRUE,TRUE
152,"Kimmeridgian","Northern","bad",51,16,5.02e-09,74.59146341,1.592369,80.405932,6,4,3,0,0.117647058823529,0.0784313725490196,0.0588235294117647,0,TRUE,TRUE,TRUE,FALSE
152,"Kimmeridgian","Southern","bad",27,14,2.462918991,84.0625449,1.592369,80.405932,4,4,4,3,0.148148148148148,0.148148148148148,0.148148148148148,0.111111111111111,TRUE,TRUE,TRUE,TRUE
158.15,"Oxfordian","Northern","good",81,16,5.02e-09,78.78866865,1.592369,80.405932,9,8,6,3,0.111111111111111,0.0987654320987654,0.0740740740740741,0.037037037037037,TRUE,TRUE,TRUE,TRUE
158.15,"Oxfordian","Southern","bad",38,13,2.440517044,80.06868164,1.592369,80.405932,3,3,2,2,0.0789473684210526,0.0789473684210526,0.0526315789473684,0.0526315789473684,TRUE,TRUE,TRUE,TRUE
163.4,"Callovian","Northern","good",63,13,5.02e-09,79.94533967,1.592369,80.405932,5,5,3,1,0.0793650793650794,0.0793650793650794,0.0476190476190476,0.0158730158730159,TRUE,TRUE,TRUE,TRUE
163.4,"Callovian","Southern","bad",30,11,2.440517044,78.13514108,1.592369,80.405932,2,2,2,2,0.0666666666666667,0.0666666666666667,0.0666666666666667,0.0666666666666667,TRUE,TRUE,TRUE,TRUE
166.75,"Bathonian","Northern","good",75,16,5.02e-09,78.07096538,1.592369,80.405932,2,1,1,1,0.0266666666666667,0.0133333333333333,0.0133333333333333,0.0133333333333333,TRUE,TRUE,TRUE,TRUE
166.75,"Bathonian","Southern","bad",23,10,2.440517044,77.97078272,1.592369,80.405932,5,4,3,3,0.217391304347826,0.173913043478261,0.130434782608696,0.130434782608696,TRUE,TRUE,TRUE,TRUE
169.55,"Bajocian","Northern","good",69,13,5.02e-09,79.94533967,1.592369,80.405932,4,3,2,1,0.0579710144927536,0.0434782608695652,0.0289855072463768,0.0144927536231884,TRUE,TRUE,TRUE,TRUE
169.55,"Bajocian","Southern","good",21,12,2.440517044,77.97078272,1.592369,80.405932,4,2,2,2,0.19047619047619,0.0952380952380952,0.0952380952380952,0.0952380952380952,TRUE,TRUE,TRUE,TRUE
172.8,"Aalenian","Northern","good",41,12,15.580191,74.43377065,14.483604,80.405932,4,2,1,0,0.0975609756097561,0.048780487804878,0.024390243902439,0,TRUE,TRUE,TRUE,FALSE
172.8,"Aalenian","Southern","bad",11,6,12.72673236,77.97078272,11.216828,80.405932,4,4,4,3,0.363636363636364,0.363636363636364,0.363636363636364,0.272727272727273,TRUE,TRUE,TRUE,TRUE
179.45,"Toarcian","Northern","good",83,16,5.02e-09,77.26569264,1.592369,80.405932,11,7,5,2,0.132530120481928,0.0843373493975904,0.0602409638554217,0.0240963855421687,TRUE,TRUE,TRUE,TRUE
179.45,"Toarcian","Southern","good",21,14,2.462918991,75.94987466,1.592369,80.405932,4,3,3,2,0.19047619047619,0.142857142857143,0.142857142857143,0.0952380952380952,TRUE,TRUE,TRUE,TRUE
188.55,"Pliensbachian","Northern","good",94,17,3.65224582,85.16266202,4.782054,80.405932,12,12,11,6,0.127659574468085,0.127659574468085,0.117021276595745,0.0638297872340425,TRUE,TRUE,TRUE,TRUE
188.55,"Pliensbachian","Southern","good",14,9,6.196331239,78.13514108,4.782054,80.405932,5,4,4,2,0.357142857142857,0.285714285714286,0.285714285714286,0.142857142857143,TRUE,TRUE,TRUE,TRUE
196.2,"Sinemurian","Northern","good",81,16,2.430801149,70.61844891,1.592369,66.77291,2,2,1,0,0.0246913580246914,0.0246913580246914,0.0123456790123457,0,TRUE,TRUE,TRUE,FALSE
196.2,"Sinemurian","Southern","good",14,10,1.71e-09,72.96308819,1.592369,80.405932,4,4,3,0,0.285714285714286,0.285714285714286,0.214285714285714,0,TRUE,TRUE,TRUE,FALSE
200.45,"Hettangian","Northern","good",36,12,15.54626474,75.39091494,14.483604,80.405932,3,2,2,1,0.0833333333333333,0.0555555555555556,0.0555555555555556,0.0277777777777778,TRUE,TRUE,TRUE,TRUE
200.45,"Hettangian","Southern","good",9,7,2.07e-09,71.94358535,1.592369,80.405932,2,2,1,0,0.222222222222222,0.222222222222222,0.111111111111111,0,TRUE,TRUE,TRUE,FALSE
203.55,"Rhaetian","Northern","good",56,14,7.240276668,87.65534979,7.986719,80.405932,17,12,10,7,0.303571428571429,0.214285714285714,0.178571428571429,0.125,TRUE,TRUE,TRUE,TRUE
203.55,"Rhaetian","Southern","bad",17,12,3.650787156,69.1665314,4.782054,66.77291,3,2,0,0,0.176470588235294,0.117647058823529,0,0,TRUE,TRUE,FALSE,FALSE
216.5,"Norian","Northern","good",140,18,2.430801149,84.62501224,1.592369,80.405932,23,13,12,11,0.164285714285714,0.0928571428571429,0.0857142857142857,0.0785714285714286,TRUE,TRUE,TRUE,TRUE
216.5,"Norian","Southern","good",33,15,9.87e-10,77.29099416,1.592369,80.405932,7,7,5,1,0.212121212121212,0.212121212121212,0.151515151515152,0.0303030303030303,TRUE,TRUE,TRUE,TRUE
232.15,"Carnian","Northern","good",94,15,2.55e-09,86.63064375,1.592369,80.405932,20,18,16,13,0.212765957446809,0.191489361702128,0.170212765957447,0.138297872340426,TRUE,TRUE,TRUE,TRUE
232.15,"Carnian","Southern","bad",24,11,4.26e-10,76.10489852,1.592369,80.405932,3,3,3,1,0.125,0.125,0.125,0.0416666666666667,TRUE,TRUE,TRUE,TRUE
239.232,"Ladinian","Northern","good",77,16,5.56e-10,80.29781125,1.592369,80.405932,17,10,7,4,0.220779220779221,0.12987012987013,0.0909090909090909,0.051948051948052,TRUE,TRUE,TRUE,TRUE
239.232,"Ladinian","Southern","bad",19,11,8.42e-10,73.61127037,1.592369,80.405932,5,5,5,0,0.263157894736842,0.263157894736842,0.263157894736842,0,TRUE,TRUE,TRUE,FALSE
244.082,"Anisian","Northern","good",70,17,1.9e-09,80.06868165,1.592369,80.405932,15,10,7,3,0.214285714285714,0.142857142857143,0.1,0.0428571428571429,TRUE,TRUE,TRUE,TRUE
244.082,"Anisian","Southern","good",20,9,1.31e-09,74.62840468,1.592369,80.405932,3,3,3,0,0.15,0.15,0.15,0,TRUE,TRUE,TRUE,FALSE
248.3,"Olenekian","Northern","good",58,16,3.19e-09,77.73177818,1.592369,80.405932,7,4,2,1,0.120689655172414,0.0689655172413793,0.0344827586206897,0.0172413793103448,TRUE,TRUE,TRUE,TRUE
248.3,"Olenekian","Southern","bad",9,6,2.746303816,50.52122727,1.592369,48.647908,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
250.901,"Induan","Northern","good",75,16,3.19e-09,77.73177818,1.592369,80.405932,13,10,6,2,0.173333333333333,0.133333333333333,0.08,0.0266666666666667,TRUE,TRUE,TRUE,TRUE
250.901,"Induan","Southern","good",15,12,2.653054193,60.37322471,1.592369,59.588323,1,0,0,0,0.0666666666666667,0,0,0,TRUE,FALSE,FALSE,FALSE
253.021,"Changhsingian","Northern","good",48,13,6.15e-09,80.06868165,1.592369,80.405932,9,8,6,4,0.1875,0.166666666666667,0.125,0.0833333333333333,TRUE,TRUE,TRUE,TRUE
253.021,"Changhsingian","Southern","good",27,13,1.76e-09,75.94987466,1.592369,80.405932,2,2,2,2,0.0740740740740741,0.0740740740740741,0.0740740740740741,0.0740740740740741,TRUE,TRUE,TRUE,TRUE
256.825,"Wuchiapingian","Northern","good",88,17,1.204524049,78.13514109,1.592369,80.405932,10,7,5,2,0.113636363636364,0.0795454545454545,0.0568181818181818,0.0227272727272727,TRUE,TRUE,TRUE,TRUE
256.825,"Wuchiapingian","Southern","good",57,15,4.26e-10,79.84138096,1.592369,80.405932,15,7,7,6,0.263157894736842,0.12280701754386,0.12280701754386,0.105263157894737,TRUE,TRUE,TRUE,TRUE
261.895,"Capitanian","Northern","good",71,17,4.26e-10,79.18997812,1.592369,80.405932,14,9,6,3,0.197183098591549,0.126760563380282,0.0845070422535211,0.0422535211267606,TRUE,TRUE,TRUE,TRUE
261.895,"Capitanian","Southern","good",36,16,1.204524048,74.43377065,1.592369,80.405932,4,4,3,0,0.111111111111111,0.111111111111111,0.0833333333333333,0,TRUE,TRUE,TRUE,FALSE
265.59,"Wordian","Northern","good",75,18,4.26e-10,79.18997812,1.592369,80.405932,17,11,9,3,0.226666666666667,0.146666666666667,0.12,0.04,TRUE,TRUE,TRUE,TRUE
265.59,"Wordian","Southern","good",58,16,4.26e-10,80.29781125,1.592369,80.405932,15,8,6,4,0.258620689655172,0.137931034482759,0.103448275862069,0.0689655172413793,TRUE,TRUE,TRUE,TRUE
270.65,"Roadian","Northern","good",105,18,4.26e-10,76.80636446,1.592369,80.405932,17,11,8,2,0.161904761904762,0.104761904761905,0.0761904761904762,0.019047619047619,TRUE,TRUE,TRUE,TRUE
270.65,"Roadian","Southern","good",65,16,4.26e-10,80.06868165,1.592369,80.405932,10,5,3,2,0.153846153846154,0.0769230769230769,0.0461538461538462,0.0307692307692308,TRUE,TRUE,TRUE,TRUE
278.85,"Kungurian","Northern","good",96,18,4.26e-10,74.43377065,1.592369,80.405932,15,10,4,0,0.15625,0.104166666666667,0.0416666666666667,0,TRUE,TRUE,TRUE,FALSE
278.85,"Kungurian","Southern","good",61,14,6.16e-10,77.73177818,1.592369,80.405932,8,4,2,2,0.131147540983607,0.0655737704918033,0.0327868852459016,0.0327868852459016,TRUE,TRUE,TRUE,TRUE
286.7,"Artinskian","Northern","good",57,15,1.335343625,67.2811723,1.592369,66.77291,5,2,0,0,0.087719298245614,0.0350877192982456,0,0,TRUE,TRUE,FALSE,FALSE
286.7,"Artinskian","Southern","good",56,14,7.06e-10,73.66054641,1.592369,80.405932,7,2,1,0,0.125,0.0357142857142857,0.0178571428571429,0,TRUE,TRUE,TRUE,FALSE
291.81,"Sakmarian","Northern","good",56,16,1.335343625,67.42522977,1.592369,66.77291,7,2,0,0,0.125,0.0357142857142857,0,0,TRUE,TRUE,FALSE,FALSE
291.81,"Sakmarian","Southern","good",60,15,5.29e-10,71.71225682,1.592369,80.405932,10,5,2,0,0.166666666666667,0.0833333333333333,0.0333333333333333,0,TRUE,TRUE,TRUE,FALSE
296.21,"Asselian","Northern","good",49,14,5.389250307,64.88777333,4.782054,66.77291,7,0,0,0,0.142857142857143,0,0,0,TRUE,FALSE,FALSE,FALSE
296.21,"Asselian","Southern","good",43,16,5.29e-10,69.56483948,1.592369,66.77291,5,3,0,0,0.116279069767442,0.0697674418604651,0,0,TRUE,TRUE,FALSE,FALSE
301.3,"Gzhelian","Northern","good",16,10,1.335343625,64.72239376,1.592369,66.77291,2,0,0,0,0.125,0,0,0,TRUE,FALSE,FALSE,FALSE
301.3,"Gzhelian","Southern","good",23,8,4.45e-10,48.58659212,1.592369,48.647908,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
305.35,"Kasimovian","Northern","bad",11,6,6.798150903,36.91570949,7.986719,35.709438,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
305.35,"Kasimovian","Southern","bad",17,5,4.45e-10,33.36576781,1.592369,31.874494,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
311.1,"Moscovian","Northern","good",24,11,2.34583737,58.91103476,1.592369,59.588323,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
311.1,"Moscovian","Southern","good",43,13,7.06e-10,59.89823747,1.592369,59.588323,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
319.3,"Bashkirian","Northern","good",23,9,1.378811143,58.91103476,1.592369,59.588323,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
319.3,"Bashkirian","Southern","good",39,15,2.2e-09,63.2969896,1.592369,66.77291,2,0,0,0,0.0512820512820513,0,0,0,TRUE,FALSE,FALSE,FALSE
326.85,"Serpukhovian","Northern","bad",23,8,1.378811143,43.6678662,1.592369,44.024286,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
326.85,"Serpukhovian","Southern","good",37,12,7.06e-10,59.82570906,1.592369,59.588323,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
338.5,"Visean","Northern","bad",23,11,2.55e-09,55.02709177,1.592369,53.750124,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
338.5,"Visean","Southern","good",64,13,9.87e-10,60.92835278,1.592369,59.588323,1,0,0,0,0.015625,0,0,0,TRUE,FALSE,FALSE,FALSE
352.78,"Tournaisian","Northern","bad",5,5,2.74598459,46.04604356,1.592369,44.024286,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
352.78,"Tournaisian","Southern","good",84,15,7.98e-10,66.8608546,1.592369,66.77291,2,1,0,0,0.0238095238095238,0.0119047619047619,0,0,TRUE,TRUE,FALSE,FALSE
365.505,"Famennian","Northern","bad",12,7,4.26e-10,39.84651028,1.592369,39.740101,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
365.505,"Famennian","Southern","good",69,12,1.204524048,40.11980054,1.592369,39.740101,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
377.23,"Frasnian","Northern","bad",10,5,5.62e-10,36.91570949,1.592369,35.709438,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
377.23,"Frasnian","Southern","good",92,15,7.06e-10,69.15870367,1.592369,66.77291,1,1,0,0,0.0108695652173913,0.0108695652173913,0,0,TRUE,TRUE,FALSE,FALSE
385.13,"Givetian","Northern","good",15,6,8.42e-10,37.31109239,1.592369,35.709438,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
385.13,"Givetian","Southern","good",99,16,4.45e-10,84.0625449,1.592369,80.405932,13,10,7,5,0.131313131313131,0.101010101010101,0.0707070707070707,0.0505050505050505,TRUE,TRUE,TRUE,TRUE
390.71,"Eifelian","Northern","bad",12,7,1.219167232,44.15415011,1.592369,44.024286,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
390.71,"Eifelian","Southern","good",77,17,1.21916723,81.44008978,1.592369,80.405932,11,6,2,2,0.142857142857143,0.0779220779220779,0.025974025974026,0.025974025974026,TRUE,TRUE,TRUE,TRUE
402.045,"Emsian","Northern","good",36,11,1.25e-09,42.16216858,1.592369,44.024286,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
402.045,"Emsian","Southern","good",123,18,3.6e-09,83.98251402,1.592369,80.405932,25,16,14,9,0.203252032520325,0.130081300813008,0.113821138211382,0.0731707317073171,TRUE,TRUE,TRUE,TRUE
411.82,"Pragian","Northern","bad",22,7,5.56e-10,31.37632277,1.592369,31.874494,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
411.82,"Pragian","Southern","good",41,17,5.344565036,77.29099416,4.782054,80.405932,6,2,1,1,0.146341463414634,0.048780487804878,0.024390243902439,0.024390243902439,TRUE,TRUE,TRUE,TRUE
416.32,"Lochkovian","Northern","bad",31,9,5.56e-10,43.78073913,1.592369,44.024286,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
416.32,"Lochkovian","Southern","good",66,14,1.320576368,78.3446135,1.592369,80.405932,14,9,4,1,0.212121212121212,0.136363636363636,0.0606060606060606,0.0151515151515152,TRUE,TRUE,TRUE,TRUE
421.16,"Pridoli","Northern","bad",8,4,1.348106583,37.62370647,1.592369,35.709438,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
