"hemisphere","n_stage_hemisphere","prop_with_high_lat_cells","median_prop_cells_high_lat","mean_prop_cells_high_lat","median_max_abs_lat","mean_max_abs_lat","prop_reaches_60","prop_reaches_66_5","prop_reaches_70","prop_reaches_75"
"Northern",65,0.615384615384615,0.0344827586206897,0.0763499549658211,64.68939682,60.7888365095385,0.615384615384615,0.430769230769231,0.369230769230769,0.230769230769231
"Southern",66,0.621212121212121,0.0761973875181422,0.117507186819339,64.484672205,64.2736269390909,0.621212121212121,0.484848484848485,0.424242424242424,0.303030303030303
