"bin_midpoint","stage","hemisphere","label","n_cells","n_lat_bins","min_abs_lat","max_abs_lat","min_abs_lat_bin_mid","max_abs_lat_bin_mid","n_cells_ge_60","n_cells_ge_66_5","n_cells_ge_70","n_cells_ge_75","prop_cells_ge_60","prop_cells_ge_66_5","prop_cells_ge_70","prop_cells_ge_75","reaches_60","reaches_66_5","reaches_70","reaches_75"
0.00585,"Holocene","Northern","bad",61,3,9.205930941,82.98845176,9.73561,65.905157,21,13,10,7,0.344262295081967,0.213114754098361,0.163934426229508,0.114754098360656,TRUE,TRUE,TRUE,TRUE
0.00585,"Holocene","Southern","bad",19,3,5.389250306,69.13842977,9.73561,65.905157,3,1,0,0,0.157894736842105,0.0526315789473684,0,0,TRUE,TRUE,FALSE,FALSE
1.29585,"Pleistocene","Northern","bad",151,3,2.42e-09,82.32650977,9.73561,65.905157,16,10,7,3,0.105960264900662,0.0662251655629139,0.0463576158940397,0.0198675496688742,TRUE,TRUE,TRUE,TRUE
1.29585,"Pleistocene","Southern","bad",48,3,2.417243931,78.13514109,9.73561,65.905157,1,1,1,1,0.0208333333333333,0.0208333333333333,0.0208333333333333,0.0208333333333333,TRUE,TRUE,TRUE,TRUE
3.09,"Piacenzian","Northern","bad",58,3,2.42e-09,68.42820258,9.73561,65.905157,2,1,0,0,0.0344827586206897,0.0172413793103448,0,0,TRUE,TRUE,FALSE,FALSE
3.09,"Piacenzian","Southern","bad",20,3,4.831619372,51.99328411,9.73561,65.905157,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
4.4665,"Zanclean","Northern","bad",114,3,8.42e-10,66.94568801,9.73561,65.905157,2,1,0,0,0.0175438596491228,0.0087719298245614,0,0,TRUE,TRUE,FALSE,FALSE
4.4665,"Zanclean","Southern","bad",34,3,2.42e-09,69.13842977,9.73561,65.905157,3,1,0,0,0.0882352941176471,0.0294117647058824,0,0,TRUE,TRUE,FALSE,FALSE
6.2895,"Messinian","Northern","bad",33,3,8.42e-10,46.44661908,9.73561,65.905157,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE
6.2895,"Messinian","Southern","bad",10,3,15.580191,64.93572784,9.73561,65.905157,1,0,0,0,0.1,0,0,0,TRUE,FALSE,FALSE,FALSE
