"hemisphere","good_count","bad_count","total","greater_than_0","less_than_0","equal_to_0","na_count","reverse_LDG","normal_LDG","flat_LDG","na_LDG","good_stage","bad_stage"
"Northern",62,13,75,14,48,0,0,22.5806451612903,77.4193548387097,0,0,82.6666666666667,17.3333333333333
"Southern",71,9,80,32,39,0,0,45.0704225352113,54.9295774647887,0,0,88.75,11.25
