"bin_midpoint","stage.x","hemisphere","slope","slope_mean","slope_sd","slope_lower_95","slope_upper_95","intercept","slope_se","p_value","r_squared","n_cells_model","n_resamples_valid","prop_negative","prop_positive","k_sample","method","label","color","n_cells","sum_nT","mean_nT","median_nT","n_valid_lat_bins","min_abs_lat","max_abs_lat","lat_range","mean_t_over_nT","max_t_over_nT","prop_high_extrapolation","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","sampling_profile_dissim","slope_direction","bin","stage.y","short","bottom","top","dur","climate_state","climate_color"
30.6,"Rupelian","Northern",0.190570495342245,NA,NA,NA,NA,18.2558243312923,0.248951702537583,0.44958821376222,0.0179825123674133,34,NA,0,1,NA,"grid_cell_all_cells_OLS","good","Northern",34,6689,196.735294117647,54,6,5.366891719,62.43585177,57.068960051,0.895743656286424,1.97934648763158,0.235294117647059,3,10,5.66666666666667,5,0.441764314247496,0.529411764705882,0.294117647058824,0,"reverse_LDG",86,"Rupelian","Rup",33.9,27.3,6.6,"Transitional","#c8c7c7"
35.805,"Priabonian","Northern",0.277826824826009,NA,NA,NA,NA,11.1671463242107,0.272574924091708,0.315274202196563,0.0296500892329928,36,NA,0,1,NA,"grid_cell_all_cells_OLS","good","Northern",36,4230,117.5,70,5,4.070945924,50.63018432,46.559238396,0.968539540482135,1.90131441323529,0.111111111111111,2,17,7.2,5,0.847108371220939,0.277777777777778,0.472222222222222,0,"reverse_LDG",85,"Priabonian","Prb",37.71,33.9,3.81,"Warmhouse","#b57a51"
39.37,"Bartonian","Northern",-0.356100273953874,NA,NA,NA,NA,45.5378774917328,0.532622412330352,0.508876092251526,0.0146811900259808,32,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",32,10055,314.21875,74.5,5,16.07518153,62.12641536,46.05123383,0.834629580453129,1.749144415,0.15625,1,18,6.4,3,1.09709310509637,0.15625,0.5625,0.9,"normal_LDG",84,"Bartonian","Brt",41.03,37.71,3.32,"Warmhouse","#b57a51"
44.55,"Lutetian","Northern",0.425380199580838,NA,NA,NA,NA,2.97709089792897,0.266897948098201,0.121128770343721,0.0757353635193949,33,NA,0,1,NA,"grid_cell_all_cells_OLS","good","Northern",33,7361,223.060606060606,67,6,8.131051737,62.43585177,54.304800033,0.73216107799511,1.80817574380952,0.0909090909090909,1,17,5.5,3,1.14848085071664,0.181818181818182,0.515151515151515,1.5,"reverse_LDG",83,"Lutetian","Lut",48.07,41.03,7.04,"Warmhouse","#b57a51"
52.035,"Ypresian","Northern",0.438820489985489,NA,NA,NA,NA,15.4169714720083,0.455547709873217,0.345012637869196,0.0372237553349901,26,NA,0,1,NA,"grid_cell_all_cells_OLS","good","Northern",26,5364,206.307692307692,112,4,5.447282134,51.99328411,46.546001976,0.701830466941118,1.76764227468354,0.0384615384615385,2,15,6.5,4.5,0.944202699462665,0.307692307692308,0.576923076923077,1.92857142857143,"reverse_LDG",82,"Ypresian","Ypr",56,48.07,7.93,"Hothouse","#95484b"
57.62,"Thanetian","Northern",-0.130079038210427,NA,NA,NA,NA,35.560790384781,0.699576362734381,0.855598116318418,0.00287285477996088,14,NA,1,0,NA,"grid_cell_all_cells_OLS","bad","Bad hemisphere",14,1913,136.642857142857,67,3,30.22505177,72.0740681,41.84901633,0.685923116629071,1.4715517396875,0,1,11,4.66666666666667,2,1.18019368870416,0.214285714285714,0.785714285714286,1.5,"normal_LDG",81,"Thanetian","Th",59.24,56,3.24,"Warmhouse","#b57a51"
60.45,"Selandian","Northern",1.0553877603463,NA,NA,NA,NA,22.825001762444,0.957084153510044,0.385098227272638,0.378104190103252,4,NA,0,1,NA,"grid_cell_all_cells_OLS","bad","Bad hemisphere",4,1146,286.5,271.5,3,33.9767838,61.7098756,27.7330918,0.807599764003136,1.49842938591549,0,1,2,1.33333333333333,1,0.433012701892219,0.75,0.5,0,"reverse_LDG",80,"Selandian","Se",61.66,59.24,2.42,"Hothouse","#95484b"
63.83,"Danian","Northern",-0.46382152706483,NA,NA,NA,NA,55.7423809750748,2.67012168315966,0.865939232247691,0.00334151607165195,11,NA,1,0,NA,"grid_cell_all_cells_OLS","bad","Bad hemisphere",11,1952,177.454545454545,59,2,33.02985879,44.32775068,11.29789189,0.64451874014678,1.11339737758621,0,2,9,5.5,5.5,0.899954085146515,0.363636363636364,0.818181818181818,0,"normal_LDG",79,"Danian","Dan",66,61.66,4.34,"Hothouse","#95484b"
69.1,"Maastrichtian","Northern",0.642469809582657,NA,NA,NA,NA,1.25754047696256,0.265058443564128,0.0196353314637646,0.120208083666408,45,NA,0,1,NA,"grid_cell_all_cells_OLS","good","Northern",45,15041,334.244444444444,65,5,4.739120661,56.24836738,51.509246719,0.681140802313973,1.8717747372,0.111111111111111,3,23,9,6,0.926296222251837,0.333333333333333,0.511111111111111,0,"reverse_LDG",78,"Maastrichtian","Maa",72.2,66,6.2,"Transitional","#c8c7c7"
77.9,"Campanian","Northern",-0.00838346949091603,NA,NA,NA,NA,17.317699117081,0.142493431222111,0.953264771663131,5.32502197278862e-05,67,NA,1,0,NA,"grid_cell_all_cells_OLS","good","Northern",67,6166,92.0298507462687,33,6,2.514673825,78.07096538,75.556291555,0.738905659893305,1.9531236037037,0.104477611940299,2,24,11.1666666666667,8.5,0.775372775199951,0.17910447761194,0.358208955223881,1.35,"normal_LDG",77,"Campanian","Cam",83.6,72.2,11.4,"Warmhouse","#b57a51"
