"bin_midpoint","stage","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","method","label","color","n_cells","n_valid_lat_bins","min_abs_lat","max_abs_lat","lat_range","sum_nT","mean_nT","median_nT","mean_t_over_nT","max_t_over_nT","prop_high_extrapolation","slope_direction"
63.83,"Danian","Northern",-0.46382152706483,55.7423809750748,2.67012168315966,-5.69726002605777,4.76961697192811,0.865939232247691,0.00334151607165195,11,"grid_cell_all_cells_OLS","good","Northern",11,4,33.02985879,44.32775068,11.29789189,1952,177.454545454545,59,0.64451874014678,1.11339737758621,0,"normal_LDG"
69.1,"Maastrichtian","Northern",0.642469809582657,1.25754047696256,0.265058443564128,0.122955260196965,1.16198435896835,0.0196353314637646,0.120208083666408,45,"grid_cell_all_cells_OLS","good","Northern",45,13,4.739120661,56.24836738,51.509246719,15041,334.244444444444,65,0.681140802313973,1.8717747372,0.111111111111111,"reverse_LDG"
77.9,"Campanian","Northern",-0.00838346949091603,17.317699117081,0.142493431222111,-0.287670594686254,0.270903655704422,0.953264771663131,5.32502197278862e-05,67,"grid_cell_all_cells_OLS","good","Northern",67,15,2.514673825,78.07096538,75.556291555,6166,92.0298507462687,33,0.738905659893305,1.9531236037037,0.104477611940299,"normal_LDG"
84.65,"Santonian","Northern",-0.050417323984615,22.7644856477687,0.466427143987298,-0.96461452619972,0.86377987823049,0.91490201668997,0.000530809490201837,24,"grid_cell_all_cells_OLS","good","Northern",24,9,9.820804984,53.88599078,44.065185796,1096,45.6666666666667,24.5,0.602508684150158,1.60722901555556,0.0416666666666667,"normal_LDG"
87.75,"Coniacian","Northern",-0.354301281454387,26.3043620943889,0.204515434796025,-0.755151533654597,0.0465489707458224,0.097866945466217,0.125043326806014,23,"grid_cell_all_cells_OLS","good","Northern",23,9,11.95491105,54.46981084,42.51489979,539,23.4347826086957,13,0.651611460935927,1.6993112212,0.0434782608695652,"normal_LDG"
91.85,"Turonian","Northern",-0.0529161393384735,25.6818870983119,0.237338647204448,-0.518099887859191,0.412267609182244,0.824535699426943,0.00105653145460441,49,"grid_cell_all_cells_OLS","good","Northern",49,14,4.104899675,64.03361656,59.928716885,2577,52.5918367346939,19,0.817375426097385,1.86005035318182,0.122448979591837,"normal_LDG"
97.2,"Cenomanian","Northern",-0.37500659657326,36.7836451147991,0.25205417812123,-0.869032785690869,0.11901959254435,0.143343736795045,0.0440827883389091,50,"grid_cell_all_cells_OLS","good","Northern",50,15,6.15e-09,62.21416854,62.21416853385,4533,90.66,25,0.776143500732037,1.80824644810811,0.14,"normal_LDG"
106.85,"Albian","Northern",-0.334977094187336,34.1607073961928,0.233529833553485,-0.792695567952166,0.122741379577495,0.160590291479738,0.0570623362103792,36,"grid_cell_all_cells_OLS","good","Northern",36,15,1.320576367,79.94533967,78.624763303,2175,60.4166666666667,21,0.803017100255697,1.6993112212,0.166666666666667,"normal_LDG"
117.3,"Aptian","Northern",-0.170059269749823,32.1845462657579,0.402250819208265,-0.958470875398022,0.618352335898376,0.676567326948365,0.00805879292380371,24,"grid_cell_all_cells_OLS","good","Northern",24,13,7.265914649,70.82154197,63.555627321,1881,78.375,36.5,1.03457700900085,1.954963814,0.166666666666667,"normal_LDG"
123.585,"Barremian","Northern",-0.6202040383471,66.6669532625666,0.81818008518415,-2.22383700530803,0.983428928613835,0.470172116118199,0.0670126999124784,10,"grid_cell_all_cells_OLS","good","Northern",10,8,25.07091636,72.81388293,47.74296657,180,18,11.5,0.699139452168766,1.2091164624,0,"normal_LDG"
129.185,"Hauterivian","Northern",-1.44332111281242,90.4620572845609,0.857749151034769,-3.12450944884056,0.237867223215729,0.11628402181198,0.178848490329432,15,"grid_cell_all_cells_OLS","good","Northern",15,6,31.67335741,58.28252559,26.60916818,854,56.9333333333333,21,0.564953435707854,1.14251136181818,0,"normal_LDG"
134.825,"Valanginian","Northern",-0.377907102378971,53.7784750290649,0.34782407834774,-1.05964229594054,0.3038280911826,0.292428788938115,0.0649300869010223,19,"grid_cell_all_cells_OLS","good","Northern",19,8,31.67335741,79.84138097,48.16802356,958,50.4210526315789,24,0.851146133052507,1.6993112212,0.0526315789473684,"normal_LDG"
140.075,"Berriasian","Northern",0.271074957359225,17.927803942693,0.439852132671529,-0.591035222676973,1.13318513739542,0.544328752533015,0.0177648509745732,23,"grid_cell_all_cells_OLS","good","Northern",23,9,25.32134379,77.73177818,52.41043439,619,26.9130434782609,17,0.801979065501204,1.73081931714286,0.0869565217391304,"reverse_LDG"
146.15,"Tithonian","Northern",-0.391954039578601,45.8318515612986,0.40126739632277,-1.17843813637123,0.394530057214027,0.340946888369867,0.047815641181064,21,"grid_cell_all_cells_OLS","good","Northern",21,10,5.37796106,77.29099417,71.91303311,2430,115.714285714286,10,0.781026389270961,1.6993112212,0.0952380952380952,"normal_LDG"
152,"Kimmeridgian","Northern",-1.33420913676689,106.013728393966,0.85718471419805,-3.01429117659507,0.345872903061287,0.158201352354987,0.232444299352189,10,"grid_cell_all_cells_OLS","good","Northern",10,6,33.81714964,70.73372045,36.91657081,1666,166.6,49,0.92343410820296,1.96382282307692,0.3,"normal_LDG"
158.15,"Oxfordian","Northern",-0.26306014108946,32.1595358648729,0.301383458182439,-0.853771719127039,0.32765143694812,0.391770859863896,0.0320620262972899,25,"grid_cell_all_cells_OLS","good","Northern",25,10,5.02e-09,73.8495459,73.84954589498,3673,146.92,41,0.562788787027431,1.971219225,0.08,"normal_LDG"
163.4,"Callovian","Northern",-1.18614564168532,63.1755723534759,0.315027030133529,-1.80359862074703,-0.568692662623598,0.00106744295595974,0.391876654709327,24,"grid_cell_all_cells_OLS","good","Northern",24,10,5.02e-09,53.1478836,53.14788359498,2396,99.8333333333333,23,0.622313536551141,1.82094288210526,0.0416666666666667,"normal_LDG"
166.75,"Bathonian","Northern",-0.209509367715582,35.6238326441962,0.394513596325833,-0.982756016514215,0.563737281083051,0.600259702641584,0.0116144351768131,26,"grid_cell_all_cells_OLS","good","Northern",26,11,5.02e-09,53.1478836,53.14788359498,3255,125.192307692308,56,0.483472671320319,1.68514435181818,0.0384615384615385,"normal_LDG"
169.55,"Bajocian","Northern",-0.34132882849439,33.041483970001,0.345183880522888,-1.01788923431925,0.33523157733047,0.331524690332231,0.034948741705952,29,"grid_cell_all_cells_OLS","good","Northern",29,11,5.02e-09,67.89509959,67.89509958498,1545,53.2758620689655,21,0.690885482163538,1.86916465757576,0.0689655172413793,"normal_LDG"
172.8,"Aalenian","Northern",0.120268120798253,13.2171482229058,0.451138414610761,-0.763963171838838,1.00449941343534,0.792816352859221,0.00393276126063182,20,"grid_cell_all_cells_OLS","good","Northern",20,9,17.90842433,74.43377065,56.52534632,1128,56.4,33,0.599925129184016,1.91630236119403,0.1,"reverse_LDG"
179.45,"Toarcian","Northern",-0.174632114541366,29.6098534900927,0.26442365867719,-0.692902485548659,0.343638256465926,0.513184824784524,0.0119705742195217,38,"grid_cell_all_cells_OLS","good","Northern",38,11,5.02e-09,75.48801388,75.48801387498,5016,132,28,0.587582725916287,1.92666515866667,0.0789473684210526,"normal_LDG"
188.55,"Pliensbachian","Northern",0.0613560374107938,25.8516346655726,0.305980058649007,-0.53836487754126,0.661076952362847,0.842169751053599,0.00108556273375376,39,"grid_cell_all_cells_OLS","good","Northern",39,14,4.863490843,73.66054641,68.797055567,4996,128.102564102564,33,0.640999386849255,1.6993112212,0.102564102564103,"reverse_LDG"
196.2,"Sinemurian","Northern",-0.248798604657243,30.4577195980986,0.249849398832037,-0.738503426368036,0.24090621705355,0.328191304796063,0.0354251291635175,29,"grid_cell_all_cells_OLS","good","Northern",29,11,2.430801149,69.13842977,66.707628621,1350,46.551724137931,22,0.874549052826048,1.95700807730769,0.206896551724138,"normal_LDG"
200.45,"Hettangian","Northern",0.0832978527153532,15.498491284227,0.527988245843647,-0.951559109138195,1.1181548145689,0.876895166918683,0.00177467834610371,16,"grid_cell_all_cells_OLS","good","Northern",16,9,15.54626474,64.93572783,49.38946309,727,45.4375,29.5,0.842844848256472,1.84790677747748,0.1875,"reverse_LDG"
203.55,"Rhaetian","Northern",-0.364442504079045,46.1940466694082,0.403096263791222,-1.15451118110984,0.425626172951751,0.378572375225053,0.0458770938773153,19,"grid_cell_all_cells_OLS","good","Northern",19,8,15.54626474,73.66054641,58.11428167,1761,92.6842105263158,16,0.770241560498872,1.92666515866667,0.210526315789474,"normal_LDG"
216.5,"Norian","Northern",-0.0192117108329479,20.2841891831911,0.173012562276248,-0.358316332894393,0.319892911228498,0.912347781925066,0.000425005149262607,31,"grid_cell_all_cells_OLS","good","Northern",31,16,2.430801149,80.29781125,77.867010101,1462,47.1612903225806,30,0.862299482058298,1.98845886609756,0.161290322580645,"normal_LDG"
232.15,"Carnian","Northern",-0.203163697596193,19.4957872870257,0.173626116502443,-0.543470885940981,0.137143490748596,0.255707195530798,0.0640728668278472,22,"grid_cell_all_cells_OLS","good","Northern",22,11,7.032486491,86.63064375,79.598157259,2760,125.454545454545,25,0.824136363268125,1.80235311304348,0.181818181818182,"normal_LDG"
239.232,"Ladinian","Northern",-0.123610145106828,22.2645653446551,0.215187315297916,-0.545377283090743,0.298156992877087,0.572081687156789,0.0162307337271811,22,"grid_cell_all_cells_OLS","good","Northern",22,10,2.344650213,80.29781125,77.953161037,1207,54.8636363636364,30,0.782179502512324,1.9808446626506,0.0909090909090909,"normal_LDG"
244.082,"Anisian","Northern",-0.114354067704075,28.6771165152073,0.262946890202901,-0.62972997250176,0.40102183709361,0.668075727625567,0.00892594017556898,23,"grid_cell_all_cells_OLS","good","Northern",23,11,2.55e-09,65.09003016,65.09003015745,3287,142.913043478261,47,0.741935796846459,1.82856119805195,0.173913043478261,"normal_LDG"
248.3,"Olenekian","Northern",-0.0580124659787944,46.7071795580991,0.248276995159782,-0.544635376491966,0.428610444534378,0.817409293612284,0.00247554350883683,24,"grid_cell_all_cells_OLS","good","Northern",24,12,3.19e-09,66.14311223,66.14311222681,1299,54.125,20.5,0.65030652874391,1.60722901555556,0.0833333333333333,"normal_LDG"
250.901,"Induan","Northern",-0.117131145463895,37.9568488477382,0.187849390927367,-0.485315951681535,0.251053660753744,0.536862342315671,0.0106845805023887,38,"grid_cell_all_cells_OLS","good","Northern",38,12,6.15e-09,77.73177818,77.73177817385,3249,85.5,32,0.50968485512924,1.80946173833333,0.0526315789473684,"normal_LDG"
253.021,"Changhsingian","Northern",-0.479124653491555,39.4222428011925,0.252521427943685,-0.974066652261179,0.0158173452780686,0.0716161832265228,0.146340906122342,23,"grid_cell_all_cells_OLS","good","Northern",23,10,6.15e-09,78.13514109,78.13514108385,4285,186.304347826087,64,0.523885382460553,1.869993325,0.0434782608695652,"normal_LDG"
256.825,"Wuchiapingian","Northern",-0.607327685543621,43.6364911858739,0.23528041468813,-1.06847729833236,-0.146178072754886,0.0136150356069333,0.1427911410118,42,"grid_cell_all_cells_OLS","good","Northern",42,12,1.204524049,78.13514109,76.930617041,5092,121.238095238095,51.5,0.72346081286898,1.60924635,0.142857142857143,"normal_LDG"
261.895,"Capitanian","Northern",-0.356314489239989,37.718300601205,0.22491728609901,-0.797152369994048,0.0845233915140698,0.126237445758867,0.0946709057898774,26,"grid_cell_all_cells_OLS","good","Northern",26,13,2.703756804,75.94987466,73.246117856,2441,93.8846153846154,22.5,1.0048480054912,1.75219849541667,0.269230769230769,"normal_LDG"
265.59,"Wordian","Northern",-0.483767841193274,45.0230825739821,0.174823612853611,-0.82642212238635,-0.141113560000197,0.012697987657707,0.298444382753973,20,"grid_cell_all_cells_OLS","good","Northern",20,13,1.212552561,79.18997812,77.977425559,2298,114.9,31,0.798877435400827,1.87998413814815,0.05,"normal_LDG"
270.65,"Roadian","Northern",-0.480247102581487,34.1180065871979,0.150958247534307,-0.776125267748729,-0.184368937414245,0.00301495707216274,0.219441503606621,38,"grid_cell_all_cells_OLS","good","Northern",38,17,2.417243934,73.61127037,71.194026436,6391,168.184210526316,31,0.705480705897923,1.6993112212,0.105263157894737,"normal_LDG"
278.85,"Kungurian","Northern",-0.300693311541236,28.6864905743262,0.146309037589067,-0.587459025215807,-0.0139275978666648,0.0473826416817472,0.107685036675159,37,"grid_cell_all_cells_OLS","good","Northern",37,13,4.26e-10,70.73372045,70.733720449574,3229,87.2702702702703,37,0.797144410337877,1.95553023590909,0.162162162162162,"normal_LDG"
286.7,"Artinskian","Northern",-1.1032997102625,66.1442456459744,0.500251215294757,-2.08379209224022,-0.122807328284774,0.0399362880256009,0.203828059627332,21,"grid_cell_all_cells_OLS","good","Northern",21,8,1.358896896,41.5435043,40.184607404,1117,53.1904761904762,42,0.973501413846865,1.82252512785714,0.142857142857143,"normal_LDG"
291.81,"Sakmarian","Northern",-0.222049709011695,38.6009997889307,0.214536579581622,-0.642541404991675,0.198441986968284,0.31190326506809,0.0464329490743832,24,"grid_cell_all_cells_OLS","good","Northern",24,13,1.335343625,67.42522977,66.089886145,1270,52.9166666666667,22,0.976665542639976,1.95700807730769,0.25,"normal_LDG"
296.21,"Asselian","Northern",-0.316461884891625,31.7356579860846,0.318573944813105,-0.940866816725311,0.30794304694206,0.338660390153308,0.0705512042339755,15,"grid_cell_all_cells_OLS","good","Northern",15,8,11.19801743,64.8793186,53.68130117,481,32.0666666666667,15,0.943432215554846,1.748394932,0.2,"normal_LDG"
301.3,"Gzhelian","Northern",-0.763344905595725,43.6226331051776,0.242213323929868,-1.23808302049827,-0.288606790693184,0.0344629728063383,0.712895358051517,6,"grid_cell_all_cells_OLS","good","Northern",6,6,2.737148645,62.33227921,59.595130565,455,75.8333333333333,45.5,0.796840338219356,1.212647295625,0,"normal_LDG"
305.35,"Kasimovian","Northern",NA,NA,NA,NA,NA,NA,NA,2,"grid_cell_all_cells_OLS","bad","Bad hemisphere",2,2,29.07164723,36.91570949,7.84406226,13,6.5,6.5,0.61292585922619,0.798826980166667,0,NA
311.1,"Moscovian","Northern",-0.133398775483873,9.45931593910051,0.09522623387199,-0.320042193872973,0.0532446429052275,0.255775733767804,0.395455427571193,5,"grid_cell_all_cells_OLS","good","Northern",5,5,6.798150903,34.5127684,27.714617497,128,25.6,12,1.03598167621906,1.6993112212,0.2,"normal_LDG"
319.3,"Bashkirian","Northern",-0.525599834110303,46.9548133516265,0.456066201486258,-1.41948958902337,0.368289920802764,0.282402443000352,0.142382976692138,10,"grid_cell_all_cells_OLS","good","Northern",10,5,1.378811143,56.73585976,55.357048617,545,54.5,39,1.04591854171157,1.64138938485714,0.2,"normal_LDG"
326.85,"Serpukhovian","Northern",-1.48672145449183,42.2698093932997,1.06771703917564,-3.57944685127609,0.606003942292435,0.201273715089582,0.19507886289221,10,"grid_cell_all_cells_OLS","good","Northern",10,4,1.378811143,19.81215675,18.433345607,579,57.9,46,0.940892136163453,1.93295611,0.2,"normal_LDG"
338.5,"Visean","Northern",0.0852431146121072,4.49676627355095,0.302117893817355,-0.506907957269908,0.677394186494123,0.804344550312829,0.038281054992289,4,"grid_cell_all_cells_OLS","good","Northern",4,4,4.739120661,27.63160486,22.892484199,52,13,12,0.88441980603125,1.869993325,0.25,"reverse_LDG"
352.78,"Tournaisian","Northern",NA,NA,NA,NA,NA,NA,NA,2,"grid_cell_all_cells_OLS","bad","Bad hemisphere",2,2,2.74598459,9.453036864,6.707052274,283,141.5,141.5,0.559040567111515,0.94979359030303,0,NA
365.505,"Famennian","Northern",-0.439935159227471,13.4274906507802,0.900879076593786,-2.20565814935129,1.32578783089635,0.673603142973255,0.106534908276938,4,"grid_cell_all_cells_OLS","bad","Bad hemisphere",4,2,4.26e-10,15.90454383,15.904543829574,95,23.75,23.5,0.962517850516941,1.3531887,0,"normal_LDG"
377.23,"Frasnian","Northern",NA,NA,NA,NA,NA,NA,NA,2,"grid_cell_all_cells_OLS","bad","Bad hemisphere",2,2,7.141901984,31.7070933,24.565191316,176,88,88,0.520507106355666,0.616681246885246,0,NA
385.13,"Givetian","Northern",0.352567685696501,5.25909022081305,0.489524901273795,-0.606901120800136,1.31203649219314,0.602640591155212,0.341552042917146,3,"grid_cell_all_cells_OLS","good","Northern",3,3,8.42e-10,34.49732323,34.497323229158,89,29.6666666666667,25,1.05176342942355,1.60709445023256,0.333333333333333,"reverse_LDG"
390.71,"Eifelian","Northern",-15.7355855665114,43.5003506755797,24.1968591564315,-63.1614295131172,31.6902583800943,0.632927090383079,0.297214800063287,3,"grid_cell_all_cells_OLS","bad","Bad hemisphere",3,1,1.219167232,2.653054191,1.433886959,115,38.3333333333333,6,0.809297445159655,0.830238375145631,0,"normal_LDG"
402.045,"Emsian","Northern",-0.258806382279695,29.8098433861038,0.318619037521242,-0.883299695821329,0.36568693126194,0.437590337584419,0.068302843179564,11,"grid_cell_all_cells_OLS","good","Northern",11,6,1.25e-09,37.83486706,37.83486705875,971,88.2727272727273,53,0.876956882680504,1.77180579130435,0.0909090909090909,"normal_LDG"
411.82,"Pragian","Northern",1.07897907441925,13.6304235946978,1.0036565763758,-0.888187815277319,3.04614596411581,0.361119202626078,0.278104887682308,5,"grid_cell_all_cells_OLS","good","Northern",5,3,5.56e-10,6.743383021,6.743383020444,430,86,61,0.898654137659182,1.32102333726027,0,"reverse_LDG"
416.32,"Lochkovian","Northern",-0.972502227959835,28.208611872713,0.799606641093334,-2.53973124450277,0.594726788583099,0.254833554773666,0.141156239619294,11,"grid_cell_all_cells_OLS","good","Northern",11,5,5.56e-10,18.36362995,18.363629949444,518,47.0909090909091,37,0.913866289306236,1.87220779909091,0.181818181818182,"normal_LDG"
421.16,"Pridoli","Northern",1.56492184465142,15.7439398349089,5.86101172739407,-9.92266114104097,13.0525048303438,0.833894047483575,0.0665475862923253,3,"grid_cell_all_cells_OLS","bad","Bad hemisphere",3,2,4.687900699,9.450919534,4.763018835,131,43.6666666666667,37,0.890764105563063,1.08662394,0,"reverse_LDG"
423.85,"Ludfordian","Northern",NA,NA,NA,NA,NA,NA,NA,1,"grid_cell_all_cells_OLS","bad","Bad hemisphere",1,1,4.032750033,4.032750033,0,8,8,8,1.3531887,1.3531887,0,NA
425.85,"Gorstian","Northern",NA,NA,NA,NA,NA,NA,NA,1,"grid_cell_all_cells_OLS","bad","Bad hemisphere",1,1,2.402714384,2.402714384,0,37,37,37,1.48233357081081,1.48233357081081,0,NA
428.65,"Homerian","Northern",-0.277588043339459,29.2284887552686,0.685934344433985,-1.62201935843007,1.06684327175115,0.699740374923374,0.0265699009255955,8,"grid_cell_all_cells_OLS","good","Northern",8,6,2.34583737,35.4953297,33.14949233,600,75,63.5,0.858702471146775,1.72822710879121,0.125,"normal_LDG"
