"bin_midpoint","stage","hemisphere","label","n_cells_total","n_cells_high_lat","prop_cells_high_lat","has_high_lat_cells","max_abs_lat","median_abs_lat"
172.8,"Aalenian","Southern","bad",2,0,0,FALSE,33.72210227,29.9979163
179.45,"Toarcian","Northern","good",38,4,0.105263157894737,TRUE,75.48801388,35.424110355
179.45,"Toarcian","Southern","good",12,3,0.25,TRUE,75.94987466,37.288634245
188.55,"Pliensbachian","Northern","good",39,1,0.0256410256410256,TRUE,73.66054641,33.60914908
188.55,"Pliensbachian","Southern","bad",7,2,0.285714285714286,TRUE,75.50841728,38.44920586
196.2,"Sinemurian","Northern","good",29,1,0.0344827586206897,TRUE,69.13842977,31.79203392
196.2,"Sinemurian","Southern","good",11,4,0.363636363636364,TRUE,72.96308819,38.44920586
200.45,"Hettangian","Northern","good",16,1,0.0625,TRUE,64.93572783,35.912917045
200.45,"Hettangian","Southern","good",6,2,0.333333333333333,TRUE,71.94358535,44.15285922
203.55,"Rhaetian","Northern","good",19,4,0.210526315789474,TRUE,73.66054641,33.7399799
203.55,"Rhaetian","Southern","good",8,3,0.375,TRUE,69.1665314,46.873712045
216.5,"Norian","Northern","good",31,6,0.193548387096774,TRUE,80.29781125,34.24257531
216.5,"Norian","Southern","good",15,5,0.333333333333333,TRUE,74.5914634,24.24896562
232.15,"Carnian","Northern","good",22,6,0.272727272727273,TRUE,86.63064375,24.48896644
232.15,"Carnian","Southern","bad",4,1,0.25,TRUE,74.5914634,47.7376188
239.232,"Ladinian","Northern","good",22,5,0.227272727272727,TRUE,80.29781125,16.56419457
239.232,"Ladinian","Southern","bad",6,5,0.833333333333333,TRUE,73.61127037,70.902893965
244.082,"Anisian","Northern","good",23,3,0.130434782608696,TRUE,65.09003016,14.12077742
244.082,"Anisian","Southern","good",7,3,0.428571428571429,TRUE,74.62840468,49.35691177
248.3,"Olenekian","Northern","good",24,3,0.125,TRUE,66.14311223,13.419702145
248.3,"Olenekian","Southern","good",4,0,0,FALSE,50.52122727,38.67798352
250.901,"Induan","Northern","good",38,4,0.105263157894737,TRUE,77.73177818,13.299390395
250.901,"Induan","Southern","good",9,0,0,FALSE,53.1478836,31.47363565
253.021,"Changhsingian","Northern","good",23,2,0.0869565217391304,TRUE,78.13514109,9.663682368
253.021,"Changhsingian","Southern","good",10,2,0.2,TRUE,75.94987466,45.96885388
256.825,"Wuchiapingian","Northern","good",42,2,0.0476190476190476,TRUE,78.13514109,16.30221249
