"group1","group2","normal","test_type","shapiro_p1","shapiro_p2"
"Coldhouse","Coolhouse",FALSE,"Wilcoxon",0.00445381322258779,0.0240888589864868
"Coldhouse","Transitional",FALSE,"Wilcoxon",0.00445381322258779,0.743533124678284
"Coldhouse","Warmhouse",FALSE,"Wilcoxon",0.00445381322258779,0.0845185240929834
"Coldhouse","Hothouse",FALSE,"Wilcoxon",0.00445381322258779,0.469660468383018
"Coolhouse","Transitional",FALSE,"Wilcoxon",0.0240888589864868,0.743533124678284
"Coolhouse","Warmhouse",FALSE,"Wilcoxon",0.0240888589864868,0.0845185240929834
"Coolhouse","Hothouse",FALSE,"Wilcoxon",0.0240888589864868,0.469660468383018
"Transitional","Warmhouse",TRUE,"t-test",0.743533124678284,0.0845185240929834
"Transitional","Hothouse",TRUE,"t-test",0.743533124678284,0.469660468383018
"Warmhouse","Hothouse",TRUE,"t-test",0.0845185240929834,0.469660468383018
