"bin_midpoint","slope","intercept","quantile","hemisphere","label","color"
"474.2",-0.527774700764532,26.1030028176945,"q50","Northern","good","Northern"
"470.35",-1.72504730407538,90.5228082001553,"q50","Northern","good","Northern"
"441.8",-0.693048709901783,49.9027233459463,"q50","Northern","good","Northern"
"435.75",-0.302225052296903,25.0543280282969,"q50","Northern","good","Northern"
"428.65",-0.578483037133326,38.7772909799442,"q50","Northern","good","Northern"
"402.045",-0.240882411720641,25.1605035478838,"q50","Northern","good","Northern"
"385.13",0.560229477831444,-5.16490753175649,"q50","Northern","good","Northern"
"319.3",-0.35868948931889,33.6112394286212,"q50","Northern","good","Northern"
"311.1",-0.0187805257020729,6.23694919444178,"q50","Northern","good","Northern"
"301.3",-0.579991609347854,39.1796882120513,"q50","Northern","good","Northern"
"296.21",0.00768459022183387,16.3103029908249,"q50","Northern","good","Northern"
"291.81",0.0419366428076367,32.0862929698868,"q50","Northern","good","Northern"
"286.7",1.14585497820642,-10.4072361636849,"q50","Northern","good","Northern"
"278.85",-0.0663794872091618,21.377034667498,"q50","Northern","good","Northern"
"270.65",-0.386514462157321,30.849273099582,"q50","Northern","good","Northern"
"265.59",-0.328604654170096,35.727506591655,"q50","Northern","good","Northern"
"261.895",-0.121474147212548,29.6621447669477,"q50","Northern","good","Northern"
"256.825",-0.276819400705479,32.4281822499993,"q50","Northern","good","Northern"
"253.021",-0.499663103591565,46.6456737525372,"q50","Northern","good","Northern"
"250.901",-0.0377954934136273,31.2319547805428,"q50","Northern","good","Northern"
"248.3",0.000248092383566485,47.4507774576568,"q50","Northern","good","Northern"
"244.082",-0.19590621882913,44.0056265271404,"q50","Northern","good","Northern"
"239.232",0.00613865334224407,7.91615255341458,"q50","Northern","good","Northern"
"232.15",0.00920301922604596,4.87470966919262,"q50","Northern","good","Northern"
"216.5",-0.070361161832382,19.1235029675076,"q50","Northern","good","Northern"
"203.55",0.0443542014851765,22.1147968505211,"q50","Northern","good","Northern"
"200.45",0.32041895865601,1.39254093278147,"q50","Northern","good","Northern"
"196.2",-0.0682131475474298,27.5983628375133,"q50","Northern","good","Northern"
"188.55",-0.349220893448824,35.0487337261345,"q50","Northern","good","Northern"
"179.45",0.111011283853157,16.4936728722706,"q50","Northern","good","Northern"
"172.8",-0.0700800301042885,11.9440170324637,"q50","Northern","good","Northern"
"169.55",0.187879406509179,7.9221302264672,"q50","Northern","good","Northern"
"166.75",0.436884855578766,4.56758739820072,"q50","Northern","good","Northern"
"163.4",-1.87190370502064,96.8915556828893,"q50","Northern","good","Northern"
"158.15",-0.20672936505652,30.6867749360504,"q50","Northern","good","Northern"
"152",-0.464182194196476,43.6739306384649,"q50","Northern","bad","Bad hemisphere"
"146.15",-0.0472017383538652,10.4773296775563,"q50","Northern","good","Northern"
"140.075",-0.336559282510386,41.7801406184041,"q50","Northern","good","Northern"
"134.825",0.74165897186713,-9.27610624484514,"q50","Northern","bad","Bad hemisphere"
"123.585",-0.169366197695607,24.1249347328179,"q50","Northern","good","Northern"
"117.3",0.069764968648808,21.3560548936224,"q50","Northern","good","Northern"
"106.85",0.011950716979146,7.66021802157133,"q50","Northern","good","Northern"
"97.2",0.212529250437736,13.9753588948522,"q50","Northern","good","Northern"
"91.85",0.214595621475008,12.7878565708486,"q50","Northern","good","Northern"
"87.75",-0.514796344410662,28.4797069653959,"q50","Northern","good","Northern"
"84.65",-0.205546633487061,22.3230996525367,"q50","Northern","good","Northern"
"77.9",0.121918475913814,6.40356981057692,"q50","Northern","good","Northern"
"69.1",1.06321405175899,-10.7768109092728,"q50","Northern","good","Northern"
"60.45",0.570451058467221,32.451166355107,"q50","Northern","bad","Bad hemisphere"
"57.62",0.0137414389845286,30.2569929822456,"q50","Northern","good","Northern"
"52.035",0.721676683267218,-5.461216968245,"q50","Northern","good","Northern"
"44.55",0.204764346883826,3.88535231932656,"q50","Northern","good","Northern"
"39.37",0.153880655769083,7.54785793019606,"q50","Northern","good","Northern"
"35.805",-0.320169815351625,28.6022106647427,"q50","Northern","good","Northern"
"30.6",0.343213796687559,15.664616117943,"q50","Northern","good","Northern"
"25.17",0.179684109920677,19.4096743203682,"q50","Northern","good","Northern"
"21.745",-1.72909811910622,92.5358360798181,"q50","Northern","good","Northern"
"18.215",0.177359094495128,5.35501922454267,"q50","Northern","good","Northern"
