"hemisphere","good_count","bad_count","total","greater_than_0","less_than_0","equal_to_0","na_count","reverse_LDG","normal_LDG","flat_LDG","na_LDG","good_stage","bad_stage"
"Northern",66,2,68,16,50,0,0,24.2424242424242,75.7575757575758,0,0,97.0588235294118,2.94117647058824
"Southern",70,9,79,24,46,0,0,34.2857142857143,65.7142857142857,0,0,88.6075949367088,11.3924050632911
