"hemisphere","good_count","bad_count","total","greater_than_0","less_than_0","equal_to_0","na_count","reverse_LDG","normal_LDG","flat_LDG","na_LDG","good_stage","bad_stage"
"Northern",62,15,77,11,51,0,0,17.741935483871,82.258064516129,0,0,80.5194805194805,19.4805194805195
"Southern",71,9,80,35,36,0,0,49.2957746478873,50.7042253521127,0,0,88.75,11.25
