"group1","group2","normal","test_type","shapiro_p1","shapiro_p2"
"Coldhouse","Coolhouse",FALSE,"Wilcoxon",0.0134491545743689,0.00608811879896368
"Coldhouse","Transitional",FALSE,"Wilcoxon",0.0134491545743689,0.00152242428512835
"Coldhouse","Warmhouse",FALSE,"Wilcoxon",0.0134491545743689,4.25058401399698e-07
"Coldhouse","Hothouse",FALSE,"Wilcoxon",0.0134491545743689,0.558404624338202
"Coolhouse","Transitional",FALSE,"Wilcoxon",0.00608811879896368,0.00152242428512835
"Coolhouse","Warmhouse",FALSE,"Wilcoxon",0.00608811879896368,4.25058401399698e-07
"Coolhouse","Hothouse",FALSE,"Wilcoxon",0.00608811879896368,0.558404624338202
"Transitional","Warmhouse",FALSE,"Wilcoxon",0.00152242428512835,4.25058401399698e-07
"Transitional","Hothouse",FALSE,"Wilcoxon",0.00152242428512835,0.558404624338202
"Warmhouse","Hothouse",FALSE,"Wilcoxon",4.25058401399698e-07,0.558404624338202
