"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","bin_midpoint","stage","era","sampling_profile_dissim","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_sample_Northern","k_sample_Southern","interval_width_Northern","interval_width_Southern","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_median_asym","k_median_diff_signed","k_sample_asym","k_sample_diff_signed","interval_width_asym","interval_width_diff_signed","mean_interval_width"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate",1.29585,"Pleistocene","Cenozoic",0.8125,-0.715020132965995,-0.118660709266925,3,1,0.516397779494322,0.330718913883074,NA,NA,0.92916915179636,0.85974102910629,0.59635942369907,-0.59635942369907,0.185678865611248,0.185678865611248,0.693147180559945,2,NA,NA,0.0366521725633943,0.0694281226900706,0.894455090451325
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate",9.438,"Tortonian","Cenozoic",0.325,-1.10414627593284,2.03956142014441,1,1,0.730410843293006,0,NA,NA,0.855948094645798,8.01798229139032,3.14370769607724,-3.14370769607724,0.730410843293006,0.730410843293006,0,0,NA,NA,1.58082494857499,-7.16203419674452,4.43696519301806
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate",18.215,"Burdigalian","Cenozoic",1.22222222222222,-0.0328571441121346,0.258871416001089,3,1.5,0.540832691319598,0.841319754933374,NA,NA,1.93857772536341,1.83474854626797,0.291728560113223,-0.291728560113223,0.300487063613776,-0.300487063613776,0.470003629245736,1.5,NA,NA,0.035972460370246,0.103829179095443,1.88666313581569
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate",106.85,"Albian","Mesozoic",0.427777777777778,-0.610120004571939,-0.106603577362735,2,1,0.471404520791032,0.314269680527354,NA,NA,1.25819846912318,1.33033638267688,0.503516427209204,-0.503516427209204,0.157134840263677,0.157134840263677,0.405465108108164,1,NA,NA,0.0314452695598196,-0.0721379135536981,1.29426742590003
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate",169.55,"Bajocian","Mesozoic",1.41025641025641,-0.499491761628738,-0.682293094745663,1,1,0.563769465423326,0.372677996249965,NA,NA,2.48561906516983,1.06791754949802,0.182801333116925,0.182801333116925,0.191091469173361,0.191091469173361,0,0,NA,NA,0.52210357933185,1.41770151567181,1.77676830733392
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate",179.45,"Toarcian","Mesozoic",0.217391304347826,0.496594680198066,-1.04892843065803,2,1,0.785321385573411,0.349927106111883,NA,NA,2.20241693407621,0.857332092230796,1.5455231108561,1.5455231108561,0.435394279461528,0.435394279461528,0.405465108108164,1,NA,NA,0.544764717583332,1.34508484184541,1.5298745131535
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate",188.55,"Pliensbachian","Mesozoic",0.236842105263158,1.40562948009287,-0.63274275029395,2,1,0.758454958639203,0.372677996249965,NA,NA,2.77472867987057,1.08331136198923,2.03837223038682,2.03837223038682,0.385776962389238,0.385776962389238,0.405465108108164,1,NA,NA,0.594369878456619,1.69141731788133,1.9290200209299
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate",196.2,"Sinemurian","Mesozoic",0.4,0.889232404828236,-0.997341295162843,2,1,0.612372435695794,0.391230398217976,NA,NA,1.99829076226364,1.84280540637335,1.88657369999108,1.88657369999108,0.221142037477819,0.221142037477819,0.405465108108164,1,NA,NA,0.053250996642721,0.155485355890287,1.9205480843185
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate",216.5,"Norian","Mesozoic",0.145833333333333,0.032039098041409,-0.533027424754367,1,1,0.369274472937998,0.50395263067897,NA,NA,1.1559267557122,0.810902154524895,0.565066522795777,0.565066522795777,0.134678157740971,-0.134678157740971,0,0,NA,NA,0.174395531147396,0.345024601187302,0.983414455118546
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate",253.021,"Changhsingian","Paleozoic",0.229166666666667,-0.353591566007894,0.260435697440196,2,1,0.617213399848368,0.387298334620742,NA,NA,1.47713846905537,1.15108437059305,0.61402726344809,-0.61402726344809,0.229915065227626,0.229915065227626,0.405465108108164,1,NA,NA,0.14113197745559,0.326054098462317,1.31411141982421
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate",256.825,"Wuchiapingian","Paleozoic",0,-0.824666950297483,-0.0620082066418815,2,2,0.666049096671525,0.612372435695794,NA,NA,1.14656195594805,1.06828919437399,0.762658743655602,-0.762658743655602,0.0536766609757308,0.0536766609757308,0,0,NA,NA,0.0371456825636399,0.078272761574053,1.10742557516102
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate",261.895,"Capitanian","Paleozoic",0.166666666666667,-0.652064504099749,0.118241288056812,1,1.5,0.614759861653313,0.365148371670111,NA,NA,1.2026624355788,1.81308040711683,0.770305792156561,-0.770305792156561,0.249611489983202,0.249611489983202,0.22314355131421,-0.5,NA,NA,0.244613286559357,-0.610417971538034,1.50787142134782
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate",265.59,"Wordian","Paleozoic",0.636363636363636,-0.629333295433469,-0.22742720140294,1,1,0.360784269690626,0.593295878967653,NA,NA,1.02224342476795,0.617406811852154,0.401906094030529,-0.401906094030529,0.232511609277027,-0.232511609277027,0,0,NA,NA,0.223383368189831,0.404836612915793,0.81982511831005
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate",270.65,"Roadian","Paleozoic",1.875,-0.610854645461757,-0.0929071490897663,1,1.5,0.732290925793841,0.489897948556636,NA,NA,1.18548051706391,0.764974765531335,0.517947496371991,-0.517947496371991,0.242392977237205,0.242392977237205,0.22314355131421,-0.5,NA,NA,0.213699327512235,0.420505751532578,0.975227641297624
