"method_group","slope_metric","qc_name","hemisphere","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","n_total_stage_hemi","n_with_slope","n_good","n_good_with_slope","prop_good_with_slope"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","Northern","collection",NA,10,1,"tropical_temperate",87,66,45,45,0.517241379310345
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","Southern","collection",NA,10,1,"tropical_temperate",87,69,40,40,0.459770114942529
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","Northern","collection",NA,10,1,"tropical_temperate_polar",87,66,22,22,0.252873563218391
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","Southern","collection",NA,10,1,"tropical_temperate_polar",87,69,21,21,0.241379310344828
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","Northern","collection",NA,10,2,"tropical_temperate",87,66,27,27,0.310344827586207
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","Southern","collection",NA,10,2,"tropical_temperate",87,69,17,17,0.195402298850575
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate_polar","Northern","collection",NA,10,2,"tropical_temperate_polar",87,66,7,7,0.0804597701149425
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate_polar","Southern","collection",NA,10,2,"tropical_temperate_polar",87,69,8,8,0.0919540229885057
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate","Northern","collection",NA,10,3,"tropical_temperate",87,66,16,16,0.183908045977011
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate","Southern","collection",NA,10,3,"tropical_temperate",87,69,9,9,0.103448275862069
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate_polar","Northern","collection",NA,10,3,"tropical_temperate_polar",87,66,4,4,0.0459770114942529
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate_polar","Southern","collection",NA,10,3,"tropical_temperate_polar",87,69,6,6,0.0689655172413793
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate","Northern","collection",NA,5,1,"tropical_temperate",87,76,57,57,0.655172413793103
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate","Southern","collection",NA,5,1,"tropical_temperate",87,78,55,55,0.632183908045977
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","Northern","collection",NA,5,1,"tropical_temperate_polar",87,76,37,37,0.425287356321839
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","Southern","collection",NA,5,1,"tropical_temperate_polar",87,78,31,31,0.35632183908046
"per_cell_all_cells_OLS","all_cells_slope","collection5_k2_tropical_temperate","Northern","collection",NA,5,2,"tropical_temperate",87,76,42,42,0.482758620689655
"per_cell_all_cells_OLS","all_cells_slope","collection5_k2_tropical_temperate","Southern","collection",NA,5,2,"tropical_temperate",87,78,20,20,0.229885057471264
"per_cell_all_cells_OLS","all_cells_slope","collection5_k2_tropical_temperate_polar","Northern","collection",NA,5,2,"tropical_temperate_polar",87,76,24,24,0.275862068965517
"per_cell_all_cells_OLS","all_cells_slope","collection5_k2_tropical_temperate_polar","Southern","collection",NA,5,2,"tropical_temperate_polar",87,78,11,11,0.126436781609195
"per_cell_all_cells_OLS","all_cells_slope","collection5_k3_tropical_temperate","Northern","collection",NA,5,3,"tropical_temperate",87,76,24,24,0.275862068965517
"per_cell_all_cells_OLS","all_cells_slope","collection5_k3_tropical_temperate","Southern","collection",NA,5,3,"tropical_temperate",87,78,15,15,0.172413793103448
"per_cell_all_cells_OLS","all_cells_slope","collection5_k3_tropical_temperate_polar","Northern","collection",NA,5,3,"tropical_temperate_polar",87,76,7,7,0.0804597701149425
"per_cell_all_cells_OLS","all_cells_slope","collection5_k3_tropical_temperate_polar","Southern","collection",NA,5,3,"tropical_temperate_polar",87,78,9,9,0.103448275862069
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate","Northern","occurrence",10,NA,1,"tropical_temperate",87,78,57,57,0.655172413793103
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate","Southern","occurrence",10,NA,1,"tropical_temperate",87,80,57,57,0.655172413793103
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","Northern","occurrence",10,NA,1,"tropical_temperate_polar",87,78,37,37,0.425287356321839
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","Southern","occurrence",10,NA,1,"tropical_temperate_polar",87,80,34,34,0.390804597701149
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate","Northern","occurrence",10,NA,2,"tropical_temperate",87,78,43,43,0.494252873563218
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate","Southern","occurrence",10,NA,2,"tropical_temperate",87,80,32,32,0.367816091954023
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate_polar","Northern","occurrence",10,NA,2,"tropical_temperate_polar",87,78,21,21,0.241379310344828
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate_polar","Southern","occurrence",10,NA,2,"tropical_temperate_polar",87,80,16,16,0.183908045977011
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate","Northern","occurrence",10,NA,3,"tropical_temperate",87,78,27,27,0.310344827586207
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate","Southern","occurrence",10,NA,3,"tropical_temperate",87,80,16,16,0.183908045977011
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate_polar","Northern","occurrence",10,NA,3,"tropical_temperate_polar",87,78,8,8,0.0919540229885057
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate_polar","Southern","occurrence",10,NA,3,"tropical_temperate_polar",87,80,10,10,0.114942528735632
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","occurrence",5,NA,1,"tropical_temperate",87,81,60,60,0.689655172413793
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","occurrence",5,NA,1,"tropical_temperate",87,81,61,61,0.701149425287356
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","occurrence",5,NA,1,"tropical_temperate_polar",87,81,42,42,0.482758620689655
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Southern","occurrence",5,NA,1,"tropical_temperate_polar",87,81,39,39,0.448275862068966
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Northern","occurrence",5,NA,2,"tropical_temperate",87,81,45,45,0.517241379310345
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Southern","occurrence",5,NA,2,"tropical_temperate",87,81,35,35,0.402298850574713
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate_polar","Northern","occurrence",5,NA,2,"tropical_temperate_polar",87,81,30,30,0.344827586206897
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate_polar","Southern","occurrence",5,NA,2,"tropical_temperate_polar",87,81,20,20,0.229885057471264
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k3_tropical_temperate","Northern","occurrence",5,NA,3,"tropical_temperate",87,81,30,30,0.344827586206897
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k3_tropical_temperate","Southern","occurrence",5,NA,3,"tropical_temperate",87,81,21,21,0.241379310344828
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k3_tropical_temperate_polar","Northern","occurrence",5,NA,3,"tropical_temperate_polar",87,81,12,12,0.137931034482759
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k3_tropical_temperate_polar","Southern","occurrence",5,NA,3,"tropical_temperate_polar",87,81,14,14,0.160919540229885
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k1_tropical_temperate","Northern","collection",NA,10,1,"tropical_temperate",87,56,45,45,0.517241379310345
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k1_tropical_temperate","Southern","collection",NA,10,1,"tropical_temperate",87,53,40,40,0.459770114942529
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k1_tropical_temperate_polar","Northern","collection",NA,10,1,"tropical_temperate_polar",87,56,22,22,0.252873563218391
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k1_tropical_temperate_polar","Southern","collection",NA,10,1,"tropical_temperate_polar",87,53,21,21,0.241379310344828
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k2_tropical_temperate","Northern","collection",NA,10,2,"tropical_temperate",87,56,27,27,0.310344827586207
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k2_tropical_temperate","Southern","collection",NA,10,2,"tropical_temperate",87,53,17,17,0.195402298850575
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k2_tropical_temperate_polar","Northern","collection",NA,10,2,"tropical_temperate_polar",87,56,7,7,0.0804597701149425
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k2_tropical_temperate_polar","Southern","collection",NA,10,2,"tropical_temperate_polar",87,53,8,8,0.0919540229885057
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k3_tropical_temperate","Northern","collection",NA,10,3,"tropical_temperate",87,56,16,16,0.183908045977011
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k3_tropical_temperate","Southern","collection",NA,10,3,"tropical_temperate",87,53,9,9,0.103448275862069
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k3_tropical_temperate_polar","Northern","collection",NA,10,3,"tropical_temperate_polar",87,56,4,4,0.0459770114942529
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k3_tropical_temperate_polar","Southern","collection",NA,10,3,"tropical_temperate_polar",87,53,6,6,0.0689655172413793
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate","Northern","collection",NA,5,1,"tropical_temperate",87,69,57,57,0.655172413793103
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate","Southern","collection",NA,5,1,"tropical_temperate",87,72,55,55,0.632183908045977
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","Northern","collection",NA,5,1,"tropical_temperate_polar",87,69,37,37,0.425287356321839
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate_polar","Southern","collection",NA,5,1,"tropical_temperate_polar",87,72,31,31,0.35632183908046
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k2_tropical_temperate","Northern","collection",NA,5,2,"tropical_temperate",87,69,42,42,0.482758620689655
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k2_tropical_temperate","Southern","collection",NA,5,2,"tropical_temperate",87,72,20,20,0.229885057471264
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k2_tropical_temperate_polar","Northern","collection",NA,5,2,"tropical_temperate_polar",87,69,24,24,0.275862068965517
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k2_tropical_temperate_polar","Southern","collection",NA,5,2,"tropical_temperate_polar",87,72,11,11,0.126436781609195
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k3_tropical_temperate","Northern","collection",NA,5,3,"tropical_temperate",87,69,24,24,0.275862068965517
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k3_tropical_temperate","Southern","collection",NA,5,3,"tropical_temperate",87,72,15,15,0.172413793103448
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k3_tropical_temperate_polar","Northern","collection",NA,5,3,"tropical_temperate_polar",87,69,7,7,0.0804597701149425
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k3_tropical_temperate_polar","Southern","collection",NA,5,3,"tropical_temperate_polar",87,72,9,9,0.103448275862069
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","Northern","occurrence",10,NA,1,"tropical_temperate",87,74,57,57,0.655172413793103
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate","Southern","occurrence",10,NA,1,"tropical_temperate",87,72,57,57,0.655172413793103
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate_polar","Northern","occurrence",10,NA,1,"tropical_temperate_polar",87,74,37,37,0.425287356321839
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate_polar","Southern","occurrence",10,NA,1,"tropical_temperate_polar",87,72,34,34,0.390804597701149
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate","Northern","occurrence",10,NA,2,"tropical_temperate",87,74,43,43,0.494252873563218
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate","Southern","occurrence",10,NA,2,"tropical_temperate",87,72,32,32,0.367816091954023
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate_polar","Northern","occurrence",10,NA,2,"tropical_temperate_polar",87,74,21,21,0.241379310344828
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k2_tropical_temperate_polar","Southern","occurrence",10,NA,2,"tropical_temperate_polar",87,72,16,16,0.183908045977011
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k3_tropical_temperate","Northern","occurrence",10,NA,3,"tropical_temperate",87,74,27,27,0.310344827586207
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k3_tropical_temperate","Southern","occurrence",10,NA,3,"tropical_temperate",87,72,16,16,0.183908045977011
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k3_tropical_temperate_polar","Northern","occurrence",10,NA,3,"tropical_temperate_polar",87,74,8,8,0.0919540229885057
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k3_tropical_temperate_polar","Southern","occurrence",10,NA,3,"tropical_temperate_polar",87,72,10,10,0.114942528735632
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate","Northern","occurrence",5,NA,1,"tropical_temperate",87,74,60,60,0.689655172413793
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate","Southern","occurrence",5,NA,1,"tropical_temperate",87,75,61,61,0.701149425287356
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate_polar","Northern","occurrence",5,NA,1,"tropical_temperate_polar",87,74,42,42,0.482758620689655
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate_polar","Southern","occurrence",5,NA,1,"tropical_temperate_polar",87,75,39,39,0.448275862068966
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k2_tropical_temperate","Northern","occurrence",5,NA,2,"tropical_temperate",87,74,45,45,0.517241379310345
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k2_tropical_temperate","Southern","occurrence",5,NA,2,"tropical_temperate",87,75,35,35,0.402298850574713
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k2_tropical_temperate_polar","Northern","occurrence",5,NA,2,"tropical_temperate_polar",87,74,30,30,0.344827586206897
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k2_tropical_temperate_polar","Southern","occurrence",5,NA,2,"tropical_temperate_polar",87,75,20,20,0.229885057471264
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k3_tropical_temperate","Northern","occurrence",5,NA,3,"tropical_temperate",87,74,30,30,0.344827586206897
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k3_tropical_temperate","Southern","occurrence",5,NA,3,"tropical_temperate",87,75,21,21,0.241379310344828
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k3_tropical_temperate_polar","Northern","occurrence",5,NA,3,"tropical_temperate_polar",87,74,12,12,0.137931034482759
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k3_tropical_temperate_polar","Southern","occurrence",5,NA,3,"tropical_temperate_polar",87,75,14,14,0.160919540229885
"percentile_latbin_OLS","q50","collection10_k1_tropical_temperate","Northern","collection",NA,10,1,"tropical_temperate",87,64,45,45,0.517241379310345
"percentile_latbin_OLS","q50","collection10_k1_tropical_temperate","Southern","collection",NA,10,1,"tropical_temperate",87,67,40,40,0.459770114942529
"percentile_latbin_OLS","q50","collection10_k1_tropical_temperate_polar","Northern","collection",NA,10,1,"tropical_temperate_polar",87,64,22,22,0.252873563218391
"percentile_latbin_OLS","q50","collection10_k1_tropical_temperate_polar","Southern","collection",NA,10,1,"tropical_temperate_polar",87,67,21,21,0.241379310344828
"percentile_latbin_OLS","q50","collection10_k2_tropical_temperate","Northern","collection",NA,10,2,"tropical_temperate",87,64,27,27,0.310344827586207
"percentile_latbin_OLS","q50","collection10_k2_tropical_temperate","Southern","collection",NA,10,2,"tropical_temperate",87,67,17,17,0.195402298850575
"percentile_latbin_OLS","q50","collection10_k2_tropical_temperate_polar","Northern","collection",NA,10,2,"tropical_temperate_polar",87,64,7,7,0.0804597701149425
"percentile_latbin_OLS","q50","collection10_k2_tropical_temperate_polar","Southern","collection",NA,10,2,"tropical_temperate_polar",87,67,8,8,0.0919540229885057
"percentile_latbin_OLS","q50","collection10_k3_tropical_temperate","Northern","collection",NA,10,3,"tropical_temperate",87,64,16,16,0.183908045977011
"percentile_latbin_OLS","q50","collection10_k3_tropical_temperate","Southern","collection",NA,10,3,"tropical_temperate",87,67,9,9,0.103448275862069
"percentile_latbin_OLS","q50","collection10_k3_tropical_temperate_polar","Northern","collection",NA,10,3,"tropical_temperate_polar",87,64,4,4,0.0459770114942529
"percentile_latbin_OLS","q50","collection10_k3_tropical_temperate_polar","Southern","collection",NA,10,3,"tropical_temperate_polar",87,67,6,6,0.0689655172413793
"percentile_latbin_OLS","q50","collection5_k1_tropical_temperate","Northern","collection",NA,5,1,"tropical_temperate",87,76,57,57,0.655172413793103
"percentile_latbin_OLS","q50","collection5_k1_tropical_temperate","Southern","collection",NA,5,1,"tropical_temperate",87,75,55,55,0.632183908045977
"percentile_latbin_OLS","q50","collection5_k1_tropical_temperate_polar","Northern","collection",NA,5,1,"tropical_temperate_polar",87,76,37,37,0.425287356321839
"percentile_latbin_OLS","q50","collection5_k1_tropical_temperate_polar","Southern","collection",NA,5,1,"tropical_temperate_polar",87,75,31,31,0.35632183908046
"percentile_latbin_OLS","q50","collection5_k2_tropical_temperate","Northern","collection",NA,5,2,"tropical_temperate",87,76,42,42,0.482758620689655
"percentile_latbin_OLS","q50","collection5_k2_tropical_temperate","Southern","collection",NA,5,2,"tropical_temperate",87,75,20,20,0.229885057471264
