"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","bin_midpoint","stage","era","sampling_profile_dissim","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_sample_Northern","k_sample_Southern","interval_width_Northern","interval_width_Southern","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_median_asym","k_median_diff","k_median_diff_signed","k_sample_asym","k_sample_diff_signed","interval_width_asym","interval_width_diff_signed","mean_interval_width"
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",0.00585,"Holocene","Cenozoic",0.428571428571428,-1.01742802239057,0.163368962542209,2,1,0.964682458064808,0.645233702322069,2,1,0.4189777624942,0.584116963053217,1.18079698493278,-1.18079698493278,0.319448755742738,0.319448755742738,0.405465108108164,1,1,0.405465108108164,1,0.110090404173882,-0.165139200559018,0.501547362773708
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",1.29585,"Pleistocene","Cenozoic",0.4,-0.677270953982212,-0.296872323759516,7,2,0.604979338490167,0.748331477354788,5,1,0.216762219673873,0.442857050840532,0.380398630222696,-0.380398630222696,0.143352138864621,-0.143352138864621,0.980829253011726,5,5,1.09861228866811,4,0.170431798457314,-0.226094831166659,0.329809635257202
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",3.09,"Piacenzian","Cenozoic",0.375,-0.66418668608437,-1.13559324182764,1.5,1,1.03537432844358,1.12915897906362,1,1,1.36708629589235,0.449207955408478,0.471406555743265,0.471406555743265,0.0937846506200388,-0.0937846506200388,0.22314355131421,0.5,0.5,0,0,0.490642618244439,0.917878340483873,0.908147125650414
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",4.4665,"Zanclean","Cenozoic",0.221674876847291,-0.790601166195941,-0.384192594434562,5,1,0.576594619753889,0.842736068785864,2,1,0.664702053315868,0.0739625163108337,0.406408571761379,-0.406408571761379,0.266141449031975,-0.266141449031975,1.09861228866811,4,4,0.405465108108164,1,0.438291065998556,0.590739537005035,0.369332284813351
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",9.438,"Tortonian","Cenozoic",0.0514285714285715,-0.564345318793429,-1.13570273003247,3.5,1,0.465789652096308,1.00203873810001,2,1,0.8076213509042,0.890924304294166,0.571357411239042,0.571357411239042,0.536249086003702,-0.536249086003702,0.810930216216329,2.5,2.5,0.405465108108164,1,0.0450539491898445,-0.083302953389966,0.849272827599183
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",12.725,"Serravallian","Cenozoic",0.403846153846154,0.289129734320206,-0.385083614396465,4,1,0.453780960115465,1.12915897906362,2,1,0.959563112333938,2.01291194321725,0.674213348716671,0.674213348716671,0.675378018948156,-0.675378018948156,0.916290731874155,3,3,0.405465108108164,1,0.430185487578836,-1.05334883088331,1.48623752777559
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",18.215,"Burdigalian","Cenozoic",0.857142857142857,-0.0696777960681056,-0.0130040082079772,5.5,1.5,0.748776317029892,0.964682458064808,2,1,0.874099823466825,0.837658679942837,0.0566737878601284,-0.0566737878601284,0.215906141034916,-0.215906141034916,0.955511445027436,4,4,0.405465108108164,1,0.0196361451814229,0.0364411435239882,0.855879251704831
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",35.805,"Priabonian","Cenozoic",0.188571428571429,0.491610980793472,-0.432421144980909,3,1,0.89048301499804,1.26168012376112,2,1,1.2873896622049,0.600549936982151,0.92403212577438,0.92403212577438,0.371197108763081,-0.371197108763081,0.693147180559945,2,2,0.405465108108164,1,0.357064001097889,0.686839725222752,0.943969799593527
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",44.55,"Lutetian","Cenozoic",0.36,-0.0574606886303452,0.0377943716671678,3.5,0.5,0.76524505878836,1.17983049630021,1,1,1.15320273359551,0.290277928302547,0.095255060297513,-0.095255060297513,0.414585437511851,-0.414585437511851,1.09861228866811,3,3,0,0,0.512098733789591,0.862924805292964,0.721740330949029
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",63.83,"Danian","Cenozoic",0.0357142857142857,5.94997897783368,0.108642842810276,0.5,1,1.75356779167502,1.00203873810001,1,1,0.756809112108398,0.197004279879681,5.8413361350234,5.8413361350234,0.751529053575008,0.751529053575008,0.287682072451781,0.5,-0.5,0,0,0.383677157009813,0.559804832228716,0.47690669599404
