"method_group","slope_metric","qc_name","group1","group2","n1","n2","median1","median2","median_diff","p_value","w_statistic","iqr1","iqr2","test_note","p_adjusted"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coldhouse","Warmhouse",24,31,-0.565283326479493,-0.0606209075580676,-0.504662418921425,1.2361162127305e-05,123,0.54758358539134,0.324213415397828,"Tested",7.9173311927548e-05
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coldhouse","Hothouse",24,27,-0.565283326479493,-0.0730035922768525,-0.49227973420264,1.58346623855096e-05,103,0.54758358539134,0.353430198894834,"Tested",7.9173311927548e-05
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coldhouse","Transitional",24,33,-0.565283326479493,-0.0921475333214583,-0.473135793158035,5.79109436400553e-05,157,0.54758358539134,0.367543616099435,"Tested",0.000193036478800184
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coldhouse","Coolhouse",24,32,-0.565283326479493,-0.206650299214319,-0.358633027265174,0.00322902974744474,219,0.54758358539134,0.313377596254517,"Tested",0.00807257436861186
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coolhouse","Warmhouse",32,31,-0.206650299214319,-0.0606209075580676,-0.146029391656251,0.00629267020323286,314,0.313377596254517,0.324213415397828,"Tested",0.0125853404064657
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coolhouse","Hothouse",32,27,-0.206650299214319,-0.0730035922768525,-0.133646706937466,0.0076181051695688,272,0.313377596254517,0.353430198894834,"Tested",0.0126968419492813
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Coolhouse","Transitional",32,33,-0.206650299214319,-0.0921475333214583,-0.11450276589286,0.0187731734482277,369,0.313377596254517,0.367543616099435,"Tested",0.0268188192117538
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Transitional","Hothouse",33,27,-0.0921475333214583,-0.0730035922768525,-0.0191439410446058,0.261433264462262,402,0.367543616099435,0.353430198894834,"Tested",0.326791580577828
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Transitional","Warmhouse",33,31,-0.0921475333214583,-0.0606209075580676,-0.0315266257633907,0.333641875646827,479,0.367543616099435,0.324213415397828,"Tested",0.370713195163141
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Warmhouse","Hothouse",31,27,-0.0606209075580676,-0.0730035922768525,0.0123826847187849,0.431926111467769,407,0.324213415397828,0.353430198894834,"Tested",0.431926111467769
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Coolhouse","Hothouse",20,16,-0.265725930733195,0.0287445356815703,-0.294470466414766,6.247503455731e-05,39,0.273915447579023,0.271328187442992,"Tested",0.0006247503455731
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Coldhouse","Hothouse",10,16,-0.455210050718687,0.0287445356815703,-0.483954586400257,0.000856564029378962,20,0.291017160498802,0.271328187442992,"Tested",0.00428282014689481
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Coldhouse","Warmhouse",10,22,-0.455210050718687,-0.133439863815744,-0.321770186902943,0.00491657476114212,46,0.291017160498802,0.278219291482534,"Tested",0.0100076050107436
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Coolhouse","Warmhouse",20,22,-0.265725930733195,-0.133439863815744,-0.132286066917451,0.00394261873311114,114,0.273915447579023,0.278219291482534,"Tested",0.0100076050107436
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Transitional","Hothouse",17,16,-0.154980068798748,0.0287445356815703,-0.183724604480319,0.00500380250537179,64,0.207041430091088,0.271328187442992,"Tested",0.0100076050107436
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Warmhouse","Hothouse",22,16,-0.133439863815744,0.0287445356815703,-0.162184399497314,0.0323119331676207,113,0.278219291482534,0.271328187442992,"Tested",0.0538532219460346
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Coldhouse","Transitional",10,17,-0.455210050718687,-0.154980068798748,-0.300229981919938,0.0416160663208423,50,0.291017160498802,0.207041430091088,"Tested",0.059451523315489
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Coolhouse","Transitional",20,17,-0.265725930733195,-0.154980068798748,-0.110745861934447,0.0657047532773105,120,0.273915447579023,0.207041430091088,"Tested",0.0821309415966382
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Coldhouse","Coolhouse",10,20,-0.455210050718687,-0.265725930733195,-0.189484119985491,0.140548946003707,75,0.291017160498802,0.273915447579023,"Tested",0.156165495559675
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Transitional","Warmhouse",17,22,-0.154980068798748,-0.133439863815744,-0.0215402049830045,0.186157645010574,155,0.207041430091088,0.278219291482534,"Tested",0.186157645010574
