"method_group","slope_metric","qc_name","n_total","n_retained","prop_retained","n_retained_Northern","n_retained_Southern"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate",174,126,0.724137931034483,62,64
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate",174,115,0.660919540229885,59,56
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate",174,112,0.64367816091954,58,54
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate",174,89,0.511494252873563,49,40
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate",174,126,0.724137931034483,62,64
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate",174,115,0.660919540229885,59,56
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate",174,112,0.64367816091954,58,54
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k1_tropical_temperate",174,89,0.511494252873563,49,40
"percentile_latbin_OLS","q75","occurrence5_k1_tropical_temperate",174,126,0.724137931034483,62,64
"percentile_latbin_OLS","q75","occurrence10_k1_tropical_temperate",174,115,0.660919540229885,59,56
"percentile_latbin_OLS","q75","collection5_k1_tropical_temperate",174,112,0.64367816091954,58,54
"percentile_latbin_OLS","q75","collection10_k1_tropical_temperate",174,89,0.511494252873563,49,40
