"method_group","slope_metric","qc_name","n_total","n_retained","prop_retained","n_retained_Northern","n_retained_Southern"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate",174,120,0.689655172413793,64,56
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate",174,112,0.64367816091954,60,52
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate",174,106,0.609195402298851,59,47
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate",174,89,0.511494252873563,50,39
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate",174,120,0.689655172413793,64,56
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate",174,112,0.64367816091954,60,52
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate",174,106,0.609195402298851,59,47
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k1_tropical_temperate",174,89,0.511494252873563,50,39
"percentile_latbin_OLS","q75","occurrence5_k1_tropical_temperate",174,120,0.689655172413793,64,56
"percentile_latbin_OLS","q75","occurrence10_k1_tropical_temperate",174,112,0.64367816091954,60,52
"percentile_latbin_OLS","q75","collection5_k1_tropical_temperate",174,106,0.609195402298851,59,47
"percentile_latbin_OLS","q75","collection10_k1_tropical_temperate",174,89,0.511494252873563,50,39
