"method_group","slope_metric","qc_name","hemisphere","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","n_total_stage_hemi","n_with_slope","n_good","n_good_with_slope","prop_good_with_slope"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","Northern","collection",NA,10,1,"tropical_temperate",87,70,56,56,0.64367816091954
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","Southern","collection",NA,10,1,"tropical_temperate",87,74,51,51,0.586206896551724
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","Northern","collection",NA,10,1,"tropical_temperate_polar",87,70,24,24,0.275862068965517
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","Southern","collection",NA,10,1,"tropical_temperate_polar",87,74,25,25,0.28735632183908
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","Northern","collection",NA,10,2,"tropical_temperate",87,70,35,35,0.402298850574713
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","Southern","collection",NA,10,2,"tropical_temperate",87,74,15,15,0.172413793103448
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate_polar","Northern","collection",NA,10,2,"tropical_temperate_polar",87,70,9,9,0.103448275862069
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate_polar","Southern","collection",NA,10,2,"tropical_temperate_polar",87,74,5,5,0.0574712643678161
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate","Northern","collection",NA,10,3,"tropical_temperate",87,70,13,13,0.149425287356322
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate","Southern","collection",NA,10,3,"tropical_temperate",87,74,6,6,0.0689655172413793
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate_polar","Northern","collection",NA,10,3,"tropical_temperate_polar",87,70,1,1,0.0114942528735632
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate_polar","Southern","collection",NA,10,3,"tropical_temperate_polar",87,74,1,1,0.0114942528735632
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate","Northern","collection",NA,5,1,"tropical_temperate",87,80,64,64,0.735632183908046
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate","Southern","collection",NA,5,1,"tropical_temperate",87,82,67,67,0.770114942528736
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","Northern","collection",NA,5,1,"tropical_temperate_polar",87,80,36,36,0.413793103448276
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","Southern","collection",NA,5,1,"tropical_temperate_polar",87,82,39,39,0.448275862068966
"per_cell_all_cells_OLS","all_cells_slope","collection5_k2_tropical_temperate","Northern","collection",NA,5,2,"tropical_temperate",87,80,46,46,0.528735632183908
"per_cell_all_cells_OLS","all_cells_slope","collection5_k2_tropical_temperate","Southern","collection",NA,5,2,"tropical_temperate",87,82,30,30,0.344827586206897
"per_cell_all_cells_OLS","all_cells_slope","collection5_k2_tropical_temperate_polar","Northern","collection",NA,5,2,"tropical_temperate_polar",87,80,18,18,0.206896551724138
"per_cell_all_cells_OLS","all_cells_slope","collection5_k2_tropical_temperate_polar","Southern","collection",NA,5,2,"tropical_temperate_polar",87,82,13,13,0.149425287356322
"per_cell_all_cells_OLS","all_cells_slope","collection5_k3_tropical_temperate","Northern","collection",NA,5,3,"tropical_temperate",87,80,27,27,0.310344827586207
"per_cell_all_cells_OLS","all_cells_slope","collection5_k3_tropical_temperate","Southern","collection",NA,5,3,"tropical_temperate",87,82,11,11,0.126436781609195
"per_cell_all_cells_OLS","all_cells_slope","collection5_k3_tropical_temperate_polar","Northern","collection",NA,5,3,"tropical_temperate_polar",87,80,9,9,0.103448275862069
"per_cell_all_cells_OLS","all_cells_slope","collection5_k3_tropical_temperate_polar","Southern","collection",NA,5,3,"tropical_temperate_polar",87,82,4,4,0.0459770114942529
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate","Northern","occurrence",10,NA,1,"tropical_temperate",87,82,70,70,0.804597701149425
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate","Southern","occurrence",10,NA,1,"tropical_temperate",87,83,75,75,0.862068965517241
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","Northern","occurrence",10,NA,1,"tropical_temperate_polar",87,82,35,35,0.402298850574713
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","Southern","occurrence",10,NA,1,"tropical_temperate_polar",87,83,43,43,0.494252873563218
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate","Northern","occurrence",10,NA,2,"tropical_temperate",87,82,45,45,0.517241379310345
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate","Southern","occurrence",10,NA,2,"tropical_temperate",87,83,34,34,0.390804597701149
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate_polar","Northern","occurrence",10,NA,2,"tropical_temperate_polar",87,82,16,16,0.183908045977011
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k2_tropical_temperate_polar","Southern","occurrence",10,NA,2,"tropical_temperate_polar",87,83,14,14,0.160919540229885
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate","Northern","occurrence",10,NA,3,"tropical_temperate",87,82,26,26,0.298850574712644
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate","Southern","occurrence",10,NA,3,"tropical_temperate",87,83,14,14,0.160919540229885
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate_polar","Northern","occurrence",10,NA,3,"tropical_temperate_polar",87,82,6,6,0.0689655172413793
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k3_tropical_temperate_polar","Southern","occurrence",10,NA,3,"tropical_temperate_polar",87,83,8,8,0.0919540229885057
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","occurrence",5,NA,1,"tropical_temperate",87,84,70,70,0.804597701149425
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","occurrence",5,NA,1,"tropical_temperate",87,83,77,77,0.885057471264368
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","occurrence",5,NA,1,"tropical_temperate_polar",87,84,39,39,0.448275862068966
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Southern","occurrence",5,NA,1,"tropical_temperate_polar",87,83,46,46,0.528735632183908
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate","Northern","occurrence",5,NA,2,"tropical_temperate",87,84,51,51,0.586206896551724
