"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","hemisphere","n_total_stage_hemi","n_with_slope","n_good","n_good_with_slope","prop_good_with_slope","method_label","filter_label","k_label","zone_label","qc_plot_label"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate","Northern",87,68,49,49,0.563218390804598,"Per-cell all-cell OLS","collection_no >= 10","k = 1","T + Te","collection_no >= 10 | k = 1 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate","collection",NA,10,1,"tropical_temperate","Southern",87,65,44,44,0.505747126436782,"Per-cell all-cell OLS","collection_no >= 10","k = 1","T + Te","collection_no >= 10 | k = 1 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","collection",NA,10,1,"tropical_temperate_polar","Northern",87,68,22,22,0.252873563218391,"Per-cell all-cell OLS","collection_no >= 10","k = 1","T + Te + P","collection_no >= 10 | k = 1 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate_polar","collection",NA,10,1,"tropical_temperate_polar","Southern",87,65,21,21,0.241379310344828,"Per-cell all-cell OLS","collection_no >= 10","k = 1","T + Te + P","collection_no >= 10 | k = 1 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","collection",NA,10,2,"tropical_temperate","Northern",87,68,23,23,0.264367816091954,"Per-cell all-cell OLS","collection_no >= 10","k = 2","T + Te","collection_no >= 10 | k = 2 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate","collection",NA,10,2,"tropical_temperate","Southern",87,65,18,18,0.206896551724138,"Per-cell all-cell OLS","collection_no >= 10","k = 2","T + Te","collection_no >= 10 | k = 2 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate_polar","collection",NA,10,2,"tropical_temperate_polar","Northern",87,68,7,7,0.0804597701149425,"Per-cell all-cell OLS","collection_no >= 10","k = 2","T + Te + P","collection_no >= 10 | k = 2 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k2_tropical_temperate_polar","collection",NA,10,2,"tropical_temperate_polar","Southern",87,65,9,9,0.103448275862069,"Per-cell all-cell OLS","collection_no >= 10","k = 2","T + Te + P","collection_no >= 10 | k = 2 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate","collection",NA,10,3,"tropical_temperate","Northern",87,68,5,5,0.0574712643678161,"Per-cell all-cell OLS","collection_no >= 10","k = 3","T + Te","collection_no >= 10 | k = 3 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate","collection",NA,10,3,"tropical_temperate","Southern",87,65,6,6,0.0689655172413793,"Per-cell all-cell OLS","collection_no >= 10","k = 3","T + Te","collection_no >= 10 | k = 3 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate_polar","collection",NA,10,3,"tropical_temperate_polar","Northern",87,68,1,1,0.0114942528735632,"Per-cell all-cell OLS","collection_no >= 10","k = 3","T + Te + P","collection_no >= 10 | k = 3 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection10_k3_tropical_temperate_polar","collection",NA,10,3,"tropical_temperate_polar","Southern",87,65,1,1,0.0114942528735632,"Per-cell all-cell OLS","collection_no >= 10","k = 3","T + Te + P","collection_no >= 10 | k = 3 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate","Northern",87,76,60,60,0.689655172413793,"Per-cell all-cell OLS","collection_no >= 5","k = 1","T + Te","collection_no >= 5 | k = 1 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate","collection",NA,5,1,"tropical_temperate","Southern",87,74,54,54,0.620689655172414,"Per-cell all-cell OLS","collection_no >= 5","k = 1","T + Te","collection_no >= 5 | k = 1 | T + Te"
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar","Northern",87,76,29,29,0.333333333333333,"Per-cell all-cell OLS","collection_no >= 5","k = 1","T + Te + P","collection_no >= 5 | k = 1 | T + Te + P"
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate_polar","collection",NA,5,1,"tropical_temperate_polar","Southern",87,74,28,28,0.32183908045977,"Per-cell all-cell OLS","collection_no >= 5","k = 1","T + Te + P","collection_no >= 5 | k = 1 | T + Te + P"
