"method_group","slope_metric","Analysis scope","QC Scenario","Group 1","Group 2","n1","n2","Median difference","W statistics","p value","p-adjusted value"
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coldhouse","Transitional",21,25,-0.450613885462552,96,0.000125738776554712,0.000788937671282864
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coldhouse","Warmhouse",21,19,-0.550050675863299,66,0.000157787534256573,0.000788937671282864
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coldhouse","Hothouse",21,22,-0.583626724301603,92,0.000382632304328475,0.00127544101442825
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coldhouse","Coolhouse",21,31,-0.308528992337092,197,0.00849073880841686,0.018489978250643
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coolhouse","Hothouse",31,22,-0.275097731964511,210,0.0092449891253215,0.018489978250643
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coolhouse","Warmhouse",31,19,-0.241521683526208,191,0.0197632998660293,0.0329388331100488
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coolhouse","Transitional",31,25,-0.142084893125461,294,0.0626626569856127,0.0895180814080182
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Transitional","Hothouse",25,22,-0.133012838839051,216,0.106157652648631,0.132697065810788
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Warmhouse","Hothouse",19,22,-0.0335760484383038,172,0.169973811364605,0.188859790405117
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Transitional","Warmhouse",25,19,-0.0994367904007469,219,0.334874982411935,0.334874982411935
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coolhouse","Hothouse",20,10,-0.280656110457854,24,0.000447583231294208,0.00447583231294208
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coldhouse","Hothouse",8,10,-0.62178876344077,6,0.00145754292918706,0.00728771464593531
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coldhouse","Transitional",8,14,-0.488267182993025,19,0.00636541985457077,0.0212180661819026
