"bin_midpoint","stage","hemisphere","slope","intercept","slope_se","slope_lower_95","slope_upper_95","p_value","r_squared","n_cells_model","method_group","slope_metric","quantile","slope_filter_id","slope_qc_type","slope_occurrence_min","slope_collection_min","slope_mean","slope_sd","n_resamples_valid","prop_negative","prop_positive","k_sample"
39.37,"Bartonian","Southern",-0.177083140635074,34.5832682141385,0.169834958676535,-2.33504089693889,1.98087461566875,0.486700997392003,0.520883947468442,3,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
44.55,"Lutetian","Northern",0.295962314005508,3.83771054475519,0.24145693774009,-0.324722504237537,0.916647132248553,0.274877631462779,0.23105637193493,7,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
44.55,"Lutetian","Southern",0.0762399570865641,6.39681640632905,0.121181749637188,-0.445163028785699,0.597642942958827,0.593538982194065,0.165210558995837,4,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
52.035,"Ypresian","Northern",-0.0225816137823735,18.1259447150705,0.289417014701791,-0.82613206761212,0.780968840047373,0.941555735766644,0.00151964227262274,6,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
52.035,"Ypresian","Southern",0.185478986273111,6.03905643461039,0.105647144277122,-1.15689525870418,1.52785323125041,0.329616063895041,0.755039623574641,3,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
57.62,"Thanetian","Northern",0.58240896225888,2.35239396002339,0.192897797598094,-0.24756327313922,1.41238119765698,0.0944182925707487,0.820078228830478,4,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
57.62,"Thanetian","Southern",NA,NA,NA,NA,NA,NA,NA,2,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
60.45,"Selandian","Northern",NA,NA,NA,NA,NA,NA,NA,2,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
63.83,"Danian","Northern",-1.45050851736696,81.9410883383399,0.407475344370295,-6.62797366787921,3.72695663314529,0.174345105342803,0.926856676975645,3,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
63.83,"Danian","Southern",0.259064912290578,15.6773102869308,0.299580115883605,-0.572702834069045,1.0908326586502,0.435948879013384,0.157506289191964,6,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
69.1,"Maastrichtian","Northern",0.0835528616826739,16.3106985205892,0.299276628605021,-0.648750667621664,0.815856390987012,0.789478221616447,0.0128239090846666,8,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
69.1,"Maastrichtian","Southern",-0.233729342805821,25.2739010163237,0.296235173030008,-1.17648187471025,0.709023189098608,0.487718520717529,0.171847196818553,5,"percentile_latbin_OLS","q50","q50","collection5","collection",NA,5,NA,NA,NA,NA,NA,NA
