"method_group","slope_metric","qc_name","hemisphere","group1","group2","n1","n2","median1","median2","median_diff","p_value","w_statistic","iqr1","iqr2","test_note","p_adjusted"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coldhouse","Warmhouse",14,14,-0.476084650567598,-0.0835594735629538,-0.392525177004644,0.00130807581750705,32,0.458993814090006,0.255845397265055,"Tested",0.0106360515314707
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coolhouse","Warmhouse",15,14,-0.34025047311902,-0.0835594735629538,-0.256690999556066,0.00212721030629413,39,0.505811857515708,0.255845397265055,"Tested",0.0106360515314707
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coldhouse","Transitional",14,17,-0.476084650567598,-0.0463215239862326,-0.429763126581366,0.0041494017316023,52,0.458993814090006,0.498077796947084,"Tested",0.0114632017320213
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coolhouse","Transitional",15,17,-0.34025047311902,-0.0463215239862326,-0.293928949132787,0.00458528069280851,58,0.505811857515708,0.498077796947084,"Tested",0.0114632017320213
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coldhouse","Hothouse",14,11,-0.476084650567598,-0.194142953817603,-0.281941696749995,0.00637113331115434,31,0.458993814090006,0.215469666287003,"Tested",0.0127422666223087
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coolhouse","Hothouse",15,11,-0.34025047311902,-0.194142953817603,-0.146107519301417,0.034647042755779,47,0.505811857515708,0.215469666287003,"Tested",0.0577450712596317
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Coldhouse","Coolhouse",14,15,-0.476084650567598,-0.34025047311902,-0.135834177448578,0.185475517266548,84,0.458993814090006,0.505811857515708,"Tested",0.264965024666498
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Transitional","Warmhouse",17,14,-0.0463215239862326,-0.0835594735629538,0.0372379495767212,0.429116496971824,114,0.498077796947084,0.255845397265055,"Tested",0.53639562121478
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Transitional","Hothouse",17,11,-0.0463215239862326,-0.194142953817603,0.14782142983137,0.838386447002129,114,0.498077796947084,0.215469666287003,"Tested",0.890980630590579
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Northern","Warmhouse","Hothouse",14,11,-0.0835594735629538,-0.194142953817603,0.110583480254649,0.890980630590579,99,0.255845397265055,0.215469666287003,"Tested",0.890980630590579
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coldhouse","Hothouse",11,14,-0.566079661797054,0.0511422584021537,-0.617221920199208,0.00336545828276561,27,0.510061165843412,0.405958097783588,"Tested",0.0336545828276561
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Transitional","Hothouse",15,14,-0.129229900294849,0.0511422584021537,-0.180372158697003,0.00683419609549659,48,0.175068903265252,0.405958097783588,"Tested",0.034170980477483
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coldhouse","Coolhouse",11,17,-0.566079661797054,-0.170895720745079,-0.395183941051976,0.0152376446561749,47,0.510061165843412,0.412383258380976,"Tested",0.0507921488539162
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coldhouse","Transitional",11,15,-0.566079661797054,-0.129229900294849,-0.436849761502205,0.0433840863519378,49,0.510061165843412,0.175068903265252,"Tested",0.0723068105865631
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coldhouse","Warmhouse",11,12,-0.566079661797054,-0.0817143730341044,-0.48436528876295,0.0302490953592954,35,0.510061165843412,0.193856412039228,"Tested",0.0723068105865631
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Warmhouse","Hothouse",12,14,-0.0817143730341044,0.0511422584021537,-0.132856631436258,0.0379911892885845,49,0.193856412039228,0.405958097783588,"Tested",0.0723068105865631
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coolhouse","Hothouse",17,14,-0.170895720745079,0.0511422584021537,-0.222037979147233,0.0793962327018673,83,0.412383258380976,0.405958097783588,"Tested",0.113423189574096
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Transitional","Warmhouse",15,12,-0.129229900294849,-0.0817143730341044,-0.0475155272607446,0.170674656977379,70,0.175068903265252,0.193856412039228,"Tested",0.213343321221724
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coolhouse","Warmhouse",17,12,-0.170895720745079,-0.0817143730341044,-0.0891813477109744,0.289957355892333,89,0.412383258380976,0.193856412039228,"Tested",0.32217483988037
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate","Southern","Coolhouse","Transitional",17,15,-0.170895720745079,-0.129229900294849,-0.0416658204502298,0.46989830820259,125,0.412383258380976,0.175068903265252,"Tested",0.46989830820259
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","Coldhouse","Warmhouse",6,10,-0.530893100490057,-0.147777590853629,-0.383115509636428,0.00393731952383336,5,0.13303013414185,0.234809299991227,"Tested",0.0355350971727052
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","Coldhouse","Hothouse",6,4,-0.530893100490057,-0.10313221411719,-0.427760886372867,0.00710701943454103,0,0.13303013414185,0.0780990861626731,"Tested",0.0355350971727052
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","Coldhouse","Transitional",6,8,-0.530893100490057,-0.173128720880052,-0.357764379610005,0.0406805646170377,10,0.13303013414185,0.315438803286687,"Tested",0.0813611292340755
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","Coolhouse","Warmhouse",11,10,-0.34025047311902,-0.147777590853629,-0.192472882265391,0.036274628610242,29,0.327258744054721,0.234809299991227,"Tested",0.0813611292340755
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate_polar","Northern","Coolhouse","Hothouse",11,4,-0.34025047311902,-0.10313221411719,-0.23711825900183,0.0291726511684288,7,0.327258744054721,0.0780990861626731,"Tested",0.0813611292340755
