"method_group","slope_metric","qc_name","n_total","n_retained","prop_retained","n_retained_Northern","n_retained_Southern"
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k1_tropical_temperate",174,140,0.804597701149425,71,69
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate",174,135,0.775862068965517,69,66
"per_cell_all_cells_OLS","all_cells_slope","collection5_k1_tropical_temperate",174,132,0.758620689655172,66,66
"per_cell_all_cells_OLS","all_cells_slope","collection10_k1_tropical_temperate",174,106,0.609195402298851,60,46
"per_cell_all_cells_OLS","all_cells_slope","occurrence5_k2_tropical_temperate",174,100,0.574712643678161,55,45
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k1_tropical_temperate",174,140,0.804597701149425,71,69
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence10_k1_tropical_temperate",174,135,0.775862068965517,69,66
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection5_k1_tropical_temperate",174,132,0.758620689655172,66,66
"per_cell_balanced_resampling_OLS","median_resampled_slope","collection10_k1_tropical_temperate",174,106,0.609195402298851,60,46
"per_cell_balanced_resampling_OLS","median_resampled_slope","occurrence5_k2_tropical_temperate",174,100,0.574712643678161,55,45
"percentile_latbin_OLS","q75","occurrence5_k1_tropical_temperate",174,140,0.804597701149425,71,69
"percentile_latbin_OLS","q75","occurrence10_k1_tropical_temperate",174,135,0.775862068965517,69,66
"percentile_latbin_OLS","q75","collection5_k1_tropical_temperate",174,132,0.758620689655172,66,66
"percentile_latbin_OLS","q75","collection10_k1_tropical_temperate",174,106,0.609195402298851,60,46
"percentile_latbin_OLS","q75","occurrence5_k2_tropical_temperate",174,100,0.574712643678161,55,45
