"method_group","slope_metric","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","bin_midpoint","stage","era","sampling_profile_dissim","slope_Northern","slope_Southern","k_median_Northern","k_median_Southern","k_cv_Northern","k_cv_Southern","k_sample_Northern","k_sample_Southern","interval_width_Northern","interval_width_Southern","slope_diff_abs","slope_diff_signed","k_cv_diff","k_cv_diff_signed","k_median_asym","k_median_diff","k_median_diff_signed","k_sample_asym","k_sample_diff_signed","interval_width_asym","interval_width_diff_signed","mean_interval_width"
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar",1.29585,"Pleistocene","Cenozoic",0.124505928853755,-0.388270227865003,-0.214460528008229,9.5,2,0.658071311667413,0.863894553531812,NA,NA,0.632509471968513,0.897630633629034,0.173809699856774,-0.173809699856774,0.205823241864399,-0.205823241864399,1.25276296849537,7.5,7.5,NA,NA,0.150487688768942,-0.265121161660521,0.765070052798773
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar",18.215,"Burdigalian","Cenozoic",0.45,0.0327039783451915,-0.102281099072965,7,1,0.589915248150105,1.33266649991661,NA,NA,0.737209481903323,0.650369877760418,0.134985077418156,0.134985077418156,0.742751251766509,-0.742751251766509,1.38629436111989,6,6,NA,NA,0.051280648686426,0.0868396041429049,0.693789679831871
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar",44.55,"Lutetian","Cenozoic",1.30645161290323,0.497397366738814,-0.0534348153337803,3.5,1,1.1045266806852,1.12915897906362,NA,NA,1.16870272506347,0.742914211577522,0.550832182072594,0.550832182072594,0.0246322983784182,-0.0246322983784182,0.810930216216329,2.5,2.5,NA,NA,0.218570619738249,0.42578851348595,0.955808468320497
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar",69.1,"Maastrichtian","Mesozoic",0.423005565862709,0.0823517822136257,-0.074477602818495,3.5,1.5,1.09361861083858,1.05861284567343,NA,NA,1.32118775840078,0.893094847617163,0.156829385032121,0.156829385032121,0.0350057651651545,0.0350057651651545,0.587786664902119,2,2,NA,NA,0.203866044131217,0.428092910783615,1.10714130300897
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar",77.9,"Campanian","Mesozoic",0.456521739130435,-0.166446364999841,0.144706000980243,8,2,0.899905477077931,1.09544511501033,NA,NA,0.746493597003583,0.689816077565796,0.311152365980084,-0.311152365980084,0.195539637932401,-0.195539637932401,1.09861228866811,6,6,NA,NA,0.0329904259006985,0.0566775194377878,0.71815483728469
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar",91.85,"Turonian","Mesozoic",1.33333333333333,-0.020285994000415,-0.304237761242681,6.5,1.5,0.866381719538575,1.14017542509914,NA,NA,0.528324854938009,0.71350678341248,0.283951767242267,0.283951767242267,0.273793705560563,-0.273793705560563,1.09861228866811,5,5,NA,NA,0.114369751582682,-0.185181928474471,0.620915819175244
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar",97.2,"Cenomanian","Mesozoic",0.97737556561086,-0.0360251215641368,0.243941733650303,10,1.5,0.911290199107627,0.739422451735256,NA,NA,0.877558210417827,0.659261334630359,0.27996685521444,-0.27996685521444,0.171867747372371,0.171867747372371,1.48160454092422,8.5,8.5,NA,NA,0.123599584195232,0.218296875787468,0.768409772524093
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar",106.85,"Albian","Mesozoic",0.0391304347826087,-0.349194776214092,-0.0591305159409819,6,3,0.582237065120385,0.831788107378652,NA,NA,0.619102967697742,0.763000787495131,0.29006426027311,-0.29006426027311,0.249551042258266,-0.249551042258266,0.559615787935423,3,3,NA,NA,0.0851450778552929,-0.143897819797389,0.691051877596436
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar",117.3,"Aptian","Mesozoic",0.110837438423645,-0.00439255172607758,0.0196812550313946,3.5,2,0.891497691065317,0.645233702322069,NA,NA,1.63471320522411,0.530551122934297,0.0240738067574721,-0.0240738067574721,0.246263988743248,0.246263988743248,0.405465108108164,1.5,1.5,NA,NA,0.543146453935528,1.10416208228982,1.0826321640792
"per_cell_all_cells_OLS","all_cells_slope","occurrence10_k1_tropical_temperate_polar","occurrence",10,NA,1,"tropical_temperate_polar",146.15,"Tithonian","Mesozoic",0.188888888888889,-0.115186572440116,-0.035244936106178,3,1,0.991320356586465,1.17983049630021,NA,NA,1.20164783719227,0.497555713521209,0.0799416363339376,-0.0799416363339376,0.188510139713745,-0.188510139713745,0.693147180559945,2,2,NA,NA,0.385371842226545,0.704092123671059,0.849601775356739
